Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
1,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21,32.0,0,13,2,15.4,0.41,0.06,0.00,0.00,19.9,0,0,0,0.8,0.8,0.06,-0.8,-0.8
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33,33.1,2,18,6,33.3,0.54,0.18,0.11,0.33,18.3,0,0,0,1.2,1.2,0.07,+0.8,+0.8
3,Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,21,27.4,1,18,5,27.8,0.66,0.18,0.06,0.20,21.5,0,0,0,0.7,0.7,0.04,+0.3,+0.3
4,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,28,32.8,0,29,7,24.1,0.88,0.21,0.00,0.00,24.2,0,0,0,1.5,1.5,0.05,-1.5,-1.5
5,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,21,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
6,Dickson Abiama,ng NGA,FW,Greuther Fürth,de Bundesliga,22,8.1,0,18,4,22.2,2.23,0.50,0.00,0.00,16.7,0,0,0,1.8,1.8,0.10,-1.8,-1.8
7,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,18,1.1,0,2,0,0.0,1.75,0.00,0.00,,9.5,0,0,0,0.3,0.3,0.14,-0.3,-0.3
8,Tammy Abraham,eng ENG,FW,Roma,it Serie A,23,34.3,17,92,35,38.0,2.68,1.02,0.15,0.40,12.9,3,3,3,20.7,18.4,0.20,-3.7,-4.4
9,Luis Abram,pe PER,DF,Granada,es La Liga,25,6.2,0,2,0,0.0,0.32,0.00,0.00,,9.0,0,0,0,0.3,0.3,0.14,-0.3,-0.3
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,33,28.2,4,15,7,46.7,0.53,0.25,0.27,0.57,10.8,0,0,0,2.4,2.4,0.16,+1.6,+1.6
11,Ragnar Ache,de GER,"MF,FW",Eint Frankfurt,de Bundesliga,23,2.9,0,10,2,20.0,3.47,0.69,0.00,0.00,16.1,0,0,0,0.4,0.4,0.04,-0.4,-0.4
12,Mohamed Achi,fr FRA,MF,Nantes,fr Ligue 1,19,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
13,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,29,25.1,1,16,5,31.3,0.64,0.20,0.06,0.20,21.7,1,0,0,1.2,1.2,0.08,-0.2,-0.2
14,Che Adams,sct SCO,FW,Southampton,eng Premier League,25,22.7,7,49,24,49.0,2.16,1.06,0.14,0.29,13.3,0,0,0,7.1,7.1,0.15,-0.1,-0.1
15,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,22,15.0,0,2,0,0.0,0.13,0.00,0.00,,21.6,0,0,0,0.2,0.2,0.08,-0.2,-0.2
16,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,28,3.7,1,3,2,66.7,0.82,0.54,0.33,0.50,17.2,0,0,0,0.7,0.7,0.22,+0.3,+0.3
17,Martin Adeline,fr FRA,"MF,FW",Reims,fr Ligue 1,17,3.9,0,4,1,25.0,1.02,0.26,0.00,0.00,11.8,0,0,0,0.4,0.4,0.09,-0.4,-0.4
18,Amine Adli,fr FRA,"FW,MF",Leverkusen,de Bundesliga,21,14.0,3,37,19,51.4,2.65,1.36,0.08,0.16,15.1,0,0,0,4.3,4.3,0.12,-1.3,-1.3
19,Yacine Adli,fr FRA,"MF,FW",Bordeaux,fr Ligue 1,21,25.1,1,32,15,46.9,1.27,0.60,0.03,0.07,21.2,4,0,0,2.0,2.0,0.06,-1.0,-1.0
20,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,24,4.9,0,2,2,100.0,0.41,0.41,0.00,0.00,22.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1
21,Felix Afena-Gyan,gh GHA,"FW,MF",Roma,it Serie A,18,7.4,2,17,7,41.2,2.29,0.94,0.12,0.29,16.1,0,0,0,1.7,1.7,0.10,+0.3,+0.3
22,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,25,18.0,0,4,0,0.0,0.22,0.00,0.00,,19.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2
23,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,20,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
24,Lucien Agoume,fr FRA,MF,Brest,fr Ligue 1,19,20.8,0,15,1,6.7,0.72,0.05,0.00,0.00,11.9,0,0,0,1.2,1.1,0.07,-1.2,-1.1
