Rk,Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
1,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21,34,32,2881,32.0,0,2,2,0,0,0,8,0,0.8,0.8,1.7,2.5,78,117,85,0.00,0.06,0.06,0.00,0.06,0.03,0.05,0.08,0.03,0.08
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33,34,34,2983,33.1,2,0,2,2,0,0,5,1,1.2,1.2,0.8,2.0,23,119,14,0.06,0.00,0.06,0.06,0.06,0.04,0.02,0.06,0.04,0.06
3,Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,21,31,29,2462,27.4,1,0,1,1,0,0,12,3,0.7,0.7,0.9,1.6,24,108,47,0.04,0.00,0.04,0.04,0.04,0.03,0.03,0.06,0.03,0.06
4,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,28,34,34,2956,32.8,0,2,2,0,0,0,9,0,1.5,1.5,3.7,5.1,30,171,73,0.00,0.06,0.06,0.00,0.06,0.04,0.11,0.16,0.04,0.16
5,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,21,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,Dickson Abiama,ng NGA,FW,Greuther Fürth,de Bundesliga,22,24,5,726,8.1,0,1,1,0,0,0,3,0,1.8,1.8,1.3,3.2,14,17,38,0.00,0.12,0.12,0.00,0.12,0.23,0.16,0.39,0.23,0.39
7,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,18,7,1,103,1.1,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,1,2,6,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.24,0.24,0.24
8,Tammy Abraham,eng ENG,FW,Roma,it Serie A,23,37,36,3084,34.3,17,4,21,14,3,3,9,0,20.7,18.4,4.8,23.2,41,70,199,0.50,0.12,0.61,0.41,0.53,0.60,0.14,0.74,0.54,0.68
9,Luis Abram,pe PER,DF,Granada,es La Liga,25,8,6,560,6.2,0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.3,1,10,1,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,33,30,29,2536,28.2,4,0,4,4,0,0,2,1,2.4,2.4,0.5,2.9,31,119,10,0.14,0.00,0.14,0.14,0.14,0.09,0.02,0.10,0.09,0.10
