Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
43,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,fr Ligue 1,19,0.6,22,22,0,0,0,0,1,0,0,0,0,0,20,0,0
44,Paul Akouokou,ci CIV,MF,Betis,es La Liga,23,5.7,325,320,4,4,0,3,1,0,0,0,0,0,284,1,4
45,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,it Serie A,28,3.5,106,106,0,0,0,0,0,0,0,0,0,0,89,0,8
46,Kevin Akpoguma,ng NGA,"DF,FW",Hoffenheim,de Bundesliga,26,17.0,917,742,172,13,0,7,31,159,0,0,0,0,691,3,24
47,David Alaba,at AUT,DF,Real Madrid,es La Liga,29,29.4,1968,1888,74,34,4,2,40,34,3,3,0,0,1788,6,9
48,Sofiane Alakouch,ma MAR,"DF,MF",Metz,fr Ligue 1,23,1.8,103,90,13,1,0,1,2,12,0,0,0,0,83,0,7
49,Tomás Alarcón,cl CHI,MF,Cádiz,es La Liga,22,15.8,572,503,65,29,2,15,64,3,33,14,14,0,398,4,18
50,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,28,7.3,171,159,12,0,1,1,1,2,0,0,0,0,115,0,9
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
51,Jordi Alba,es ESP,DF,Barcelona,es La Liga,32,29.4,2795,2416,365,96,13,12,121,268,1,0,0,0,2334,14,38
52,Josué Albert,gf GUF,DF,Clermont Foot,fr Ligue 1,29,0.2,6,5,1,0,0,0,0,1,0,0,0,0,5,0,0
53,Luis Alberto,es ESP,MF,Lazio,it Serie A,28,26.1,1970,1751,211,82,18,9,143,12,104,47,40,0,1626,8,29
54,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,35,27.4,1560,1502,57,55,0,12,3,1,0,0,0,0,1339,1,12
55,Marc Albrighton,eng ENG,"FW,DF",Leicester City,eng Premier League,31,12.6,558,452,101,15,2,3,78,48,37,27,6,0,347,5,27
56,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,27,8.7,175,151,22,0,2,2,1,2,0,0,0,0,123,2,5
57,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,30,17.0,1508,1488,18,10,4,17,4,4,1,0,1,0,1340,2,13
58,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,30,12.3,667,623,43,34,3,16,23,2,7,1,3,0,556,1,13
59,Omar Alderete,py PAR,DF,Valencia,es La Liga,24,26.7,961,899,57,52,0,41,4,2,0,0,0,0,580,5,6
60,Iván Alejo,es ESP,"MF,FW",Cádiz,es La Liga,26,11.8,329,319,9,3,0,2,97,6,0,0,0,0,193,1,18
61,Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,18,12.0,391,293,98,28,0,1,0,0,0,0,0,0,287,0,0
62,Carles Aleñá,es ESP,MF,Getafe,es La Liga,23,25.8,869,827,39,24,2,10,44,2,11,5,5,0,683,3,25
63,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,22,31.7,2757,2204,548,93,17,69,273,324,131,29,89,0,2039,5,34
64,Mohamed Ali Cho,fr FRA,FW,Angers,fr Ligue 1,17,20.4,314,304,9,2,1,0,23,3,0,0,0,0,220,1,12
65,Alisson,br BRA,GK,Liverpool,eng Premier League,28,36.0,1388,1154,234,62,0,3,0,0,0,0,0,0,1214,0,0
66,Allan,br BRA,MF,Everton,eng Premier League,30,24.3,982,912,66,19,1,2,10,10,0,0,0,0,778,4,26
67,Jim Allevinah,ga GAB,FW,Clermont Foot,fr Ligue 1,26,16.5,545,524,16,3,1,5,34,4,9,5,1,0,416,5,18
68,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25,7.3,228,210,17,4,1,1,5,4,0,0,0,0,177,1,6
69,Dele Alli,eng ENG,"MF,FW",Everton,eng Premier League,25,3.8,157,140,14,3,3,1,1,5,1,0,0,0,114,3,4
70,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,eng Premier League,27,19.1,511,500,8,3,0,2,20,3,0,0,0,0,402,3,19
71,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,30,24.1,1486,1190,293,27,2,8,149,199,67,38,23,0,1142,3,39
72,Giorgio Altare,it ITA,DF,Cagliari,it Serie A,22,16.3,799,712,83,12,0,3,27,71,0,0,0,0,531,4,11
73,Hugo Álvarez,es ESP,FW,Celta Vigo,es La Liga,18,0.1,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0
74,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,26,20.7,1019,966,51,50,0,10,3,1,0,0,0,0,832,2,9
75,Dani Alves,br BRA,DF,Barcelona,es La Liga,38,12.2,1089,925,159,32,6,14,75,93,34,12,16,0,915,5,11
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
76,Steven Alzate,co COL,MF,Brighton,eng Premier League,22,4.5,233,230,3,2,1,0,0,1,0,0,0,0,204,0,4
77,Ibrahim Amadou,fr FRA,"DF,MF",Metz,fr Ligue 1,28,9.0,439,430,9,9,0,5,0,0,0,0,0,0,384,0,2
78,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,es La Liga,19,0.9,39,31,8,0,0,0,4,8,0,0,0,0,26,0,1
79,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,26,23.6,1546,1516,28,19,0,2,0,9,0,0,0,0,1399,2,16
80,Amath,sn SEN,"FW,MF",Mallorca,es La Liga,25,9.8,202,196,5,0,2,0,7,3,1,0,0,0,159,1,9
81,Jordan Amavi,fr FRA,DF,Nice,fr Ligue 1,27,4.6,319,272,46,4,0,2,6,42,0,0,0,0,269,1,5
82,Jordan Amavi,fr FRA,"DF,FW",Marseille,fr Ligue 1,27,1.4,86,69,17,2,0,2,2,15,0,0,0,0,74,0,1
83,Wisdom Amey,it ITA,DF,Bologna,it Serie A,15,0.8,29,25,4,4,0,0,0,0,0,0,0,0,20,0,0
84,Kelvin Amian,fr FRA,DF,Spezia,it Serie A,23,29.4,1133,862,267,18,1,1,24,249,0,0,0,0,887,4,35
85,Nadiem Amiri,de GER,"MF,FW",Genoa,it Serie A,24,7.6,299,255,41,13,2,0,20,2,12,2,7,0,222,3,3
86,Nadiem Amiri,de GER,"MF,FW",Leverkusen,de Bundesliga,24,4.1,222,209,12,2,0,2,8,3,6,1,5,0,183,1,5
87,Ethan Ampadu,wls WAL,"MF,DF",Venezia,it Serie A,20,25.4,1165,1037,123,41,4,10,20,80,0,0,0,0,867,5,26
88,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,24,10.5,716,685,31,31,1,9,6,0,0,0,0,0,645,0,8
89,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,25,32.4,2351,2252,95,86,3,32,8,5,0,0,0,0,1911,4,11
90,Felipe Anderson,br BRA,FW,Lazio,it Serie A,28,32.1,1436,1342,90,6,5,6,86,32,13,8,3,0,1118,4,36
91,Sebastian Andersson,se SWE,FW,Köln,de Bundesliga,30,14.0,234,227,7,0,0,1,9,1,0,0,0,0,147,0,10
92,Florin Andone,ro ROU,FW,Cádiz,es La Liga,28,2.0,38,32,6,0,0,0,0,0,0,0,0,0,25,0,1
93,Andrés Andrade Cedeño,pa PAN,DF,Arminia,de Bundesliga,22,11.6,535,441,93,5,1,1,21,88,0,0,0,0,350,1,18
94,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,30,30.6,1766,1705,55,44,4,19,19,11,0,0,0,0,1404,6,33
95,Fredrik André Bjørkan,no NOR,DF,Hertha BSC,de Bundesliga,22,3.9,166,131,35,3,1,0,5,32,0,0,0,0,133,0,5
96,Robert Andrich,de GER,MF,Leverkusen,de Bundesliga,26,20.2,1011,987,18,16,8,1,6,2,0,0,0,0,811,6,9
97,José Ángel,es ESP,DF,Osasuna,es La Liga,31,12.0,785,629,154,23,0,32,46,131,0,0,0,0,590,2,9
98,Angeliño,es ESP,DF,RB Leipzig,de Bundesliga,24,25.5,1516,1201,304,47,0,6,187,205,52,26,9,0,1082,11,20
99,Ebenezer Annan,gh GHA,DF,Bologna,it Serie A,18,0.3,11,8,3,0,0,0,1,3,0,0,0,0,4,0,0
100,Cristian Ansaldi,ar ARG,DF,Torino,it Serie A,34,7.7,407,318,86,8,2,4,57,68,10,4,2,0,285,3,4
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
101,Janis Antiste,fr FRA,FW,Spezia,it Serie A,18,8.8,215,195,19,0,1,0,12,6,0,0,0,0,136,1,6
102,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,25,28.8,1826,1744,80,45,1,20,11,32,0,0,0,0,1541,2,14
103,Josep Antoni Gayá,es ESP,DF,Mallorca,es La Liga,21,0.6,28,26,2,1,0,0,0,0,0,0,0,0,23,0,0
104,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,31,33.0,702,675,20,2,4,9,63,16,0,0,0,0,438,7,39
105,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,de Bundesliga,27,12.6,253,223,29,1,3,0,29,27,1,0,0,0,153,1,20
