Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
1,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,21,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,29,19.7,1164,959,192,31,0,4,40,159,2,0,2,0,906,13,26
3,Issah Abbas,gh GHA,"DF,FW",Mainz 05,de Bundesliga,21,0.2,15,12,3,0,0,0,0,3,0,0,0,0,12,0,0
4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,32,32.1,1762,1697,60,60,0,11,0,0,0,0,0,0,1506,5,10
5,Sabit Abdulai,gh GHA,MF,Getafe,es La Liga,21,0.7,14,14,0,0,0,1,1,0,0,0,0,0,7,0,1
6,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,27,14.7,718,662,52,33,0,9,40,5,14,7,7,0,605,4,7
7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,27,32.9,1564,1521,38,31,1,11,26,7,0,0,0,0,1288,5,34
8,Charles Abi,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,20,10.1,202,192,10,0,0,1,3,0,0,0,0,0,128,0,10
9,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,17,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Pape Abou Cissé,sn SEN,DF,Saint-Étienne,fr Ligue 1,24,14.0,681,653,27,25,0,18,1,2,0,0,0,0,521,1,2
11,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34,13.6,678,616,59,17,0,10,13,42,0,0,0,0,558,3,7
12,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,22,11.6,211,195,16,2,0,0,6,0,0,0,0,0,149,0,9
13,Amir Abrashi,al ALB,"MF,DF",Freiburg,de Bundesliga,30,0.7,23,23,0,0,0,0,0,0,0,0,0,0,18,0,1
14,Gennaro Acampora,it ITA,"MF,FW",Spezia,it Serie A,26,4.9,223,216,5,4,0,6,7,0,1,0,0,0,185,2,1
15,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,32,31.3,2097,1974,119,73,0,24,32,22,0,0,0,0,1854,4,11
16,Ragnar Ache,de GER,"FW,DF",Eint Frankfurt,de Bundesliga,22,1.1,32,32,0,0,0,0,1,0,0,0,0,0,19,0,2
17,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,28,25.9,1767,1487,277,46,0,21,119,206,25,2,20,0,1415,3,30
18,Che Adams,sct SCO,FW,Southampton,eng Premier League,24,29.6,622,615,2,1,7,3,6,1,0,0,0,0,431,5,19
19,Tyler Adams,us USA,"MF,DF",RB Leipzig,de Bundesliga,21,20.6,1375,1273,100,22,0,2,19,78,0,0,0,0,1173,2,17
20,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,27,5.3,156,151,5,0,0,2,10,3,0,0,0,0,103,0,10
21,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,22,32.8,1918,1872,42,35,0,8,2,7,0,0,0,0,1647,4,11
22,Bobby Adekanye,nl NED,"FW,MF",Cádiz,es La Liga,21,0.4,10,10,0,0,0,0,2,0,0,0,0,0,7,0,0
23,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,20,26.9,1631,1559,65,40,6,25,53,6,18,7,8,0,1327,7,22
24,Andrea Adorante,it ITA,FW,Parma,it Serie A,20,0.1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
25,Adrián,es ESP,GK,Liverpool,eng Premier League,33,3.0,100,70,29,7,0,0,0,0,0,0,0,0,78,1,0
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
26,Martin Agirregabiria,es ESP,"DF,MF",Alavés,es La Liga,24,17.3,751,563,183,16,0,9,32,165,2,0,0,0,534,5,17
27,Lucien Agoume,fr FRA,MF,Spezia,it Serie A,18,8.9,487,472,12,11,1,5,1,1,0,0,0,0,434,3,2
28,Felix Agu,de GER,DF,Werder Bremen,de Bundesliga,20,7.8,299,231,68,0,0,1,12,68,0,0,0,0,210,0,9
29,Kevin Agudelo,co COL,FW,Spezia,it Serie A,21,15.1,328,310,16,0,1,1,11,2,2,0,0,0,228,2,25
30,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,24,35.0,2712,2631,80,79,0,30,1,1,0,0,0,0,2449,1,7
31,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,32,6.2,173,163,10,0,0,0,1,1,0,0,0,0,140,0,7
32,Ruben Aguilar,fr FRA,"DF,MF",Monaco,fr Ligue 1,27,24.7,1568,1341,221,32,1,14,118,167,22,8,11,0,1265,6,24
33,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,18,2.8,125,122,3,3,0,0,0,0,0,0,0,0,110,0,4
34,Matteo Ahlinvi,bj BEN,MF,Nîmes,fr Ligue 1,21,10.0,322,316,5,5,0,0,6,0,0,0,0,0,258,1,10
35,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,26,23.8,851,835,15,13,1,6,8,1,1,0,1,0,701,1,10
36,Jean-Eudes Aholou,ci CIV,MF,Monaco,fr Ligue 1,26,0.4,10,10,0,0,0,0,0,0,0,0,0,0,7,0,0
37,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,24,14.3,629,608,16,15,0,2,1,1,0,0,0,0,511,5,8
38,Ola Aina,ng NGA,DF,Fulham,eng Premier League,23,29.6,1769,1486,282,28,0,13,52,254,0,0,0,0,1352,1,34
39,Rayan Aït Nouri,dz ALG,DF,Wolves,eng Premier League,19,15.6,805,675,129,6,0,3,61,116,7,1,6,0,662,1,20
40,Rayan Aït Nouri,dz ALG,DF,Angers,fr Ligue 1,19,2.1,147,126,21,1,0,1,4,20,0,0,0,0,132,0,1
41,Semi Ajayi,ng NGA,DF,West Brom,eng Premier League,26,30.9,999,931,61,13,0,10,7,48,0,0,0,0,719,7,7
42,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,26,33.0,927,875,52,0,0,25,27,4,0,0,0,0,620,0,30
43,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,25,26.1,2137,2076,56,44,1,25,2,12,0,0,0,0,1961,5,8
44,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,27,9.6,356,245,109,7,0,0,18,102,0,0,0,0,229,2,6
45,Marley Aké,fr FRA,FW,Marseille,fr Ligue 1,19,1.6,31,28,2,0,0,0,2,0,0,0,0,0,22,1,1
46,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,25,8.9,763,741,22,11,0,0,1,11,0,0,0,0,709,0,5
47,Paul Akouokou,ci CIV,MF,Betis,es La Liga,22,4.2,187,186,1,1,0,1,2,0,0,0,0,0,170,0,0
48,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,it Serie A,27,11.7,361,340,20,5,0,2,4,12,0,0,0,0,293,1,11
49,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,25,13.2,735,684,50,20,0,3,8,30,0,0,0,0,600,1,7
50,David Alaba,at AUT,"DF,MF",Bayern Munich,de Bundesliga,28,29.7,2290,2181,99,55,0,16,37,41,2,0,1,0,1929,10,28
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
51,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,22,16.7,913,719,191,14,0,3,19,176,0,0,0,0,718,3,26
52,Jony Álamo,es ESP,MF,Elche,es La Liga,18,0.8,16,16,0,0,0,0,0,0,0,0,0,0,14,0,0
53,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,27,13.8,308,294,12,1,0,1,0,0,0,0,0,0,226,2,8
54,Jordi Alba,es ESP,"DF,FW",Barcelona,es La Liga,31,33.6,2929,2647,276,38,0,14,119,235,3,0,0,0,2479,6,45
55,Luis Alberto,es ESP,MF,Lazio,it Serie A,27,29.1,1946,1664,266,71,9,14,150,22,119,63,38,1,1493,16,43
56,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,34,34.6,2065,1994,68,62,0,19,6,5,0,0,0,0,1829,3,14
57,Marc Albrighton,eng ENG,"DF,FW",Leicester City,eng Premier League,30,19.4,933,830,97,8,1,9,118,60,29,6,15,0,627,6,53
58,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,26,17.2,270,229,37,0,1,0,3,1,0,0,0,0,193,4,7
59,Pedro Alcalá,es ESP,DF,Cádiz,es La Liga,31,10.1,282,266,14,14,0,5,0,0,0,0,0,0,205,2,4
60,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,29,20.6,1735,1686,44,30,3,19,7,3,0,0,0,0,1545,5,12
61,Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,29,24.1,1131,1076,48,43,0,39,10,5,0,0,0,0,930,7,14
62,Omar Alderete,py PAR,DF,Hertha BSC,de Bundesliga,23,14.4,916,878,32,31,0,5,2,1,0,0,0,0,732,6,4
63,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,31,24.9,1453,1377,74,61,2,16,1,13,0,0,0,0,1199,2,9
64,Iván Alejo,es ESP,"MF,FW",Cádiz,es La Liga,25,9.2,229,217,12,1,0,0,63,7,3,1,2,0,127,0,20
65,Carles Aleñá,es ESP,MF,Barcelona,es La Liga,22,0.5,39,39,0,0,0,0,0,0,0,0,0,0,36,0,0
66,Carles Aleñá,es ESP,"MF,FW",Getafe,es La Liga,22,15.2,591,510,74,37,1,7,60,4,32,16,10,0,390,7,16
67,Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,eng Premier League,25,0.2,11,8,3,2,0,0,0,0,0,0,0,0,7,0,0
68,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,21,33.7,3015,2516,488,56,6,55,297,326,106,16,61,2,2245,11,52
69,Alfon,es ESP,MF,Celta Vigo,es La Liga,21,0.4,16,16,0,0,0,0,0,0,0,0,0,0,16,0,0
70,Mohamed Ali Cho,fr FRA,"FW,MF",Angers,fr Ligue 1,16,3.9,111,106,3,0,0,0,11,2,0,0,0,0,67,2,6
71,Ezgjan Alioski,mk MKD,"DF,MF",Leeds United,eng Premier League,28,27.3,1670,1410,255,29,1,7,62,226,0,0,0,0,1321,5,44
72,Rachid Alioui,ma MAR,FW,Angers,fr Ligue 1,28,0.2,8,8,0,0,0,0,0,0,0,0,0,0,8,0,0
73,Alisson,br BRA,GK,Liverpool,eng Premier League,27,33.0,1157,919,234,61,0,2,0,0,0,0,0,0,1000,4,0
74,Saturnin Allagbé,bj BEN,GK,Dijon,fr Ligue 1,26,12.0,403,265,137,32,0,1,0,0,0,0,0,0,269,1,1
75,Allan,br BRA,MF,Everton,eng Premier League,29,22.8,1068,1029,35,22,1,4,4,5,0,0,0,0,908,4,18
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
76,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,24,6.9,345,316,27,8,1,1,10,3,0,0,0,0,275,2,12
77,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,eng Premier League,26,27.0,895,866,26,6,3,5,39,3,5,0,0,0,708,3,33
