Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
1,Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,22-227,26.4,797,711,85,26,8,2,72,5,38,17,14,1,592,1,27
2,Paxten Aaronson,us USA,"MF,DF",Eint Frankfurt,de Bundesliga,19-284,1.9,71,68,3,0,0,0,7,2,1,0,1,0,51,0,1
3,James Abankwah,ie IRL,DF,Udinese,it Serie A,19-141,0.7,29,22,7,3,0,1,0,4,0,0,0,0,23,0,0
4,George Abbott,eng ENG,MF,Tottenham,eng Premier League,17-293,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,35-251,37.0,2031,1882,142,116,0,30,5,10,0,0,0,0,1679,7,20
6,Himad Abdelli,fr FRA,"MF,FW",Angers,fr Ligue 1,23-201,23.7,1257,1193,60,20,8,6,35,16,10,3,1,0,1043,4,22
7,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,23-072,32.2,1981,1927,45,43,5,5,10,2,0,0,0,0,1819,9,15
8,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,30-125,26.0,1483,1431,49,47,10,8,6,1,1,0,0,0,1308,3,14
9,Oliver Abildgaard,dk DEN,MF,Hellas Verona,it Serie A,26-361,6.6,195,194,0,0,0,1,5,0,0,0,0,0,115,1,2
10,Matthis Abline,fr FRA,"FW,MF",Auxerre,fr Ligue 1,20-070,9.0,105,91,13,0,0,2,6,0,0,0,0,0,69,1,3
11,Matthis Abline,fr FRA,"FW,MF",Rennes,fr Ligue 1,20-070,1.2,15,15,0,0,1,0,2,0,0,0,0,0,7,0,1
12,Abner,br BRA,DF,Betis,es La Liga,23-010,6.7,351,275,75,1,0,2,13,74,0,0,0,0,252,1,15
13,Zakaria Aboukhlal,ma MAR,"FW,MF",Toulouse,fr Ligue 1,23-108,27.5,777,744,28,1,1,1,29,22,1,0,0,0,576,5,46
14,Tammy Abraham,eng ENG,FW,Roma,it Serie A,25-247,24.3,513,475,35,2,4,3,11,1,0,0,0,0,342,3,8
15,Christian Acella,it ITA,MF,Cremonese,it Serie A,20-334,0.2,9,9,0,0,0,0,0,0,0,0,0,0,9,0,0
16,Francesco Acerbi,it ITA,DF,Inter,it Serie A,35-116,26.9,1644,1546,93,41,1,10,22,21,0,0,0,0,1455,5,4
17,Álvaro Aceves,es ESP,GK,Valladolid,es La Liga,19-315,0.1,8,7,1,0,0,0,0,0,0,0,0,0,7,0,0
18,Mohamed Achi,fr FRA,FW,Nantes,fr Ligue 1,21-141,0.4,21,20,1,0,0,0,1,0,1,0,1,0,18,0,0
19,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,31-221,21.2,1307,1048,257,49,3,14,147,174,34,7,22,0,970,2,25
