Rk,Player,Nation,Pos,Squad,Comp,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
18,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,32,32,2813,88,82.3,31.3,32,88,30,0,,0,1.88,51,44,+7,+0.22,+0.37,48.6,39.2,+9.3,+0.30,+0.08
19,Ragnar Ache,de GER,"FW,DF",Eint Frankfurt,de Bundesliga,22,7,100,14,3.3,1.1,0,,0,7,14,3,2.29,4,1,+3,+2.70,+2.30,1.9,2.2,-0.2,-0.22,-0.58
20,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,28,30,2330,78,68.1,25.9,26,83,22,4,46,1,1.97,37,28,+9,+0.35,-0.56,41.1,23.8,+17.3,+0.67,+0.48
21,Che Adams,sct SCO,FW,Southampton,eng Premier League,24,36,2667,74,78.0,29.6,30,84,16,6,25,0,1.11,39,51,-12,-0.40,+0.67,32.1,37.4,-5.3,-0.18,+0.60
22,Tyler Adams,us USA,"MF,DF",RB Leipzig,de Bundesliga,21,27,1850,69,60.5,20.6,21,83,13,6,20,1,2.11,35,19,+16,+0.78,-0.11,37.0,18.7,+18.2,+0.89,-0.36
23,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,27,18,479,27,15.7,5.3,3,77,1,15,16,6,1.50,13,6,+7,+1.32,+1.63,11.1,10.4,+0.7,+0.13,+0.20
24,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,22,33,2953,89,86.3,32.8,33,89,32,0,,1,0.85,24,41,-17,-0.52,+1.22,35.8,46.2,-10.4,-0.32,+0.01
25,Enzo Adeagbo,ch SUI,DF,Lazio,it Serie A,18,0,,,,,0,,0,0,,3,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
26,Bobby Adekanye,nl NED,"FW,MF",Lazio,it Serie A,21,0,,,,,0,,0,0,,2,,,,,,,,,,,
27,Bobby Adekanye,nl NED,"FW,MF",Cádiz,es La Liga,21,3,36,12,1.1,0.4,0,,0,3,12,6,2.33,0,0,0,0.00,+0.59,0.9,0.5,+0.4,+0.91,+1.47
28,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,20,35,2418,69,70.7,26.9,25,84,16,10,32,0,1.17,28,47,-19,-0.71,-1.16,30.4,40.4,-9.9,-0.37,-0.24
29,Andrea Adorante,it ITA,FW,Parma,it Serie A,20,1,10,10,0.3,0.1,0,,0,1,10,5,0.00,0,1,-1,-9.00,-7.87,0.0,0.9,-0.8,-7.55,-7.08
30,Adrián,es ESP,GK,Liverpool,eng Premier League,33,3,270,90,7.9,3.0,3,90,3,0,,27,1.33,6,9,-3,-1.00,-1.83,7.1,4.6,+2.4,+0.81,+0.17
31,Martin Agirregabiria,es ESP,"DF,MF",Alavés,es La Liga,24,26,1558,60,45.6,17.3,16,83,11,10,24,12,1.12,19,31,-12,-0.69,-0.26,16.7,26.0,-9.3,-0.54,-0.63
32,Giuseppe Agostino,it ITA,GK,Genoa,it Serie A,17,0,,,,,0,,0,0,,1,,,,,,,,,,,
33,Lucien Agoume,fr FRA,MF,Spezia,it Serie A,18,12,800,67,23.4,8.9,9,84,6,3,13,22,1.08,14,14,0,0.00,+0.69,12.6,16.1,-3.5,-0.39,+0.13
34,Felix Agu,de GER,DF,Werder Bremen,de Bundesliga,20,15,701,47,22.9,7.8,8,76,5,7,13,16,1.00,12,15,-3,-0.39,+0.30,8.7,14.8,-6.1,-0.78,-0.24
35,Kevin Agudelo,co COL,FW,Spezia,it Serie A,21,29,1356,47,39.6,15.1,14,72,4,15,23,8,1.03,26,26,0,0.00,+0.87,19.7,22.7,-3.0,-0.20,+0.48
36,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,24,35,3147,90,92.0,35.0,35,90,34,0,,0,1.54,46,36,+10,+0.29,-0.37,41.7,35.0,+6.7,+0.19,-0.79
37,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,32,12,559,47,16.3,6.2,7,69,2,5,16,7,2.42,11,4,+7,+1.13,-0.26,10.9,4.5,+6.4,+1.03,+0.04
38,Ruben Aguilar,fr FRA,"DF,MF",Monaco,fr Ligue 1,27,33,2225,67,65.1,24.7,27,79,15,6,14,2,1.97,37,30,+7,+0.28,-1.75,38.2,24.8,+13.4,+0.54,-1.02
39,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,18,6,252,42,8.2,2.8,3,43,0,3,41,6,0.50,3,12,-9,-3.21,-3.53,4.9,7.0,-2.1,-0.75,-0.79
40,Sören Ahlers,de GER,GK,Schalke 04,de Bundesliga,22,0,,,,,0,,0,0,,2,,,,,,,,,,,
41,Matteo Ahlinvi,bj BEN,MF,Nîmes,fr Ligue 1,21,20,899,45,26.3,10.0,10,77,5,10,13,14,0.75,5,21,-16,-1.60,-1.07,9.2,21.8,-12.6,-1.26,-0.96
42,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,26,27,2146,79,62.7,23.8,26,82,14,1,17,0,1.19,34,38,-4,-0.17,+0.19,34.0,35.3,-1.2,-0.05,-0.29
43,Jean-Eudes Aholou,ci CIV,MF,Monaco,fr Ligue 1,26,2,36,18,1.1,0.4,0,,0,2,18,1,2.00,0,0,0,0.00,-0.90,0.2,0.5,-0.4,-0.93,-1.85
44,Antonis Aidonis,de GER,DF,Stuttgart,de Bundesliga,19,0,,,,,0,,0,0,,1,,,,,,,,,,,
45,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,24,25,1289,52,37.7,14.3,14,80,11,11,15,10,1.76,26,22,+4,+0.28,+0.53,20.1,19.1,+1.0,+0.07,+0.14
46,Ola Aina,ng NGA,DF,Fulham,eng Premier League,23,31,2664,86,77.9,29.6,31,86,24,0,,4,0.84,22,36,-14,-0.47,+0.96,30.4,42.0,-11.6,-0.39,-0.33
47,Rayan Aït Nouri,dz ALG,DF,Wolves,eng Premier League,19,21,1404,67,41.1,15.6,16,83,10,5,15,8,1.00,16,23,-7,-0.45,-0.05,15.1,18.5,-3.5,-0.22,+0.20
48,Rayan Aït Nouri,dz ALG,DF,Angers,fr Ligue 1,19,3,187,62,5.5,2.1,2,80,0,1,28,0,1.00,3,8,-5,-2.41,-2.04,2.0,5.7,-3.7,-1.79,-1.60
49,Semi Ajayi,ng NGA,DF,West Brom,eng Premier League,26,33,2780,84,81.3,30.9,31,88,30,2,26,4,0.64,31,71,-40,-1.29,-1.15,26.1,58.7,-32.6,-1.06,-1.13
50,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,26,35,2967,85,86.8,33.0,34,87,28,1,25,1,1.20,46,49,-3,-0.09,+1.10,48.7,45.0,+3.7,+0.11,+0.43
Rk,Player,Nation,Pos,Squad,Comp,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
51,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,25,28,2350,84,76.8,26.1,26,89,23,2,25,0,1.82,60,37,+23,+0.88,+0.12,53.4,30.9,+22.5,+0.86,+0.59
52,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,27,13,865,67,25.3,9.6,10,74,7,3,41,14,1.46,10,8,+2,+0.21,+1.05,8.7,10.2,-1.5,-0.15,+0.52
53,Marley Aké,fr FRA,FW,Juventus,it Serie A,19,0,,,,,0,,0,0,,3,,,,,,,,,,,
54,Marley Aké,fr FRA,FW,Marseille,fr Ligue 1,19,9,146,16,4.3,1.6,0,,0,9,16,11,1.56,3,3,0,0.00,-0.19,3.1,3.4,-0.4,-0.23,-0.23
55,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,25,10,797,80,23.3,8.9,9,86,8,1,20,7,1.70,16,13,+3,+0.34,-1.31,15.6,9.4,+6.2,+0.70,-0.39
56,Paul Akouokou,ci CIV,MF,Betis,es La Liga,22,10,378,38,11.1,4.2,4,75,1,6,13,21,1.50,6,3,+3,+0.71,+0.80,7.3,4.3,+3.0,+0.71,+0.73
57,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,it Serie A,27,32,1056,33,30.9,11.7,6,83,2,26,22,4,2.00,18,15,+3,+0.26,+0.14,15.0,13.8,+1.2,+0.11,-0.26
58,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,25,16,1184,74,38.7,13.2,14,83,10,2,14,2,1.06,21,22,-1,-0.08,-0.03,20.0,22.7,-2.7,-0.20,-0.27
59,David Alaba,at AUT,"DF,MF",Bayern Munich,de Bundesliga,28,32,2675,84,87.4,29.7,30,88,27,2,23,0,2.25,82,43,+39,+1.31,-2.43,62.7,37.5,+25.2,+0.85,-1.62
60,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,22,22,1505,68,44.0,16.7,17,84,9,5,17,9,0.77,22,34,-12,-0.72,+0.18,19.8,28.4,-8.6,-0.51,+0.07
61,Jony Álamo,es ESP,MF,Elche,es La Liga,18,1,73,73,2.1,0.8,1,73,0,0,,15,1.00,2,1,+1,+1.23,+1.82,0.6,0.8,-0.2,-0.29,+0.54
62,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,27,25,1245,50,40.7,13.8,12,75,3,13,27,4,1.56,21,15,+6,+0.43,+0.04,17.6,15.3,+2.4,+0.17,-0.06
63,Fabrizio Alastra,it ITA,GK,Parma,it Serie A,22,0,,,,,0,,0,0,,2,,,,,,,,,,,
64,David Alba,es ESP,MF,Getafe,es La Liga,21,0,,,,,0,,0,0,,3,,,,,,,,,,,
65,Jordi Alba,es ESP,"DF,FW",Barcelona,es La Liga,31,35,3025,86,88.5,33.6,34,88,28,1,45,1,2.14,79,34,+45,+1.34,+0.88,66.4,35.4,+31.1,+0.92,+0.55
66,Luis Alberto,es ESP,MF,Lazio,it Serie A,27,34,2618,77,76.5,29.1,33,78,10,1,39,0,1.82,46,39,+7,+0.24,+0.35,45.6,34.2,+11.4,+0.39,+0.46
67,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,34,35,3115,89,91.1,34.6,35,89,31,0,,2,1.40,51,42,+9,+0.26,-1.81,51.1,38.8,+12.3,+0.35,-0.13
68,Julian Albrecht,de GER,MF,Hertha BSC,de Bundesliga,18,0,,,,,0,,0,0,,1,,,,,,,,,,,
69,Marc Albrighton,eng ENG,"DF,FW",Leicester City,eng Premier League,30,31,1746,56,51.1,19.4,17,80,9,14,27,7,1.90,36,22,+14,+0.72,+0.51,30.5,24.1,+6.4,+0.33,+0.15
70,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,26,27,1544,57,45.1,17.2,19,71,1,8,24,2,1.44,25,22,+3,+0.17,-0.45,23.5,19.1,+4.5,+0.26,-0.19
71,Pedro Alcalá,es ESP,DF,Cádiz,es La Liga,31,13,909,70,26.6,10.1,8,87,7,5,42,20,0.77,12,25,-13,-1.29,-0.96,10.7,17.5,-6.8,-0.67,-0.17
72,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,29,24,1854,77,54.2,20.6,20,85,13,4,40,1,1.71,34,18,+16,+0.78,+0.20,38.5,22.2,+16.4,+0.79,+0.32
73,Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,29,30,2165,72,63.3,24.1,25,82,15,5,22,1,0.90,24,39,-15,-0.62,-0.05,27.6,30.9,-3.3,-0.14,+0.55
74,Omar Alderete,py PAR,DF,Hertha BSC,de Bundesliga,23,17,1299,76,42.5,14.4,14,89,13,3,18,12,1.18,17,19,-2,-0.14,+0.32,18.7,17.9,+0.8,+0.06,+0.38
75,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,31,25,2240,90,65.5,24.9,25,90,24,0,,10,1.80,44,25,+19,+0.76,+0.46,33.9,29.4,+4.5,+0.18,+0.23
Rk,Player,Nation,Pos,Squad,Comp,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
76,Iván Alejo,es ESP,"MF,FW",Cádiz,es La Liga,25,22,827,38,24.2,9.2,6,69,0,16,26,12,1.36,10,13,-3,-0.33,+0.33,9.4,13.7,-4.2,-0.46,+0.11
77,Carles Aleñá,es ESP,MF,Barcelona,es La Liga,22,2,48,24,1.4,0.5,0,,0,2,24,14,3.00,1,0,+1,+1.87,+0.65,0.5,2.0,-1.4,-2.66,-3.57
78,Carles Aleñá,es ESP,"MF,FW",Getafe,es La Liga,22,22,1366,62,39.9,15.2,15,83,6,7,18,0,0.95,10,21,-11,-0.72,-0.55,16.5,15.3,+1.3,+0.08,+0.40
79,Kyle Alex John,eng ENG,DF,Everton,eng Premier League,19,0,,,,,0,,,0,,6,,,,,,,,,,,
80,Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,eng Premier League,25,1,16,16,0.5,0.2,0,,0,1,16,21,0.00,0,0,0,0.00,-0.42,0.2,0.4,-0.3,-1.36,-1.60
81,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,25,0,,,,,0,,,0,,3,,,,,,,,,,,
82,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,21,36,3031,84,88.6,33.7,34,88,30,2,19,0,1.81,60,40,+20,+0.59,-0.79,61.2,37.5,+23.8,+0.71,+0.53
83,Alfon,es ESP,MF,Celta Vigo,es La Liga,21,2,34,17,1.0,0.4,0,,0,2,17,3,0.50,0,0,0,0.00,+0.05,0.2,0.2,0.0,+0.07,+0.09
84,Mohamed Ali Cho,fr FRA,"FW,MF",Angers,fr Ligue 1,16,21,348,17,10.2,3.9,1,65,0,20,14,10,0.67,5,8,-3,-0.78,-0.34,5.6,5.8,-0.2,-0.05,+0.26
85,Marco Alia,al ALB,GK,Lazio,it Serie A,20,0,,,,,0,,0,0,,31,,,,,,,,,,,
86,Ezgjan Alioski,mk MKD,"DF,MF",Leeds United,eng Premier League,28,36,2461,68,72.0,27.3,29,79,19,7,22,2,1.64,47,35,+12,+0.44,+0.81,45.0,41.3,+3.7,+0.13,+0.69
87,Rachid Alioui,ma MAR,FW,Angers,fr Ligue 1,28,1,15,15,0.4,0.2,0,,0,1,15,0,1.00,0,0,0,0.00,+0.48,0.0,0.0,0.0,+0.05,+0.33
88,Alisson,br BRA,GK,Liverpool,eng Premier League,27,33,2970,90,86.8,33.0,33,90,33,0,,0,1.88,58,32,+26,+0.79,+0.79,58.3,36.7,+21.6,+0.66,+0.07
89,Saturnin Allagbé,bj BEN,GK,Dijon,fr Ligue 1,26,12,1080,90,31.6,12.0,12,90,12,0,,20,0.67,6,30,-24,-2.00,-1.08,10.8,23.1,-12.3,-1.03,-0.01
90,Allan,br BRA,MF,Everton,eng Premier League,29,24,2051,85,60.0,22.8,23,88,21,1,33,2,1.54,27,30,-3,-0.13,-0.26,29.5,30.1,-0.6,-0.03,+0.23
91,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,24,15,620,41,18.1,6.9,7,70,1,8,16,8,1.33,11,9,+2,+0.29,-0.38,11.0,8.8,+2.1,+0.31,+0.25
92,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,eng Premier League,26,34,2429,71,71.0,27.0,28,82,12,6,20,2,1.18,30,48,-18,-0.67,-0.85,29.1,40.8,-11.7,-0.43,-0.14
93,Gael Alonso,es ESP,DF,Celta Vigo,es La Liga,18,0,,,,,0,,0,0,,1,,,,,,,,,,,
94,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,29,13,960,74,28.1,10.7,11,84,9,2,20,9,2.08,15,13,+2,+0.19,-0.54,15.5,9.8,+5.7,+0.53,-0.43
95,Altube,es ESP,GK,Real Madrid,es La Liga,20,0,,,,,0,,0,0,,35,,,,,,,,,,,
96,Fran Álvarez,es ESP,MF,Valladolid,es La Liga,22,0,,,,,0,,0,0,,1,,,,,,,,,,,
97,Iker Álvarez,ad AND,GK,Villarreal,es La Liga,19,0,,,,,0,,0,0,,3,,,,,,,,,,,
98,Sergio Álvarez,es ESP,"MF,DF",Eibar,es La Liga,28,27,1568,58,45.8,17.4,17,84,12,10,15,11,0.89,10,28,-18,-1.03,-0.79,14.0,24.6,-10.6,-0.61,-1.10
99,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,25,23,1948,85,57.0,21.6,22,87,21,1,45,3,1.22,29,26,+3,+0.14,+0.08,26.0,24.3,+1.7,+0.08,-0.14
100,Bruno Alves,pt POR,DF,Parma,it Serie A,38,19,1632,86,47.7,18.1,18,90,18,1,12,11,0.58,10,39,-29,-1.60,-0.84,13.9,29.6,-15.6,-0.86,-0.71
Rk,Player,Nation,Pos,Squad,Comp,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
101,Steven Alzate,co COL,MF,Brighton,eng Premier League,21,15,896,60,26.2,10.0,10,76,4,5,28,20,0.93,10,17,-7,-0.70,-0.74,11.3,11.2,+0.1,+0.01,-0.55
102,Alfons Amade,de GER,"DF,MF",Hoffenheim,de Bundesliga,20,0,,,,,0,,0,0,,1,,,,,,,,,,,
103,Ibrahim Amadou,fr FRA,MF,Angers,fr Ligue 1,27,24,1504,63,44.0,16.7,20,72,7,4,15,0,1.25,13,19,-6,-0.36,+0.20,17.9,20.9,-3.0,-0.18,+0.18
104,Romain Amalfitano,fr FRA,"FW,DF",Dijon,fr Ligue 1,30,2,116,58,3.4,1.3,1,70,0,1,46,0,0.00,1,4,-3,-2.33,-1.10,0.3,5.3,-5.0,-3.91,-2.99
105,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,es La Liga,18,1,45,45,1.3,0.5,0,,0,1,45,9,0.00,1,2,-1,-2.00,-1.63,0.9,1.1,-0.2,-0.40,-0.24
106,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,25,12,722,60,21.1,8.0,8,80,6,4,21,14,1.54,13,14,-1,-0.12,-0.76,9.9,9.1,+0.7,+0.09,-0.21
107,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,26,13,813,63,23.8,9.0,10,80,7,3,3,2,2.31,16,6,+10,+1.11,+1.21,11.3,12.6,-1.3,-0.15,-0.18
108,Thierry Ambrose,gp GLP,FW,Metz,fr Ligue 1,23,23,753,33,22.0,8.4,5,62,0,18,25,10,1.22,13,12,+1,+0.12,+0.29,9.6,11.5,-1.9,-0.23,-0.12
109,Wisdom Amey,it ITA,DF,Bologna,it Serie A,14,1,2,2,0.1,0.0,0,,0,1,2,2,0.00,0,0,0,0.00,+0.37,0.0,0.0,0.0,+1.11,+1.32
110,Bruno Amione,ar ARG,DF,Hellas Verona,it Serie A,18,0,,,,,0,,0,0,,13,,,,,,,,,,,
111,Nadiem Amiri,de GER,MF,Leverkusen,de Bundesliga,23,29,1890,65,61.8,21.0,20,85,14,9,21,0,1.62,39,24,+15,+0.71,+0.79,27.6,23.7,+3.9,+0.19,-0.06
112,Yanis Ammour,fr FRA,FW,Montpellier,fr Ligue 1,21,0,,,,,0,,,0,,1,,,,,,,,,,,
113,Ethan Ampadu,wls WAL,"DF,MF",Sheffield Utd,eng Premier League,19,25,2089,84,61.1,23.2,23,86,19,2,53,4,0.52,12,41,-29,-1.25,-0.30,20.1,39.1,-19.0,-0.82,-0.10
114,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,23,31,2441,79,71.4,27.1,28,86,21,3,11,4,1.06,33,44,-11,-0.41,-0.31,33.4,44.0,-10.6,-0.39,+0.16
115,Jon Ander Garrido,es ESP,MF,Cádiz,es La Liga,30,23,800,35,23.4,8.9,7,73,2,16,18,13,1.17,6,18,-12,-1.35,-1.01,8.6,18.9,-10.4,-1.17,-0.81
116,Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,24,31,2730,88,79.8,30.3,30,89,29,1,59,0,0.87,22,35,-13,-0.43,+1.27,33.4,39.9,-6.5,-0.21,+0.52
117,Joachim Andersen,dk DEN,DF,Lyon,fr Ligue 1,24,3,192,64,5.6,2.1,2,90,2,1,12,3,1.33,1,2,-1,-0.47,-1.56,4.4,2.0,+2.3,+1.09,+0.04
118,Djavan Anderson,nl NED,DF,Lazio,it Serie A,25,3,72,24,2.1,0.8,1,45,0,2,14,13,1.00,0,2,-2,-2.50,-2.72,0.4,0.7,-0.3,-0.37,-0.67
119,Elliot Anderson,sct SCO,MF,Newcastle Utd,eng Premier League,17,1,4,4,0.1,0.0,0,,0,1,4,8,0.00,0,0,0,0.00,+0.42,0.0,0.2,-0.2,-3.66,-3.27
120,Felipe Anderson,br BRA,"FW,MF",West Ham,eng Premier League,27,2,3,2,0.1,0.0,0,,0,2,2,2,0.00,0,0,0,0.00,-0.40,0.0,0.2,-0.1,-4.35,-4.53
121,Sebastian Andersson,se SWE,FW,Köln,de Bundesliga,29,16,1126,70,36.8,12.5,14,79,4,2,10,1,0.69,14,23,-9,-0.72,+0.07,19.2,18.4,+0.8,+0.07,+0.71
122,Florin Andone,ro ROU,FW,Brighton,eng Premier League,27,0,,,,,0,,,0,,1,,,,,,,,,,,
123,Nícolas Andrade,br BRA,GK,Udinese,it Serie A,32,2,180,90,5.3,2.0,2,90,2,0,,3,1.50,5,5,0,0.00,+0.44,3.9,2.1,+1.8,+0.91,+1.15
124,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,29,35,2885,82,84.4,32.1,35,82,17,0,,0,2.20,47,17,+30,+0.94,-0.91,36.1,23.1,+13.0,+0.41,-0.54
125,Lluis Andreu,es ESP,GK,Elche,es La Liga,21,0,,,,,0,,0,0,,11,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
126,Robert Andrich,de GER,MF,Union Berlin,de Bundesliga,25,29,2526,87,82.5,28.1,29,87,26,0,,0,1.45,43,32,+11,+0.39,+1.07,42.0,33.4,+8.6,+0.31,+1.07
127,Victorien Angban,ci CIV,MF,Metz,fr Ligue 1,23,26,1672,64,48.9,18.6,21,76,7,5,15,8,1.50,21,23,-2,-0.11,0.00,19.9,21.1,-1.2,-0.06,+0.14
128,Ángel,es ESP,GK,Granada,es La Liga,18,1,90,90,2.6,1.0,1,90,1,0,,0,0.00,0,2,-2,-2.00,-1.57,0.8,3.4,-2.5,-2.54,-2.20
129,José Ángel,es ESP,DF,Eibar,es La Liga,30,14,901,64,26.3,10.0,11,76,5,3,23,5,0.64,5,18,-13,-1.30,-0.94,12.6,9.6,+3.0,+0.30,+0.43
130,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,36,0,,,,,0,,0,0,,17,,,,,,,,,,,
131,Miguel Ángel Rubio,es ESP,DF,Valladolid,es La Liga,22,2,135,68,3.9,1.5,1,90,1,1,45,9,0.50,1,3,-2,-1.33,-0.76,1.3,3.8,-2.5,-1.65,-1.37
132,Angeliño,es ESP,"DF,FW",RB Leipzig,de Bundesliga,23,26,2161,83,70.6,24.0,24,87,18,2,38,2,1.88,43,20,+23,+0.96,+0.46,46.2,19.6,+26.5,+1.11,+0.26
133,Davide Angelo Ghislandi,it ITA,DF,Atalanta,it Serie A,19,1,5,5,0.1,0.1,0,,0,1,5,5,3.00,0,0,0,0.00,-1.13,0.1,0.0,+0.1,+1.20,+0.31
134,Faustino Anjorin,eng ENG,MF,Chelsea,eng Premier League,18,0,,,,,0,,,0,,3,,,,,,,,,,,
135,Peter Ankersen,dk DEN,DF,Genoa,it Serie A,29,0,,,,,0,,0,0,,1,,,,,,,,,,,
