Rk,Player,Nation,Pos,Squad,Comp,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
1,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,21,2,11,6,0.3,0.1,0,,0,2,6,18,2.00,0,0,0,0.00,+0.24,0.0,0.2,-0.2,-1.75,-1.81
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,29,22,1777,81,52.0,19.7,20,88,19,2,11,11,1.05,19,36,-17,-0.86,-0.42,17.1,30.9,-13.8,-0.70,-0.13
3,Issah Abbas,gh GHA,"DF,FW",Mainz 05,de Bundesliga,21,2,18,9,0.6,0.2,0,,0,2,9,5,0.00,0,0,0,0.00,+0.50,0.9,0.0,+0.9,+4.36,+4.45
4,Basit Abdallah,gh GHA,MF,Benevento,it Serie A,20,0,,,,,0,,0,0,,13,,,,,,,,,,,
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,32,33,2889,88,84.5,32.1,33,88,32,0,,0,1.18,37,39,-2,-0.06,+0.95,29.1,45.4,-16.2,-0.51,+1.20
6,Sabit Abdulai,gh GHA,MF,Getafe,es La Liga,21,3,60,20,1.8,0.7,0,,0,3,20,16,0.67,1,2,-1,-1.50,-1.13,0.9,1.4,-0.4,-0.65,-0.51
7,Eris Abedini,xk KVX,MF,Granada,es La Liga,21,0,,,,,0,,0,0,,1,,,,,,,,,,,
8,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,27,18,1320,73,38.6,14.7,15,83,10,3,23,1,0.94,13,23,-10,-0.68,-0.77,16.2,22.8,-6.6,-0.45,-0.54
9,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,27,38,2963,78,86.6,32.9,32,85,22,6,40,0,1.11,42,53,-11,-0.33,+1.04,41.8,43.0,-1.2,-0.04,+0.52
10,Charles Abi,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,20,24,912,38,26.7,10.1,9,64,1,15,22,2,1.33,16,23,-7,-0.69,-0.51,15.5,16.1,-0.6,-0.06,-0.03
11,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,17,1,2,2,0.1,0.0,0,,0,1,2,3,3.00,1,0,+1,+45.00,+44.71,0.4,0.0,+0.4,+17.75,+17.50
12,Pape Abou Cissé,sn SEN,DF,Saint-Étienne,fr Ligue 1,24,14,1260,90,36.8,14.0,14,90,14,0,,1,1.64,21,18,+3,+0.21,+0.84,20.0,19.6,+0.4,+0.03,+0.10
13,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,21,0,,,,,0,,0,0,,2,,,,,,,,,,,
14,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34,14,1222,87,39.9,13.6,14,87,12,0,,0,1.64,25,17,+8,+0.59,+0.20,24.9,15.8,+9.1,+0.67,+0.55
15,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,22,22,1040,47,30.4,11.6,12,74,7,10,15,8,1.77,23,12,+11,+0.95,+0.54,20.0,8.2,+11.8,+1.02,+0.25
16,Amir Abrashi,al ALB,"MF,DF",Freiburg,de Bundesliga,30,5,60,12,2.0,0.7,0,,0,5,12,7,2.40,1,1,0,0.00,0.00,1.0,1.3,-0.3,-0.44,-0.24
17,Gennaro Acampora,it ITA,"MF,FW",Spezia,it Serie A,26,14,441,32,12.9,4.9,2,90,1,12,22,9,0.86,8,12,-4,-0.82,-0.33,6.1,9.3,-3.2,-0.64,-0.18
