Rk,Player,Nation,Pos,Squad,Comp,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
14,Tammy Abraham,eng ENG,FW,Roma,it Serie A,25-248,24.3,2,0,0,33,48,11,11,3,10,1,0,0,46,80,74,51.9
15,Christian Acella,it ITA,MF,Cremonese,it Serie A,20-335,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
16,Francesco Acerbi,it ITA,DF,Inter,it Serie A,35-117,26.9,4,0,0,17,13,2,22,41,19,0,0,0,151,78,42,65.0
17,Álvaro Aceves,es ESP,GK,Valladolid,es La Liga,19-316,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,50.0
18,Mohamed Achi,fr FRA,FW,Nantes,fr Ligue 1,21-142,0.4,0,0,0,2,0,0,1,0,1,0,0,0,2,0,0,
19,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,31-222,21.2,10,3,0,32,34,1,147,23,36,0,1,0,141,30,18,62.5
20,Che Adams,sct SCO,FW,Southampton,eng Premier League,26-329,22.1,1,0,0,38,27,14,12,4,13,0,0,0,53,61,103,37.2
21,Tyler Adams,us USA,MF,Leeds United,eng Premier League,24-113,24.0,6,1,1,37,21,1,2,35,46,0,0,0,199,25,15,62.5
22,Sargis Adamyan,am ARM,"FW,MF",Köln,de Bundesliga,30-015,7.2,3,0,0,17,6,4,13,4,7,0,0,0,40,12,25,32.4
23,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,25-256,23.2,4,0,0,17,5,3,2,26,13,0,0,0,110,59,26,69.4
24,Martin Adeline,fr FRA,"MF,FW",Reims,fr Ligue 1,19-187,1.2,2,0,0,5,0,0,0,3,3,0,0,0,11,6,5,54.5
25,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,21-140,15.4,9,0,0,21,30,1,25,7,11,0,0,0,66,10,4,71.4
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
26,Amine Adli,fr FRA,"FW,MF",Leverkusen,de Bundesliga,23-028,15.9,2,2,0,39,47,4,18,6,10,2,1,0,61,29,41,41.4
27,Yacine Adli,fr FRA,"MF,FW",Milan,it Serie A,22-313,1.6,1,0,0,4,1,1,6,1,3,0,0,0,8,1,3,25.0
28,Michel Aebischer,ch SUI,"FW,MF",Bologna,it Serie A,26-152,17.1,4,0,0,22,22,7,21,7,6,1,1,0,68,10,25,28.6
29,Felix Afena-Gyan,gh GHA,"FW,MF",Cremonese,it Serie A,20-139,9.1,4,0,0,18,11,6,4,1,3,0,0,0,39,17,42,28.8
30,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,25-355,26.5,5,3,0,29,6,0,2,32,49,0,1,1,248,60,36,62.5
31,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,22-163,7.5,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,100.0
32,Lucien Agoume,fr FRA,MF,Troyes,fr Ligue 1,21-118,12.2,5,0,0,30,8,1,9,27,25,0,0,0,84,31,18,63.3
33,Felix Agu,de GER,"DF,FW",Werder Bremen,de Bundesliga,23-253,0.5,0,0,0,3,3,0,1,0,0,0,1,0,3,1,1,50.0
34,Álvaro Aguado,es ESP,MF,Valladolid,es La Liga,27-037,21.0,4,0,0,13,33,0,57,13,15,0,1,0,130,15,17,46.9
35,Kevin Agudelo,co COL,"MF,FW",Spezia,it Serie A,24-205,23.7,5,0,0,34,35,2,34,10,38,0,0,0,140,17,27,38.6
36,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,27-069,17.7,4,0,0,8,8,2,0,18,18,0,1,0,105,32,31,50.8
37,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,30-042,13.0,3,0,0,15,14,1,39,18,9,0,0,0,80,12,14,46.2
38,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,eng Premier League,21-070,1.0,1,0,0,2,0,2,2,0,2,0,0,0,8,0,1,0.0
39,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,21-070,15.5,4,1,1,16,17,1,6,8,11,0,1,0,88,7,16,30.4
40,Amar Ahmed,se SWE,FW,Troyes,fr Ligue 1,19-108,0.2,0,0,0,1,1,0,0,1,1,0,0,0,2,0,3,0.0
41,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,29-079,14.4,4,1,0,39,23,1,5,24,20,0,0,0,91,26,18,59.1
42,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,27-251,34.7,6,1,1,18,18,0,2,31,36,0,1,0,214,63,63,50.0
43,Ola Aina,ng NGA,DF,Torino,it Serie A,26-242,9.7,5,0,0,16,16,1,35,11,13,0,1,0,62,12,10,54.5
44,Rayan Aït Nouri,dz ALG,DF,Wolves,eng Premier League,22-001,12.0,4,0,0,15,11,3,21,9,20,0,1,1,61,14,17,45.2
45,Emanuel Aiwum,at AUT,DF,Cremonese,it Serie A,22-164,18.4,3,0,0,21,15,0,4,25,34,0,0,0,121,28,17,62.2
46,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,25-051,8.5,0,0,0,5,8,0,6,7,8,0,1,0,36,15,11,57.7
47,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,29-102,8.6,1,0,0,14,8,1,0,2,4,0,0,0,21,50,33,60.2
48,Ludovic Ajorque,fr FRA,"FW,MF",Mainz 05,de Bundesliga,29-102,13.5,5,0,0,23,19,5,4,1,5,0,0,0,50,91,85,51.7
49,Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,27-323,25.4,2,0,0,24,12,0,6,16,25,0,0,0,136,23,34,40.4
50,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,28-109,20.8,2,0,0,12,14,1,15,20,12,0,0,0,96,36,23,61.0
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
51,Sergio Akieme,es ESP,DF,Almería,es La Liga,25-173,25.5,5,0,0,20,18,0,70,14,16,0,0,0,127,14,15,48.3
52,Babatunde Akinsola,ng NGA,FW,Valladolid,es La Liga,20-089,0.1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,
53,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,fr Ligue 1,21-102,4.5,3,0,0,7,4,1,10,3,4,0,0,0,23,2,6,25.0
54,Paul Akouokou,ci CIV,"MF,DF",Betis,es La Liga,25-169,5.0,3,0,0,7,4,0,0,12,9,0,0,0,27,6,7,46.2
55,Jean-Daniel Akpa-Akpro,ci CIV,"MF,FW",Empoli,it Serie A,30-239,15.1,9,2,1,31,18,0,11,13,37,0,0,0,76,16,18,47.1
56,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,28-049,21.7,11,0,0,33,19,0,8,24,44,0,0,0,131,57,45,55.9
57,David Alaba,at AUT,DF,Real Madrid,es La Liga,30-348,20.4,3,0,0,9,3,0,26,14,11,0,1,0,94,11,8,57.9
58,Ángel Alarcón,es ESP,"MF,FW",Barcelona,es La Liga,19-023,0.3,0,0,0,2,1,0,1,0,0,0,0,0,1,0,1,0.0
59,Tomás Alarcón,cl CHI,MF,Cádiz,es La Liga,24-139,2.5,2,1,1,4,3,0,6,2,2,0,0,0,14,3,1,75.0
60,Lucas Alario,ar ARG,"FW,MF",Eint Frankfurt,de Bundesliga,30-242,3.7,0,0,0,9,2,5,0,2,2,0,0,0,10,21,23,47.7
61,Jordi Alba,es ESP,DF,Barcelona,es La Liga,34-078,15.8,6,1,1,11,4,10,91,11,18,0,0,0,118,8,15,34.8
62,Luis Alberto,es ESP,MF,Lazio,it Serie A,30-252,27.1,3,0,0,15,13,2,147,9,29,0,0,0,162,8,13,38.1
63,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,37-276,23.5,6,0,0,17,13,1,1,14,17,0,0,0,108,38,25,60.3
64,Marc Albrighton,eng ENG,"FW,MF",Leicester City,eng Premier League,33-201,2.6,0,0,0,2,2,1,28,1,1,0,0,0,13,1,1,50.0
65,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,32-057,13.9,2,0,0,18,25,0,3,21,24,0,1,0,111,14,24,36.8
66,Carlos Alcaraz,ar ARG,"MF,FW",Southampton,eng Premier League,20-189,11.4,3,0,0,16,17,2,4,1,5,0,0,0,53,7,27,20.6
67,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,32-037,22.7,11,1,1,45,33,0,44,19,31,0,1,0,159,30,29,50.8
68,Omar Alderete,py PAR,DF,Getafe,es La Liga,26-163,22.7,9,0,0,35,10,0,7,26,20,0,0,0,141,61,31,66.3
69,Iván Alejo,es ESP,"MF,FW",Cádiz,es La Liga,28-117,14.6,13,1,1,38,44,2,108,5,21,0,1,0,76,25,17,59.5
70,Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,20-221,4.5,1,0,0,0,0,0,0,0,0,0,0,0,6,2,0,100.0
71,Carles Aleñá,es ESP,"MF,FW",Getafe,es La Liga,25-153,23.5,12,1,1,60,50,3,43,4,10,0,1,0,120,15,38,28.3
72,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,24-243,32.5,5,0,0,22,6,5,252,43,40,0,0,0,239,20,13,60.6
73,Alejandro Alfaro,es ESP,MF,Elche,es La Liga,20-357,0.2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,
74,Ángel Algobia,es ESP,MF,Getafe,es La Liga,23-349,12.6,3,0,0,31,10,0,11,3,13,0,0,0,68,7,21,25.0
75,Mohamed Ali Cho,fr FRA,"FW,MF",Real Sociedad,es La Liga,19-139,6.5,1,0,0,11,12,3,30,2,10,1,0,0,34,5,15,25.0
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
76,Faride Alidou,de GER,"DF,MF",Eint Frankfurt,de Bundesliga,21-324,2.0,0,0,0,8,1,2,7,1,5,0,0,0,16,2,7,22.2
77,Alisson,br BRA,GK,Liverpool,eng Premier League,30-248,37.0,1,0,0,1,5,0,0,0,0,0,0,0,71,11,1,91.7
78,Jim Allevinah,ga GAB,"DF,FW",Clermont Foot,fr Ligue 1,28-100,24.9,2,0,0,22,53,1,65,24,24,0,0,0,153,12,17,41.4
79,Dele Alli,eng ENG,MF,Everton,eng Premier League,27-057,0.4,0,0,0,0,1,0,0,0,0,0,0,0,2,1,2,33.3
80,Domingos André Ribeiro Almeida,pt POR,MF,Valencia,es La Liga,23-008,28.2,3,0,0,31,40,1,127,20,42,0,0,0,161,14,29,32.6
