Rk,Player,Nation,Pos,Squad,Comp,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
1,Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,22-227,26.4,95,3.60,57,17,7,5,8,1,7,0.27,3,1,0,1,1,1
2,Paxten Aaronson,us USA,"MF,DF",Eint Frankfurt,de Bundesliga,19-284,1.9,8,4.16,4,1,0,2,1,0,2,1.04,1,0,0,1,0,0
3,James Abankwah,ie IRL,DF,Udinese,it Serie A,19-141,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
4,George Abbott,eng ENG,MF,Tottenham,eng Premier League,17-293,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,35-251,37.0,43,1.16,34,0,2,5,0,2,7,0.19,4,0,2,1,0,0
6,Himad Abdelli,fr FRA,"MF,FW",Angers,fr Ligue 1,23-201,23.7,69,2.91,59,4,3,1,0,2,3,0.13,3,0,0,0,0,0
7,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,23-072,32.2,50,1.55,43,0,2,2,2,1,1,0.03,1,0,0,0,0,0
8,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,30-125,26.0,33,1.27,27,2,2,1,0,1,1,0.04,1,0,0,0,0,0
9,Oliver Abildgaard,dk DEN,MF,Hellas Verona,it Serie A,26-361,6.6,9,1.37,8,0,0,1,0,0,0,0.00,0,0,0,0,0,0
10,Matthis Abline,fr FRA,"FW,MF",Auxerre,fr Ligue 1,20-070,9.0,15,1.67,8,0,5,0,2,0,3,0.33,1,0,1,0,1,0
11,Matthis Abline,fr FRA,"FW,MF",Rennes,fr Ligue 1,20-070,1.2,7,5.94,2,0,0,3,1,1,2,1.70,0,0,0,0,1,1
12,Abner,br BRA,DF,Betis,es La Liga,23-010,6.7,8,1.18,5,1,1,1,0,0,1,0.15,1,0,0,0,0,0
13,Zakaria Aboukhlal,ma MAR,"FW,MF",Toulouse,fr Ligue 1,23-108,27.5,80,2.91,44,1,10,13,10,2,8,0.29,4,0,1,2,1,0
14,Tammy Abraham,eng ENG,FW,Roma,it Serie A,25-247,24.3,70,2.88,46,0,7,10,7,0,9,0.37,4,0,1,3,1,0
15,Christian Acella,it ITA,MF,Cremonese,it Serie A,20-334,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
16,Francesco Acerbi,it ITA,DF,Inter,it Serie A,35-116,26.9,37,1.37,34,1,0,2,0,0,1,0.04,1,0,0,0,0,0
17,Álvaro Aceves,es ESP,GK,Valladolid,es La Liga,19-315,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
18,Mohamed Achi,fr FRA,FW,Nantes,fr Ligue 1,21-141,0.4,1,2.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
19,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,31-221,21.2,65,3.04,45,14,3,3,0,0,4,0.19,4,0,0,0,0,0
20,Che Adams,sct SCO,FW,Southampton,eng Premier League,26-328,22.1,57,2.57,44,1,2,5,5,0,7,0.32,5,0,0,0,2,0
21,Tyler Adams,us USA,MF,Leeds United,eng Premier League,24-112,24.0,43,1.79,42,0,0,0,1,0,1,0.04,1,0,0,0,0,0
22,Sargis Adamyan,am ARM,"FW,MF",Köln,de Bundesliga,30-014,7.2,22,3.07,16,0,0,6,0,0,3,0.42,1,0,0,2,0,0
23,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,25-255,23.2,18,0.78,15,0,0,3,0,0,0,0.00,0,0,0,0,0,0
24,Martin Adeline,fr FRA,"MF,FW",Reims,fr Ligue 1,19-186,1.2,2,1.68,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
25,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,21-139,15.4,59,3.83,40,0,8,5,4,2,12,0.78,9,0,2,1,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
26,Amine Adli,fr FRA,"FW,MF",Leverkusen,de Bundesliga,23-027,15.9,56,3.50,36,3,4,4,8,1,11,0.69,6,0,3,0,2,0
27,Yacine Adli,fr FRA,"MF,FW",Milan,it Serie A,22-312,1.6,3,1.87,2,1,0,0,0,0,1,0.62,1,0,0,0,0,0
28,Michel Aebischer,ch SUI,"FW,MF",Bologna,it Serie A,26-151,17.1,35,2.04,25,3,2,2,2,1,3,0.18,1,0,0,1,1,0
29,Felix Afena-Gyan,gh GHA,"FW,MF",Cremonese,it Serie A,20-138,9.1,15,1.65,10,0,1,4,0,0,1,0.11,0,0,0,1,0,0
30,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,25-354,26.5,31,1.17,26,1,0,4,0,0,3,0.11,2,0,0,1,0,0
31,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,22-162,7.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
32,Lucien Agoume,fr FRA,MF,Troyes,fr Ligue 1,21-117,12.2,27,2.22,23,3,0,1,0,0,1,0.08,1,0,0,0,0,0
33,Felix Agu,de GER,"DF,FW",Werder Bremen,de Bundesliga,23-252,0.5,4,7.20,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0
34,Álvaro Aguado,es ESP,MF,Valladolid,es La Liga,27-036,21.0,76,3.62,56,13,3,0,4,0,4,0.19,2,2,0,0,0,0
35,Kevin Agudelo,co COL,"MF,FW",Spezia,it Serie A,24-204,23.7,59,2.49,41,1,9,4,4,0,3,0.13,2,0,0,0,1,0
36,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,27-068,17.7,14,0.79,12,1,0,1,0,0,0,0.00,0,0,0,0,0,0
