Rk,Player,Nation,Pos,Squad,Comp,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
273,Juan Bernat,es ESP,"DF,MF",Paris S-G,fr Ligue 1,25,20.4,46,2.25,41,4,0,0,1,0,4,0.20,4,0,0,0,0,0
274,Antoine Bernede,fr FRA,MF,Paris S-G,fr Ligue 1,19,1.9,3,1.60,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
275,Dimitry Bertaud,fr FRA,GK,Montpellier,fr Ligue 1,20,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
276,Ryan Bertrand,eng ENG,DF,Southampton,eng Premier League,28,24.0,53,2.21,36,11,0,1,4,1,6,0.25,4,2,0,0,0,0
277,Daniel Bessa,it ITA,MF,Genoa,it Serie A,25,27.1,88,3.25,68,10,2,3,2,3,7,0.26,4,1,0,1,1,0
278,Marcus Bettinelli,eng ENG,GK,Fulham,eng Premier League,26,7.0,3,0.43,1,2,0,0,0,0,0,0.00,0,0,0,0,0,0
279,Jordan Beyer,de GER,DF,M'Gladbach,de Bundesliga,18,8.0,8,1.00,6,0,1,1,0,0,2,0.25,2,0,0,0,0,0
280,Jonathan Biabiany,fr FRA,FW,Parma,it Serie A,30,11.9,24,2.02,17,1,3,0,3,0,0,0.00,0,0,0,0,0,0
281,Giulian Biancone,fr FRA,DF,Monaco,fr Ligue 1,18,1.0,2,2.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
282,Ermin Bičakčić,ba BIH,DF,Hoffenheim,de Bundesliga,28,19.9,19,0.96,18,0,0,1,0,0,5,0.25,5,0,0,0,0,0
283,Pedro Bigas,es ESP,DF,Eibar,es La Liga,27,6.5,4,0.62,4,0,0,0,0,0,1,0.15,1,0,0,0,0,0
284,Lucas Biglia,ar ARG,MF,Milan,it Serie A,32,12.4,27,2.18,21,2,0,1,1,2,2,0.16,2,0,0,0,0,0
285,Philip Billing,dk DEN,MF,Huddersfield,eng Premier League,22,24.3,68,2.80,39,12,2,9,4,2,3,0.12,2,1,0,0,0,0
286,Cristiano Biraghi,it ITA,DF,Fiorentina,it Serie A,25,35.5,100,2.82,72,23,1,3,0,1,7,0.20,6,0,1,0,0,0
287,Davide Biraschi,it ITA,DF,Genoa,it Serie A,24,31.6,43,1.36,25,3,4,1,6,4,4,0.13,4,0,0,0,0,0
288,Valter Birsa,si SVN,"MF,FW",Cagliari,it Serie A,31,3.9,14,3.58,5,6,1,1,0,1,0,0.00,0,0,0,0,0,0
