Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
71,Ezgjan Alioski,mk MKD,"DF,MF",Leeds United,eng Premier League,28,27.3,74,31,38,28,8,32,74,43.2,42,17,2,15,23,97,50,2
72,Rachid Alioui,ma MAR,FW,Angers,fr Ligue 1,28,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
73,Alisson,br BRA,GK,Liverpool,eng Premier League,27,33.0,3,2,3,0,0,3,4,75.0,1,0,0,0,2,5,26,7
74,Saturnin Allagbé,bj BEN,GK,Dijon,fr Ligue 1,26,12.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,9,3
75,Allan,br BRA,MF,Everton,eng Premier League,29,22.8,80,45,39,37,4,28,95,29.5,67,31,12,19,19,99,25,1
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
76,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,24,6.9,18,11,8,6,4,7,19,36.8,12,9,0,9,7,25,3,0
77,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,eng Premier League,26,27.0,49,29,21,25,3,14,56,25.0,42,23,4,19,25,74,20,1
78,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,29,10.7,13,3,6,4,3,7,14,50.0,7,12,1,11,12,25,30,0
79,Sergio Álvarez,es ESP,"MF,DF",Eibar,es La Liga,28,17.4,42,25,13,26,3,8,22,36.4,14,22,5,17,22,64,24,2
80,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,25,21.6,19,12,11,8,0,9,21,42.9,12,12,5,7,53,72,73,0
81,Bruno Alves,pt POR,DF,Parma,it Serie A,38,18.1,13,10,10,3,0,7,9,77.8,2,17,12,5,26,39,81,0
82,Steven Alzate,co COL,MF,Brighton,eng Premier League,21,10.0,17,8,10,4,3,6,15,40.0,9,8,1,7,8,25,10,0
83,Ibrahim Amadou,fr FRA,MF,Angers,fr Ligue 1,27,16.7,39,26,18,19,2,15,38,39.5,23,14,4,10,23,62,25,0
84,Romain Amalfitano,fr FRA,"FW,DF",Dijon,fr Ligue 1,30,1.3,4,2,3,1,0,1,3,33.3,2,2,1,1,1,5,1,0
85,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,es La Liga,18,0.5,0,0,0,0,0,0,1,0.0,1,1,0,1,2,2,1,0
86,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,25,8.0,11,7,6,4,1,8,12,66.7,4,8,4,4,12,23,26,0
87,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,26,9.0,11,9,9,1,1,9,12,75.0,3,12,2,10,27,38,33,1
88,Thierry Ambrose,gp GLP,FW,Metz,fr Ligue 1,23,8.4,7,4,1,1,5,2,12,16.7,10,2,0,2,2,9,4,0
89,Wisdom Amey,it ITA,DF,Bologna,it Serie A,14,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
90,Nadiem Amiri,de GER,MF,Leverkusen,de Bundesliga,23,21.0,12,7,4,8,0,7,33,21.2,26,18,3,15,12,24,7,0
91,Ethan Ampadu,wls WAL,"DF,MF",Sheffield Utd,eng Premier League,19,23.2,57,36,31,24,2,20,46,43.5,26,40,19,21,49,106,87,3
92,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,23,27.1,39,22,11,24,4,18,48,37.5,30,30,5,25,23,62,12,0
93,Jon Ander Garrido,es ESP,MF,Cádiz,es La Liga,30,8.9,18,10,8,7,3,10,26,38.5,16,12,4,8,14,32,13,0
94,Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,24,30.3,33,19,18,11,4,15,28,53.6,13,24,13,11,44,77,151,1
95,Joachim Andersen,dk DEN,DF,Lyon,fr Ligue 1,24,2.1,2,1,1,1,0,2,2,100.0,0,1,1,0,2,4,6,0
96,Djavan Anderson,nl NED,DF,Lazio,it Serie A,25,0.8,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,0,0
97,Elliot Anderson,sct SCO,MF,Newcastle Utd,eng Premier League,17,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
98,Felipe Anderson,br BRA,"FW,MF",West Ham,eng Premier League,27,0.0,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
99,Sebastian Andersson,se SWE,FW,Köln,de Bundesliga,29,12.5,3,2,0,3,0,1,8,12.5,7,10,3,7,2,5,9,0
100,Nícolas Andrade,br BRA,GK,Udinese,it Serie A,32,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
101,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,29,32.1,114,68,47,61,6,53,122,43.4,69,39,10,29,76,190,49,0
102,Robert Andrich,de GER,MF,Union Berlin,de Bundesliga,25,28.1,51,24,22,27,2,24,53,45.3,29,40,6,34,51,102,31,2
103,Victorien Angban,ci CIV,MF,Metz,fr Ligue 1,23,18.6,36,24,17,15,4,17,42,40.5,25,17,4,13,19,55,9,1
104,Ángel,es ESP,GK,Granada,es La Liga,18,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
105,José Ángel,es ESP,DF,Eibar,es La Liga,30,10.0,15,8,9,4,2,8,12,66.7,4,7,0,7,13,28,17,1
106,Miguel Ángel Rubio,es ESP,DF,Valladolid,es La Liga,22,1.5,0,0,0,0,0,0,0,,0,2,2,0,3,3,11,0
107,Angeliño,es ESP,"DF,FW",RB Leipzig,de Bundesliga,23,24.0,31,19,10,18,3,13,24,54.2,11,22,1,21,30,61,40,0
108,Davide Angelo Ghislandi,it ITA,DF,Atalanta,it Serie A,19,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
109,Philip Ankhrah,gh GHA,MF,Hellas Verona,it Serie A,17,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
110,Cristian Ansaldi,ar ARG,"DF,FW",Torino,it Serie A,33,21.6,48,33,25,14,9,24,38,63.2,14,21,7,14,16,64,38,0
111,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,24,30.1,31,20,17,14,0,12,31,38.7,19,28,18,10,47,78,114,0
112,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,30,21.9,7,4,1,5,1,1,7,14.3,6,20,3,17,7,14,7,0
113,José Antonio Miranda,gq EQG,"MF,DF",Getafe,es La Liga,22,0.3,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0
114,Valentin Antov,bg BUL,DF,Bologna,it Serie A,19,2.6,4,2,3,1,0,3,10,30.0,7,6,5,1,4,8,13,0
115,Houssem Aouar,fr FRA,"MF,FW",Lyon,fr Ligue 1,22,19.8,17,12,0,13,4,8,25,32.0,17,17,1,16,17,34,4,0
116,Adil Aouchiche,fr FRA,"MF,FW",Saint-Étienne,fr Ligue 1,18,19.2,38,20,12,17,9,13,49,26.5,36,15,1,14,10,48,6,0
117,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,28,17.3,55,34,33,15,7,32,59,54.2,27,23,6,17,25,80,43,0
118,Aritz Arambarri,es ESP,DF,Real Sociedad,es La Liga,22,0.3,1,1,0,1,0,1,2,50.0,1,0,0,0,0,1,0,0
119,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,24,33.1,64,39,22,35,7,23,80,28.8,57,40,5,35,42,106,28,0
120,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,31,18.5,41,23,16,21,4,17,43,39.5,26,32,4,28,33,74,17,0
121,Luiz Araújo,br BRA,MF,Lille,fr Ligue 1,24,16.6,38,25,12,18,8,8,28,28.6,20,23,1,22,11,49,3,0
122,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,28,27.0,24,16,14,9,1,7,15,46.7,8,23,18,5,43,67,89,2
123,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,21,16.8,22,11,12,8,2,9,9,100.0,0,24,15,9,20,42,47,1
124,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,33,31.2,45,26,31,11,3,27,54,50.0,27,36,11,25,69,114,73,1
125,Alphonse Areola,fr FRA,GK,Fulham,eng Premier League,27,36.0,1,0,1,0,0,1,5,20.0,4,0,0,0,1,2,13,3
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
126,Santiago Arias,co COL,DF,Leverkusen,de Bundesliga,28,1.0,2,1,0,1,1,1,1,100.0,0,0,0,0,1,3,4,0
127,Karim Aribi,dz ALG,FW,Nîmes,fr Ligue 1,26,3.3,2,2,0,1,1,0,5,0.0,5,1,0,1,0,2,3,0
128,Unai Arietaleanizbeaskoa,es ESP,"FW,MF",Eibar,es La Liga,21,0.5,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0
129,Nicolò Armini,it ITA,DF,Lazio,it Serie A,19,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
130,Stuart Armstrong,sct SCO,MF,Southampton,eng Premier League,28,30.7,60,41,19,32,9,27,75,36.0,48,26,1,25,24,84,19,0
131,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,26,28.7,47,32,20,26,1,18,49,36.7,31,24,3,21,49,96,57,0
132,Toluwalase Arokodare,ng NGA,"FW,MF",Köln,de Bundesliga,19,1.2,1,1,0,0,1,0,0,,0,1,0,1,1,2,0,0
133,Sergio Arribas,es ESP,"MF,FW",Real Madrid,es La Liga,18,1.5,3,1,2,1,0,1,3,33.3,2,2,0,2,4,7,2,0
134,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,25,6.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,3
135,Tolgay Arslan,de GER,MF,Udinese,it Serie A,29,20.2,52,32,24,24,4,25,54,46.3,29,22,2,20,22,74,15,1
136,Kwadwo Asamoah,gh GHA,"DF,MF",Cagliari,it Serie A,31,2.5,4,3,2,2,0,2,3,66.7,1,5,1,4,4,8,2,1
137,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,de Bundesliga,23,8.5,30,15,15,14,1,15,28,53.6,13,23,2,21,13,43,14,0
138,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,31,36.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,13,2
139,Marco Asensio,es ESP,"FW,MF",Real Madrid,es La Liga,24,20.8,12,6,7,4,1,3,24,12.5,21,15,0,15,11,23,10,0
140,Kristoffer Askildsen,no NOR,MF,Sampdoria,it Serie A,19,1.1,0,0,0,0,0,0,0,,0,2,0,2,3,3,3,0
141,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,32,31.8,11,3,2,7,2,2,23,8.7,21,25,2,23,16,27,21,0
142,Roger Assalé,ci CIV,"FW,MF",Dijon,fr Ligue 1,26,9.2,10,8,3,5,2,4,12,33.3,8,7,3,4,2,12,2,0
143,Youcef Atal,dz ALG,"DF,FW",Nice,fr Ligue 1,24,10.6,25,12,11,14,0,13,26,50.0,13,10,2,8,26,51,12,0
144,Miguel Atienza,es ESP,MF,Eibar,es La Liga,21,9.3,20,9,5,15,0,8,23,34.8,15,14,1,13,9,29,12,0
145,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,eng Premier League,31,25.9,12,8,7,4,1,3,20,15.0,17,18,0,18,7,19,17,0
146,Emil Audero,it ITA,GK,Sampdoria,it Serie A,23,37.0,1,1,1,0,0,1,2,50.0,1,0,0,0,1,2,16,0
147,Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,25,35.7,42,30,27,10,5,23,39,59.0,16,22,2,20,32,74,76,1
148,Jean-Kévin Augustin,fr FRA,FW,Nantes,fr Ligue 1,23,0.4,2,0,0,2,0,2,2,100.0,0,0,0,0,0,2,0,0
149,Ludwig Augustinsson,se SWE,"DF,FW",Werder Bremen,de Bundesliga,26,21.7,37,20,19,14,4,17,29,58.6,12,21,7,14,20,57,62,0
150,Serge Aurier,ci CIV,DF,Tottenham,eng Premier League,27,17.8,55,33,33,17,5,15,40,37.5,25,28,5,23,19,74,44,3
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
151,Charlie Austin,eng ENG,"FW,MF",West Brom,eng Premier League,31,1.5,4,2,1,2,1,1,3,33.3,2,0,0,0,3,7,4,0
152,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,es La Liga,26,2.2,6,2,3,1,2,2,4,50.0,2,1,0,1,1,7,0,0
153,Taiwo Awoniyi,ng NGA,FW,Union Berlin,de Bundesliga,22,15.1,5,3,2,3,0,1,14,7.1,13,9,0,9,3,8,4,0
154,Mehmet Aydin,de GER,DF,Schalke 04,de Bundesliga,18,5.6,15,7,9,6,0,4,10,40.0,6,6,1,5,6,21,16,0
155,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,eng Premier League,28,23.3,38,26,8,16,14,16,44,36.4,28,28,2,26,16,54,12,0
156,Kaan Ayhan,tr TUR,DF,Sassuolo,it Serie A,25,8.8,15,9,8,5,2,8,13,61.5,5,9,5,4,16,31,33,0
157,Luke Ayling,eng ENG,DF,Leeds United,eng Premier League,28,37.8,108,61,69,30,9,49,87,56.3,38,53,36,17,36,144,96,5
158,Ramon Azeez,ng NGA,MF,Granada,es La Liga,27,1.1,1,1,0,1,0,0,0,,0,0,0,0,1,2,1,0
159,César Azpilicueta,es ESP,DF,Chelsea,eng Premier League,30,24.3,53,28,22,24,7,19,37,51.4,18,30,5,25,28,81,62,2
160,Ludovic Baal,gf GUF,"DF,MF",Brest,fr Ligue 1,34,3.3,6,5,4,1,1,2,5,40.0,3,4,1,3,5,11,5,0
161,Carlos Bacca,co COL,FW,Villarreal,es La Liga,33,8.7,9,5,5,3,1,3,5,60.0,2,5,0,5,3,12,2,0
162,Loïc Bade,fr FRA,DF,Lens,fr Ligue 1,20,29.0,57,34,47,10,0,30,55,54.5,25,43,17,26,74,131,135,2
163,Milan Badelj,hr CRO,MF,Genoa,it Serie A,31,26.8,56,27,27,22,7,26,84,31.0,58,51,10,41,87,143,45,1
164,Édgar Badía,es ESP,GK,Elche,es La Liga,28,30.0,1,0,1,0,0,1,3,33.3,2,0,0,0,0,1,17,3
165,Benoît Badiashile,fr FRA,DF,Monaco,fr Ligue 1,19,31.9,24,17,15,9,0,13,28,46.4,15,21,12,9,58,82,102,4
166,Alex Baena,es ESP,MF,Villarreal,es La Liga,19,1.5,4,3,1,2,1,1,3,33.3,2,1,1,0,1,5,1,0
167,Miguel Baeza,es ESP,"MF,FW",Celta Vigo,es La Liga,20,6.0,7,6,5,2,0,5,13,38.5,8,3,0,3,3,10,2,0
168,Stéphane Bahoken,cm CMR,FW,Angers,fr Ligue 1,28,18.0,9,6,1,7,1,4,12,33.3,8,9,0,9,9,18,9,0
169,Leon Bailey,jm JAM,"FW,MF",Leverkusen,de Bundesliga,22,23.8,14,8,3,7,4,4,15,26.7,11,13,0,13,9,23,3,0
170,Eric Bailly,ci CIV,DF,Manchester Utd,eng Premier League,26,10.2,5,5,3,1,1,0,1,0.0,1,13,11,2,13,18,36,2
171,Stefan Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,18,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
172,Tiemoué Bakayoko,fr FRA,MF,Napoli,it Serie A,25,21.8,69,41,21,41,7,23,40,57.5,17,24,2,22,36,105,13,2
173,Mitchel Bakker,nl NED,DF,Paris S-G,fr Ligue 1,20,18.8,38,30,15,14,9,17,26,65.4,9,22,2,20,22,60,20,0
174,Ridle Baku,de GER,"FW,DF",Wolfsburg,de Bundesliga,22,29.8,50,31,20,20,10,22,53,41.5,31,54,4,50,40,90,33,1
175,Ridle Baku,de GER,DF,Mainz 05,de Bundesliga,22,2.0,4,2,3,1,0,2,6,33.3,4,3,1,2,3,7,6,0
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
176,Dilane Bakwa,fr FRA,"FW,MF",Bordeaux,fr Ligue 1,17,0.6,2,2,1,1,0,0,1,0.0,1,2,0,2,1,3,0,0
