Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
1,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,21,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,29,19.7,35,22,18,17,0,19,43,44.2,24,18,6,12,30,65,40,2
3,Issah Abbas,gh GHA,"DF,FW",Mainz 05,de Bundesliga,21,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,32,32.1,59,37,36,23,0,26,42,61.9,16,34,15,19,61,120,132,0
5,Sabit Abdulai,gh GHA,MF,Getafe,es La Liga,21,0.7,2,0,1,1,0,1,3,33.3,2,0,0,0,0,2,0,0
6,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,27,14.7,34,19,16,14,4,15,30,50.0,15,9,2,7,20,54,10,0
7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,27,32.9,145,84,64,69,12,54,162,33.3,108,64,6,58,46,191,12,0
8,Charles Abi,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,20,10.1,8,2,5,0,3,3,12,25.0,9,6,2,4,4,12,5,0
9,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,17,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
10,Pape Abou Cissé,sn SEN,DF,Saint-Étienne,fr Ligue 1,24,14.0,15,13,10,5,0,6,10,60.0,4,7,4,3,27,42,87,0
11,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34,13.6,18,12,13,3,2,11,17,64.7,6,13,4,9,17,35,34,0
12,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,22,11.6,7,5,3,3,1,1,7,14.3,6,6,0,6,5,12,17,0
13,Amir Abrashi,al ALB,"MF,DF",Freiburg,de Bundesliga,30,0.7,1,1,1,0,0,0,0,,0,1,1,0,2,3,1,0
14,Gennaro Acampora,it ITA,"MF,FW",Spezia,it Serie A,26,4.9,6,4,1,4,1,2,7,28.6,5,4,1,3,4,10,4,0
15,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,32,31.3,51,32,34,13,4,18,40,45.0,22,24,15,9,76,127,121,2
16,Ragnar Ache,de GER,"FW,DF",Eint Frankfurt,de Bundesliga,22,1.1,2,0,0,1,1,0,0,,0,1,0,1,1,3,1,0
17,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,28,25.9,62,42,34,20,8,23,41,56.1,18,23,2,21,23,85,30,1
18,Che Adams,sct SCO,FW,Southampton,eng Premier League,24,29.6,25,16,4,15,6,6,17,35.3,11,20,2,18,4,29,19,1
19,Tyler Adams,us USA,"MF,DF",RB Leipzig,de Bundesliga,21,20.6,35,24,12,15,8,17,31,54.8,14,22,5,17,29,64,30,0
20,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,27,5.3,9,4,4,3,2,7,14,50.0,7,2,0,2,6,15,1,0
21,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,22,32.8,37,19,30,6,1,19,40,47.5,21,26,20,6,42,79,197,2
22,Bobby Adekanye,nl NED,"FW,MF",Cádiz,es La Liga,21,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
23,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,20,26.9,74,37,30,33,11,35,92,38.0,57,27,2,25,39,113,17,2
24,Andrea Adorante,it ITA,FW,Parma,it Serie A,20,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
25,Adrián,es ESP,GK,Liverpool,eng Premier League,33,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
26,Martin Agirregabiria,es ESP,"DF,MF",Alavés,es La Liga,24,17.3,32,18,17,12,3,17,33,51.5,16,9,3,6,27,59,36,0
27,Lucien Agoume,fr FRA,MF,Spezia,it Serie A,18,8.9,18,10,11,7,0,6,19,31.6,13,10,5,5,15,33,10,0
28,Felix Agu,de GER,DF,Werder Bremen,de Bundesliga,20,7.8,20,9,10,9,1,10,18,55.6,8,14,3,11,12,32,18,0
29,Kevin Agudelo,co COL,FW,Spezia,it Serie A,21,15.1,39,28,9,15,15,12,34,35.3,22,30,0,30,10,49,2,0
30,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,24,35.0,37,30,28,9,0,21,33,63.6,12,34,22,12,47,84,102,0
31,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,32,6.2,4,1,0,2,2,2,11,18.2,9,2,0,2,2,6,0,0
32,Ruben Aguilar,fr FRA,"DF,MF",Monaco,fr Ligue 1,27,24.7,63,37,32,21,10,32,52,61.5,20,30,3,27,47,110,43,1
33,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,18,2.8,4,1,3,1,0,1,1,100.0,0,2,0,2,1,5,1,0
34,Matteo Ahlinvi,bj BEN,MF,Nîmes,fr Ligue 1,21,10.0,26,20,10,14,2,11,39,28.2,28,6,0,6,2,28,8,0
35,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,26,23.8,46,25,18,25,3,19,48,39.6,29,17,5,12,53,99,32,0
36,Jean-Eudes Aholou,ci CIV,MF,Monaco,fr Ligue 1,26,0.4,1,0,0,1,0,1,3,33.3,2,0,0,0,1,2,1,0
37,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,24,14.3,26,17,17,9,0,12,21,57.1,9,7,4,3,25,51,88,1
38,Ola Aina,ng NGA,DF,Fulham,eng Premier League,23,29.6,37,20,22,7,8,21,43,48.8,22,22,6,16,45,82,94,2
39,Rayan Aït Nouri,dz ALG,DF,Wolves,eng Premier League,19,15.6,29,16,18,10,1,13,27,48.1,14,14,1,13,15,44,25,0
40,Rayan Aït Nouri,dz ALG,DF,Angers,fr Ligue 1,19,2.1,3,2,1,2,0,3,5,60.0,2,2,1,1,4,7,1,0
41,Semi Ajayi,ng NGA,DF,West Brom,eng Premier League,26,30.9,40,14,34,6,0,23,41,56.1,18,51,32,19,42,82,122,2
42,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,26,33.0,30,18,6,18,6,7,31,22.6,24,14,5,9,11,41,54,0
43,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,25,26.1,41,22,23,12,6,19,31,61.3,12,23,10,13,49,90,70,1
44,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,27,9.6,18,14,14,4,0,10,18,55.6,8,16,3,13,19,37,33,0
45,Marley Aké,fr FRA,FW,Marseille,fr Ligue 1,19,1.6,3,3,1,0,2,0,1,0.0,1,2,0,2,0,3,1,0
46,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,25,8.9,10,5,3,6,1,3,4,75.0,1,2,1,1,9,19,23,0
47,Paul Akouokou,ci CIV,MF,Betis,es La Liga,22,4.2,11,8,2,8,1,5,8,62.5,3,3,1,2,6,17,7,0
48,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,it Serie A,27,11.7,38,25,13,22,3,8,27,29.6,19,24,6,18,18,56,13,0
49,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,25,13.2,18,12,11,6,1,8,14,57.1,6,28,15,13,13,31,32,2
50,David Alaba,at AUT,"DF,MF",Bayern Munich,de Bundesliga,28,29.7,37,21,14,19,4,17,32,53.1,15,29,13,16,43,80,60,0
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
51,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,22,16.7,53,33,30,16,7,29,45,64.4,16,17,2,15,21,74,38,0
52,Jony Álamo,es ESP,MF,Elche,es La Liga,18,0.8,2,1,1,0,1,0,1,0.0,1,0,0,0,1,3,0,0
53,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,27,13.8,8,2,2,5,1,2,4,50.0,2,9,1,8,2,10,10,0
54,Jordi Alba,es ESP,"DF,FW",Barcelona,es La Liga,31,33.6,45,30,22,16,7,24,52,46.2,28,21,2,19,49,94,48,0
55,Luis Alberto,es ESP,MF,Lazio,it Serie A,27,29.1,43,24,15,19,9,15,73,20.5,58,41,2,39,13,56,11,1
56,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,34,34.6,22,15,19,3,0,13,18,72.2,5,32,22,10,22,44,146,2
57,Marc Albrighton,eng ENG,"DF,FW",Leicester City,eng Premier League,30,19.4,33,19,14,15,4,16,45,35.6,29,29,3,26,17,50,27,1
58,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,26,17.2,6,3,1,2,3,3,7,42.9,4,8,0,8,9,15,6,0
59,Pedro Alcalá,es ESP,DF,Cádiz,es La Liga,31,10.1,8,4,6,2,0,3,5,60.0,2,19,13,6,16,24,50,0
60,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,29,20.6,61,36,20,30,11,17,49,34.7,32,26,0,26,30,91,14,0
61,Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,29,24.1,54,29,32,21,1,30,80,37.5,50,35,8,27,31,85,28,0
62,Omar Alderete,py PAR,DF,Hertha BSC,de Bundesliga,23,14.4,16,10,11,5,0,7,16,43.8,9,14,10,4,21,37,61,1
63,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,31,24.9,35,22,22,11,2,18,30,60.0,12,40,28,12,10,45,121,0
64,Iván Alejo,es ESP,"MF,FW",Cádiz,es La Liga,25,9.2,14,10,8,4,2,4,23,17.4,19,14,1,13,3,17,10,0
65,Carles Aleñá,es ESP,MF,Barcelona,es La Liga,22,0.5,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0
66,Carles Aleñá,es ESP,"MF,FW",Getafe,es La Liga,22,15.2,15,10,3,9,3,7,25,28.0,18,14,1,13,2,17,2,0
67,Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,eng Premier League,25,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
68,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,21,33.7,56,33,31,18,7,36,56,64.3,20,24,3,21,49,105,50,3
69,Alfon,es ESP,MF,Celta Vigo,es La Liga,21,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
70,Mohamed Ali Cho,fr FRA,"FW,MF",Angers,fr Ligue 1,16,3.9,9,7,2,6,1,4,9,44.4,5,4,0,4,3,12,0,0
