Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
33,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,24,17.0,620,11,32,338,255,69,620,18,10,55.6,8,44.4,318,1204,334,11,13,4,41,23,482,126
34,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,23,24.5,2068,143,758,1249,68,17,2068,12,8,66.7,4,33.3,1445,8650,5018,24,13,1,9,6,1592,11
35,Carlos Akapo,gq EQG,DF,Huesca,es La Liga,25,11.4,566,39,184,255,133,14,566,14,8,57.1,6,42.9,228,1687,1091,33,29,9,8,3,261,28
36,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,23,37.9,2205,305,1260,813,141,50,2205,5,3,60.0,2,40.0,1299,6617,3890,20,18,2,18,6,1307,25
37,Sergio Akieme,es ESP,DF,Rayo Vallecano,es La Liga,20,2.0,107,7,32,49,27,0,107,2,2,100.0,0,0.0,60,364,204,5,5,0,4,4,65,9
38,Chadrac Akolo,cd COD,"MF,FW",Stuttgart,de Bundesliga,23,5.8,230,0,23,116,93,15,230,14,7,50.0,7,50.0,137,728,356,14,8,4,16,11,157,40
39,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,23,5.5,345,37,142,197,9,0,345,1,1,100.0,0,0.0,187,841,452,4,2,0,4,3,198,0
40,Kevin Akpoguma,ng NGA,DF,Hannover 96,de Bundesliga,23,3.5,208,12,82,119,9,0,208,2,2,100.0,0,0.0,126,696,392,2,3,0,2,2,132,0
41,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,26,28.1,2385,46,464,1199,743,62,2385,39,29,74.4,10,25.6,1302,6461,3325,87,63,11,26,19,1651,240
42,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,20,21.1,1382,55,390,633,367,17,1382,34,21,61.8,13,38.2,607,3159,1978,43,36,6,31,16,705,64
43,Lucas Alario,ar ARG,"FW,MF",Leverkusen,de Bundesliga,25,14.1,572,14,62,238,274,80,572,15,5,33.3,10,66.7,284,1102,347,12,5,7,41,24,460,86
44,Jordi Alba,es ESP,DF,Barcelona,es La Liga,29,33.2,2976,95,683,1300,1018,91,2976,22,16,72.7,6,27.3,1710,6503,3731,63,59,20,27,23,2096,372
45,Luis Alberto,es ESP,"MF,FW",Lazio,it Serie A,25,22.1,1747,11,137,817,821,51,1746,41,24,58.5,17,41.5,1056,6301,3855,100,112,13,48,43,1212,132
46,Raúl Albiol,es ESP,DF,Napoli,it Serie A,32,19.0,1292,130,529,735,31,7,1292,2,1,50.0,1,50.0,758,3466,1959,4,4,0,5,2,889,2
47,Miiko Albornoz,cl CHI,"DF,MF",Hannover 96,de Bundesliga,27,18.4,1154,54,337,541,288,15,1154,25,7,28.0,18,72.0,522,2613,1244,34,24,5,27,18,644,75
