Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
673,Koffi Djidji,ci CIV,DF,Nantes,fr Ligue 1,25,1.0,60,6,29,30,1,0,60,0,0,,0,,29,156,97,0,0,0,0,1,44,0
674,Alexander Djiku,gh GHA,DF,Caen,fr Ligue 1,23,30.6,1840,212,1065,750,38,17,1840,13,8,61.5,5,38.5,799,4048,2076,7,5,1,14,13,961,3
675,Papy Djilobodji,sn SEN,DF,Guingamp,fr Ligue 1,29,1.9,110,12,42,64,6,2,110,1,1,100.0,0,0.0,50,279,143,0,0,0,1,0,58,1
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
676,Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,25,20.1,1279,168,698,544,43,17,1279,5,5,100.0,0,0.0,730,3734,1333,5,8,1,13,4,783,2
677,Johan Djourou,ch SUI,DF,SPAL,it Serie A,31,3.1,150,22,101,46,3,1,150,2,2,100.0,0,0.0,58,250,112,1,1,0,0,1,83,0
678,Marko Dmitrović,rs SRB,GK,Eibar,es La Liga,26,24.0,816,630,813,3,0,0,816,0,0,,0,,366,2441,1859,0,1,1,1,0,247,0
679,Matt Doherty,ie IRL,"DF,MF",Wolves,eng Premier League,26,34.9,2288,116,544,984,774,103,2288,49,20,40.8,29,59.2,904,4601,2688,80,45,19,44,23,1264,221
680,Keagan Dolly,za RSA,FW,Montpellier,fr Ligue 1,25,1.0,50,0,6,29,16,2,50,0,0,,0,,32,188,86,2,2,0,4,4,38,5
681,Jaume Doménech,es ESP,GK,Valencia,es La Liga,27,4.0,102,93,102,0,0,0,102,0,0,,0,,40,327,249,0,0,0,0,0,18,0
682,Giulio Donati,it ITA,DF,Mainz 05,de Bundesliga,28,6.9,428,37,131,191,113,3,428,11,5,45.5,6,54.5,200,989,515,13,20,0,5,2,206,33
683,Ji Dong-won,kr KOR,"MF,FW",Augsburg,de Bundesliga,27,9.9,505,11,66,267,179,32,505,26,19,73.1,7,26.9,262,1673,858,29,23,8,24,19,341,53
684,Anastasios Donis,gr GRE,"FW,MF",Stuttgart,de Bundesliga,21,10.7,331,2,33,111,198,37,331,29,18,62.1,11,37.9,217,1888,855,33,18,8,37,13,245,79
685,Gianluigi Donnarumma,it ITA,GK,Milan,it Serie A,19,34.3,1248,1136,1244,4,0,0,1248,0,0,,0,,648,3410,2355,0,0,0,0,1,516,0
686,Godfred Donsah,gh GHA,MF,Bologna,it Serie A,22,1.7,77,8,20,47,12,0,77,5,5,100.0,0,0.0,43,261,149,4,4,0,2,0,48,3
687,Riccardo Doratiotto,it ITA,FW,Cagliari,it Serie A,19,0.9,15,0,1,10,4,1,15,0,0,,0,,8,60,20,1,0,1,3,2,8,3
688,Gabriel Dos Santos,br BRA,DF,Lille,fr Ligue 1,20,11.8,776,70,354,411,14,11,776,1,0,0.0,1,100.0,475,2632,1548,5,2,0,4,2,508,0
689,Mathieu Dossevi,tg TOG,"FW,MF",Toulouse,fr Ligue 1,30,27.4,1273,12,156,484,658,79,1273,91,40,44.0,51,56.0,813,5684,2753,119,70,19,90,50,872,256
690,Abdoulaye Doucouré,ml MLI,MF,Watford,eng Premier League,25,34.0,2320,62,432,1390,521,78,2320,55,32,58.2,23,41.8,1448,6612,3319,58,49,12,59,41,1556,83
691,Cheick Doukouré,ci CIV,MF,Levante,es La Liga,25,3.5,157,4,27,111,21,2,157,3,2,66.7,1,33.3,83,369,130,0,2,0,6,4,97,5
692,Moussa Doumbia,ml MLI,"FW,MF",Reims,fr Ligue 1,23,17.8,877,12,156,380,366,40,877,62,32,51.6,30,48.4,613,4598,2369,75,52,15,62,39,660,128
693,Seydou Doumbia,ci CIV,FW,Girona,es La Liga,30,6.0,141,4,12,58,75,36,141,17,12,70.6,5,29.4,87,553,207,9,10,4,15,15,92,27
694,Souleyman Doumbia,ci CIV,DF,Rennes,fr Ligue 1,21,6.7,415,24,138,209,73,1,415,14,7,50.0,7,50.0,235,1368,762,13,15,1,7,5,249,22
695,Aleksandar Dragović,at AUT,DF,Leverkusen,de Bundesliga,27,14.8,1239,79,441,771,32,8,1239,0,0,,0,,654,3142,2145,10,9,1,7,1,883,2
696,Bartłomiej Drągowski,pl POL,GK,Fiorentina,it Serie A,20,2.5,111,101,111,0,0,0,111,1,0,0.0,1,100.0,66,301,178,0,0,0,0,0,53,0
697,Bartłomiej Drągowski,pl POL,GK,Empoli,it Serie A,20,14.0,543,496,542,2,0,0,543,0,0,,0,,248,1556,1156,0,0,0,0,0,153,0
698,Julian Draxler,de GER,"MF,FW",Paris S-G,fr Ligue 1,24,22.7,1785,9,163,1029,611,67,1785,58,43,74.1,15,25.9,1142,7091,3733,93,87,18,35,42,1450,169
699,Luke Dreher,eng ENG,FW,Crystal Palace,eng Premier League,19,0.0,3,0,0,1,2,0,3,0,0,,0,,2,17,15,0,0,0,0,0,3,0
700,Josip Drmić,ch SUI,FW,M'Gladbach,de Bundesliga,25,2.5,82,0,6,40,36,9,82,3,2,66.7,1,33.3,43,303,107,7,4,1,5,4,61,18
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
701,Jaroslav Drobný,cz CZE,GK,Düsseldorf,de Bundesliga,38,2.0,40,31,39,1,0,0,40,0,0,,0,,17,124,93,0,0,0,0,0,9,0
702,Óscar Duarte,cr CRC,"DF,MF",Espanyol,es La Liga,29,7.3,406,45,223,175,11,1,406,0,0,,0,,206,1009,508,2,1,0,0,1,246,2
703,Rubén Duarte,es ESP,DF,Alavés,es La Liga,22,30.8,1625,138,596,753,287,19,1625,10,5,50.0,5,50.0,602,3184,1533,34,31,1,19,7,667,81
704,Leo Dubois,fr FRA,DF,Lyon,fr Ligue 1,23,22.7,1738,75,364,931,456,41,1738,29,13,44.8,16,55.2,1011,5414,3306,86,51,14,20,12,1084,157
705,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,29,38.0,1254,1046,1245,9,0,0,1254,1,1,100.0,0,0.0,618,4513,2991,0,1,0,0,0,436,0
706,Marvin Ducksch,de GER,FW,Düsseldorf,de Bundesliga,24,9.1,367,11,31,171,167,36,367,8,2,25.0,6,75.0,164,604,258,8,3,1,22,6,241,61
707,Ondrej Duda,sk SVK,MF,Hertha BSC,de Bundesliga,23,28.5,1601,25,167,990,465,55,1601,57,38,66.7,19,33.3,1017,4060,1663,36,35,11,72,41,1090,116
708,Shane Duffy,ie IRL,DF,Brighton,eng Premier League,26,34.3,1775,359,1039,635,110,74,1775,5,5,100.0,0,0.0,734,3061,1423,1,4,0,17,2,919,11
709,Demeaco Duhaney,eng ENG,DF,Huddersfield,eng Premier League,19,0.5,38,2,8,20,10,0,38,2,0,0.0,2,100.0,20,63,29,1,1,0,2,0,21,1
710,Paul Dummett,wls WAL,DF,Newcastle Utd,eng Premier League,26,22.1,1173,114,514,502,164,6,1173,3,2,66.7,1,33.3,404,1515,866,10,8,1,10,1,553,16
711,Alfred Duncan,gh GHA,MF,Sassuolo,it Serie A,25,20.5,1040,26,196,582,278,26,1040,34,19,55.9,15,44.1,620,3161,1623,45,32,9,25,31,765,59
712,Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,26,35.0,1927,295,1034,839,74,44,1927,4,0,0.0,4,100.0,892,4521,2321,16,11,0,16,3,1056,6
713,Maxime Dupé,fr FRA,GK,Nantes,fr Ligue 1,25,10.4,317,261,316,1,0,0,317,0,0,,0,,121,780,553,0,0,0,1,0,107,0
714,Erik Durm,de GER,DF,Huddersfield,eng Premier League,26,22.8,1306,51,345,576,400,22,1306,21,12,57.1,9,42.9,564,2938,1359,42,26,8,33,14,636,106
715,Jimmy Durmaz,se SWE,"MF,FW",Toulouse,fr Ligue 1,29,21.1,1455,9,144,833,508,35,1453,87,49,56.3,38,43.7,829,5149,2654,60,63,14,45,40,1032,110
716,Riza Durmisi,dk DEN,DF,Lazio,it Serie A,24,3.6,190,10,39,66,87,13,190,1,1,100.0,0,0.0,100,617,389,16,6,7,6,0,121,25
717,Hugo Duro,es ESP,"MF,FW",Getafe,es La Liga,18,4.6,114,2,16,56,45,11,114,11,5,45.5,6,54.5,62,333,116,3,3,0,8,2,68,18
718,Raphael Dwamena,gh GHA,FW,Levante,es La Liga,22,2.5,71,3,6,25,41,8,71,6,2,33.3,4,66.7,40,284,128,7,2,0,6,2,54,17
719,Paulo Dybala,ar ARG,"FW,MF",Juventus,it Serie A,24,23.7,1571,4,110,812,674,69,1570,90,49,54.4,41,45.6,1087,6549,2603,69,57,16,71,43,1243,154
720,Edin Džeko,ba BIH,FW,Roma,it Serie A,32,28.7,1089,37,67,462,572,193,1089,69,34,49.3,35,50.7,586,3908,1478,64,33,34,76,49,859,246
721,Blerim Džemaili,ch SUI,MF,Bologna,it Serie A,32,19.4,926,12,148,519,287,28,926,45,27,60.0,18,40.0,531,3198,2013,55,54,6,23,19,591,69
722,Félix Eboa Eboa,cm CMR,DF,Guingamp,fr Ligue 1,21,27.0,1323,166,617,640,76,25,1323,11,9,81.8,2,18.2,540,3219,1675,9,8,1,12,3,629,3
723,Dennis Eckert,de GER,FW,Celta Vigo,es La Liga,21,2.4,73,3,5,27,42,16,73,3,0,0.0,3,100.0,36,312,118,2,4,2,4,8,52,17
724,Bruno Ecuele Manga,ga GAB,DF,Cardiff City,eng Premier League,30,37.5,1529,235,639,740,171,18,1529,14,10,71.4,4,28.6,549,2727,1236,18,14,1,21,13,469,19
725,Simone Edera,it ITA,MF,Torino,it Serie A,21,0.9,44,1,3,16,25,2,44,4,0,0.0,4,100.0,27,155,64,3,2,1,4,2,32,4
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
726,Simone Edera,it ITA,FW,Bologna,it Serie A,21,2.2,118,1,21,46,53,10,118,14,7,50.0,7,50.0,60,394,243,5,7,1,6,4,77,11
727,Ederson,br BRA,GK,Manchester City,eng Premier League,24,38.0,1162,979,1145,19,0,0,1162,1,1,100.0,0,0.0,722,3390,2379,0,0,0,1,0,621,0
728,Johannes Eggestein,de GER,"FW,MF",Werder Bremen,de Bundesliga,20,12.4,511,9,57,217,247,67,511,38,15,39.5,23,60.5,314,2209,948,42,24,18,46,37,357,121
729,Maximilian Eggestein,de GER,MF,Werder Bremen,de Bundesliga,21,33.9,1998,68,400,1060,556,57,1998,37,15,40.5,22,59.5,1093,6037,3421,77,89,11,45,37,1312,127
730,Albin Ekdal,se SWE,MF,Sampdoria,it Serie A,29,29.4,1978,108,450,1310,242,14,1978,42,35,83.3,7,16.7,1067,5945,2947,39,51,3,27,31,1345,25
731,Josip Elez,hr CRO,DF,Hannover 96,de Bundesliga,24,7.2,383,38,147,224,15,1,383,4,3,75.0,1,25.0,181,1188,819,14,3,0,2,4,213,0
732,Harvey Elliott,eng ENG,MF,Fulham,eng Premier League,15,0.2,15,0,0,7,8,1,15,0,0,,0,,9,71,30,1,0,0,2,0,11,2
733,Mohamed Elneny,eg EGY,MF,Arsenal,eng Premier League,26,4.2,335,14,93,186,57,5,335,3,1,33.3,2,66.7,192,979,512,4,5,0,6,3,254,4
734,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,24,25.0,1541,167,746,659,149,31,1541,19,16,84.2,3,15.8,722,4275,2566,25,14,2,13,3,833,24
735,Gorka Elustondo,es ESP,"MF,DF",Rayo Vallecano,es La Liga,31,3.2,185,18,61,112,13,2,185,2,1,50.0,1,50.0,88,468,249,4,2,2,4,2,102,1
736,Nico Elvedi,ch SUI,DF,M'Gladbach,de Bundesliga,21,29.1,2379,195,967,1364,59,21,2379,11,9,81.8,2,18.2,1455,10353,6925,53,19,1,8,4,1699,11
737,Rodrigo Ely,br BRA,DF,Alavés,es La Liga,24,4.8,226,35,132,84,13,10,226,0,0,,0,,68,303,164,0,0,0,3,0,83,2
738,Mohamed Elyounoussi,no NOR,MF,Southampton,eng Premier League,23,8.8,379,3,49,156,182,26,379,20,11,55.0,9,45.0,194,1449,696,20,23,4,15,8,230,54
739,Adri Embarba,es ESP,"MF,FW",Rayo Vallecano,es La Liga,26,25.4,1210,13,182,442,609,77,1207,100,48,48.0,52,52.0,668,4990,2144,93,57,21,74,49,675,164
740,Breel Embolo,ch SUI,FW,Schalke 04,de Bundesliga,21,14.9,472,6,25,210,249,67,472,61,26,42.6,35,57.4,317,1853,810,31,22,17,56,36,357,111
741,Emerson,br BRA,"FW,DF",Betis,es La Liga,19,3.5,248,11,69,91,89,7,248,3,0,0.0,3,100.0,129,632,287,7,6,3,8,1,151,26
742,Youssef En-Nesyri,ma MAR,FW,Leganés,es La Liga,21,23.4,814,28,76,349,401,113,814,63,27,42.9,36,57.1,446,2531,902,38,22,28,60,54,616,143
743,Björn Engels,be BEL,DF,Reims,fr Ligue 1,23,33.0,1625,228,910,677,47,29,1625,10,6,60.0,4,40.0,855,5075,3441,20,9,0,9,3,956,4
744,Sergi Enrich,es ESP,FW,Eibar,es La Liga,28,28.7,1207,13,47,493,670,164,1207,14,10,71.4,4,28.6,620,2085,528,14,14,7,69,45,936,210
745,Javier Eraso,es ESP,"MF,FW",Leganés,es La Liga,28,7.0,286,5,32,140,121,9,286,7,3,42.9,4,57.1,174,705,296,8,7,0,12,13,185,43
746,Christian Eriksen,dk DEN,MF,Tottenham,eng Premier League,26,30.8,2305,17,234,1228,861,67,2305,36,18,50.0,18,50.0,1442,6502,3354,78,84,16,61,29,1680,132
747,Patrick Erras,de GER,MF,Nürnberg,de Bundesliga,23,13.6,603,69,228,329,49,9,603,0,0,,0,,199,976,369,3,3,0,6,3,304,3
748,Gonzalo Escalante,ar ARG,MF,Eibar,es La Liga,25,19.9,987,27,131,621,244,35,987,30,23,76.7,7,23.3,422,1995,861,14,23,3,24,18,506,35
749,Sergio Escudero,es ESP,"DF,FW",Sevilla,es La Liga,28,17.2,1176,55,355,509,328,28,1176,20,12,60.0,8,40.0,603,2909,1783,40,30,4,24,11,642,90
750,Bernardo Espinosa,co COL,DF,Girona,es La Liga,29,30.3,1748,279,1055,626,72,46,1748,3,3,100.0,0,0.0,807,3010,1310,0,3,0,10,3,1031,6
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
751,Michael Esser,de GER,GK,Hannover 96,de Bundesliga,30,32.0,1346,1071,1327,19,1,1,1346,0,0,,0,,683,5087,3061,0,0,0,0,0,563,0
752,Alexander Esswein,de GER,"MF,FW",Stuttgart,de Bundesliga,28,13.9,626,13,65,264,305,46,626,22,9,40.9,13,59.1,355,2141,950,34,23,17,41,17,450,138
753,Neil Etheridge,ph PHI,GK,Cardiff City,eng Premier League,28,38.0,1326,1021,1286,40,0,0,1326,0,0,,0,,505,4732,3412,0,0,0,1,0,398,0
754,Beñat Etxebarria,es ESP,MF,Athletic Club,es La Liga,31,22.6,1425,18,212,886,340,6,1425,15,9,60.0,6,40.0,697,2800,1183,14,17,2,10,23,891,22
755,Xabier Etxeita,es ESP,DF,Huesca,es La Liga,30,29.7,1228,185,649,499,87,43,1228,2,1,50.0,1,50.0,495,2756,1826,18,7,0,7,1,594,9
756,Lucas Evangelista,br BRA,"FW,MF",Nantes,fr Ligue 1,23,8.0,420,8,49,199,178,18,420,21,10,47.6,11,52.4,258,1215,526,14,15,4,26,18,306,61
757,Jonny Evans,nir NIR,DF,Leicester City,eng Premier League,30,22.2,1316,182,756,522,43,26,1316,0,0,,0,,703,3036,1566,4,5,1,8,4,737,3
758,Ewerton,br BRA,DF,Nürnberg,de Bundesliga,29,14.9,801,141,509,280,17,12,801,11,10,90.9,1,9.1,341,1635,781,2,1,0,3,3,417,0
759,Valentin Eysseric,fr FRA,"FW,MF",Fiorentina,it Serie A,26,4.0,218,3,37,101,81,3,218,5,1,20.0,4,80.0,136,760,300,8,9,1,13,7,161,35
760,Valentin Eysseric,fr FRA,"MF,FW",Nantes,fr Ligue 1,26,2.3,132,1,9,63,61,9,130,5,3,60.0,2,40.0,72,303,154,6,4,1,9,2,78,13
761,Marco Fabián,mx MEX,FW,Eint Frankfurt,de Bundesliga,29,0.7,26,0,6,14,6,1,26,1,1,100.0,0,0.0,15,109,25,2,1,1,4,1,14,2
762,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,33,38.0,1336,1175,1334,2,0,0,1336,2,2,100.0,0,0.0,617,4750,3364,0,1,0,0,0,409,0
763,Fabinho,br BRA,MF,Liverpool,eng Premier League,24,22.4,1847,49,279,1306,276,19,1847,16,10,62.5,6,37.5,1141,5444,2839,28,41,0,10,16,1334,19
764,Fábio,br BRA,"DF,FW",Nantes,fr Ligue 1,28,14.2,787,34,203,373,222,9,787,14,8,57.1,6,42.9,348,2344,1459,44,39,2,10,6,373,55
765,Cesc Fàbregas,es ESP,MF,Chelsea,eng Premier League,31,2.0,216,4,44,131,42,6,216,1,0,0.0,1,100.0,116,590,366,3,3,0,2,2,177,9
766,Cesc Fàbregas,es ESP,MF,Monaco,fr Ligue 1,31,10.7,840,18,129,521,195,13,840,4,3,75.0,1,25.0,440,1719,912,12,13,1,11,7,605,31
767,Fabricio,es ESP,GK,Fulham,eng Premier League,30,2.0,75,71,75,0,0,0,75,0,0,,0,,25,182,120,0,0,0,0,0,23,0
768,Ralf Fährmann,de GER,GK,Schalke 04,de Bundesliga,29,16.3,562,462,558,4,0,0,562,0,0,,0,,235,1543,1045,0,0,0,0,0,238,0
769,Romain Faivre,fr FRA,MF,Monaco,fr Ligue 1,20,1.0,51,0,2,35,14,3,51,3,1,33.3,2,66.7,36,256,127,5,1,1,1,1,41,9
770,Fayçal Fajr,ma MAR,MF,Caen,fr Ligue 1,29,36.0,2428,28,367,1538,543,14,2427,47,29,61.7,18,38.3,1283,5983,2672,39,39,2,47,35,1574,59
771,Radamel Falcao,co COL,FW,Monaco,fr Ligue 1,32,28.4,1031,30,70,527,435,132,1027,34,14,41.2,20,58.8,613,2098,663,22,20,5,111,46,780,166
772,Diego Falcinelli,it ITA,FW,Bologna,it Serie A,27,7.8,242,3,19,119,109,27,242,18,8,44.4,10,55.6,176,808,277,8,7,6,27,31,192,55
773,Simon Falette,gn GUI,DF,Eint Frankfurt,de Bundesliga,26,6.7,383,33,186,181,18,1,383,0,0,,0,,171,985,534,1,2,0,4,4,195,3
774,Iago Falque,es ESP,"FW,MF",Torino,it Serie A,28,17.9,1137,2,64,513,574,93,1137,41,18,43.9,23,56.1,739,5085,2162,76,51,28,46,36,871,168
775,Paolo Faragò,it ITA,"MF,DF",Cagliari,it Serie A,25,18.9,1091,49,230,525,349,51,1091,20,12,60.0,8,40.0,439,2338,1082,37,31,7,30,20,627,105
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
776,Mohamed Fares,dz ALG,DF,SPAL,it Serie A,22,32.8,1940,95,564,773,633,52,1940,63,35,55.6,28,44.4,1026,7258,4110,101,71,10,52,39,1128,171
777,Diego Farias,br BRA,FW,Empoli,it Serie A,28,13.3,467,5,22,162,290,78,467,28,13,46.4,15,53.6,338,2074,1237,50,26,30,29,19,378,107
778,Diego Farias,br BRA,FW,Cagliari,it Serie A,28,7.8,334,4,23,128,185,36,334,15,4,26.7,11,73.3,217,1337,578,19,18,7,16,17,263,67
779,Andrea Favilli,it ITA,"FW,DF",Genoa,it Serie A,21,1.9,68,2,4,17,47,13,68,4,2,50.0,2,50.0,40,312,173,7,1,3,6,1,51,21
780,Federico Fazio,ar ARG,DF,Roma,it Serie A,31,31.2,1785,246,790,914,95,40,1785,17,14,82.4,3,17.6,857,4142,2361,19,7,0,16,6,1010,5
781,Zouhair Feddal,ma MAR,DF,Betis,es La Liga,29,18.9,1511,146,661,757,102,26,1511,23,18,78.3,5,21.7,878,4573,2797,11,13,0,14,5,1022,5
782,Nabil Fekir,fr FRA,MF,Lyon,fr Ligue 1,25,22.1,1426,7,91,668,677,120,1420,82,47,57.3,35,42.7,1000,5558,2505,62,53,26,53,44,1091,175
783,Yassin Fekir,fr FRA,FW,Lyon,fr Ligue 1,21,0.1,22,0,3,11,8,0,22,1,0,0.0,1,100.0,18,94,48,1,1,0,1,0,18,2
784,Felipe,br BRA,DF,Hannover 96,de Bundesliga,31,12.2,664,103,346,294,25,13,664,3,2,66.7,1,33.3,302,1737,813,7,1,0,3,4,348,2
785,Luiz Felipe,it ITA,DF,Lazio,it Serie A,21,14.3,865,101,388,428,56,9,865,5,3,60.0,2,40.0,490,3350,1808,12,11,0,8,4,553,7
786,Ohis Felix Uduokhai,de GER,DF,Wolfsburg,de Bundesliga,20,2.7,188,9,67,95,27,2,188,5,3,60.0,2,40.0,85,607,444,5,2,0,5,1,106,4
787,Marouane Fellaini,be BEL,MF,Manchester Utd,eng Premier League,30,8.4,548,40,122,328,100,27,548,4,1,25.0,3,75.0,236,646,238,1,6,0,10,8,376,29
788,Kiko Femenía,es ESP,DF,Watford,eng Premier League,27,22.8,1404,89,388,634,398,19,1404,22,13,59.1,9,40.9,769,3394,1737,41,32,1,20,11,774,84
789,Edimilson Fernandes,ch SUI,MF,Fiorentina,it Serie A,22,21.9,1112,49,198,702,223,23,1112,39,20,51.3,19,48.7,696,4069,1687,35,30,7,35,34,714,51
790,Gelson Fernandes,ch SUI,MF,Eint Frankfurt,de Bundesliga,31,24.7,1089,51,283,723,95,7,1089,10,5,50.0,5,50.0,431,1575,578,3,5,1,13,13,521,5
791,Aitor Fernández,es ESP,GK,Levante,es La Liga,27,16.0,507,439,506,1,0,0,507,0,0,,0,,189,1492,1288,0,0,0,0,0,106,0
792,Andrés Fernández,es ESP,GK,Villarreal,es La Liga,31,6.0,206,174,205,1,0,0,206,1,0,0.0,1,100.0,94,583,435,0,0,0,0,0,64,0
793,Borja Fernández,es ESP,"MF,DF",Valladolid,es La Liga,37,9.3,481,40,167,285,34,9,481,1,1,100.0,0,0.0,195,944,450,1,2,1,7,3,267,4
794,Federico Fernández,ar ARG,DF,Newcastle Utd,eng Premier League,29,16.5,812,122,439,352,27,18,812,0,0,,0,,369,1664,790,2,3,0,7,4,433,3
795,Joaquín Fernández,es ESP,"DF,MF",Valladolid,es La Liga,22,9.3,416,53,214,186,20,9,416,0,0,,0,,194,824,381,1,1,0,2,0,218,1
796,Fernandinho,br BRA,MF,Manchester City,eng Premier League,33,26.4,2356,92,422,1570,386,24,2356,26,19,73.1,7,26.9,1610,8163,4720,58,66,2,25,13,1766,29
797,Juan Ferney Otero,co COL,"FW,MF",Amiens,fr Ligue 1,23,24.2,1081,18,140,469,501,60,1081,78,37,47.4,40,51.3,666,4573,2412,82,54,14,77,49,735,193
798,Alex Ferrari,it ITA,DF,Sampdoria,it Serie A,24,6.0,385,39,154,212,21,6,385,1,0,0.0,1,100.0,207,954,531,0,3,0,8,1,242,3
799,David Ferreiro,es ESP,"MF,FW",Huesca,es La Liga,30,25.3,1280,13,177,485,634,64,1280,40,25,62.5,15,37.5,755,5530,2701,114,44,23,49,28,788,225
800,Facundo Ferreyra,ar ARG,FW,Espanyol,es La Liga,27,2.3,78,4,7,39,33,11,78,0,0,,0,,45,145,63,1,1,0,6,2,52,15
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
801,Jordan Ferri,fr FRA,MF,Nîmes,fr Ligue 1,26,20.8,1289,15,188,852,270,17,1289,50,27,54.0,23,46.0,735,4914,2710,55,26,4,40,28,831,57
802,Jordan Ferri,fr FRA,MF,Lyon,fr Ligue 1,26,1.3,116,4,21,68,28,4,116,2,1,50.0,1,50.0,84,542,246,4,3,2,4,4,84,7
803,Oliver Fink,de GER,MF,Düsseldorf,de Bundesliga,36,11.7,554,24,126,299,135,23,554,16,9,56.3,7,43.8,252,1114,488,15,8,6,29,23,333,33
804,Alfreð Finnbogason,is ISL,FW,Augsburg,de Bundesliga,29,14.8,475,15,31,236,211,77,471,24,12,50.0,12,50.0,260,1319,558,21,11,12,41,23,349,110
805,Roberto Firmino,br BRA,"FW,MF",Liverpool,eng Premier League,26,29.0,1629,19,89,788,764,149,1628,71,49,69.0,22,31.0,1079,5225,2391,62,54,13,78,62,1313,244
806,Junior Firpo,es ESP,"DF,FW",Betis,es La Liga,21,21.5,1361,49,319,588,469,80,1361,45,31,68.9,14,31.1,717,3958,2420,73,40,21,25,15,861,171
807,Mathieu Flamini,fr FRA,MF,Getafe,es La Liga,34,5.0,167,6,33,109,25,2,167,1,0,0.0,1,100.0,44,159,28,0,0,0,3,2,67,1
808,Mark Flekken,nl NED,GK,Freiburg,de Bundesliga,25,1.0,31,30,31,0,0,0,31,0,0,,0,,21,118,39,0,0,0,0,0,20,0
809,Sergio Floccari,it ITA,FW,SPAL,it Serie A,36,10.8,353,4,27,163,168,41,353,13,7,53.8,6,46.2,238,1569,407,14,9,4,39,21,274,62
810,Alessandro Florenzi,it ITA,"DF,FW",Roma,it Serie A,27,24.2,1717,78,459,790,487,38,1717,24,8,33.3,16,66.7,860,4701,2854,66,46,8,16,9,1004,101
811,Phil Foden,eng ENG,MF,Manchester City,eng Premier League,18,3.7,279,1,16,134,132,27,279,11,8,72.7,3,27.3,208,1072,588,23,9,9,4,5,232,35
812,Guessouma Fofana,mr MTN,MF,Amiens,fr Ligue 1,25,2.1,75,1,19,49,7,0,75,1,1,100.0,0,0.0,36,162,100,1,0,0,2,2,43,5
813,Guessouma Fofana,mr MTN,MF,Guingamp,fr Ligue 1,25,5.3,183,11,37,112,34,4,183,3,1,33.3,2,66.7,63,331,155,3,4,0,2,7,93,4
814,Seko Fofana,ci CIV,MF,Udinese,it Serie A,23,29.3,1469,35,255,839,393,48,1469,75,54,72.0,21,28.0,1039,6518,2917,67,53,23,71,50,1063,116
815,Wesley Fofana,fr FRA,DF,Saint-Étienne,fr Ligue 1,17,1.8,112,11,58,51,4,0,112,1,0,0.0,1,100.0,51,165,68,0,2,0,2,0,58,1
816,Youssouf Fofana,fr FRA,MF,Strasbourg,fr Ligue 1,19,10.1,469,11,95,281,104,9,469,25,16,64.0,9,36.0,288,1683,957,21,27,3,29,9,304,21
817,Thomas Foket,be BEL,DF,Reims,fr Ligue 1,23,32.0,1755,97,615,764,390,19,1755,21,11,52.4,10,47.6,728,4054,2234,43,32,2,30,15,830,110
818,Thomas Fontaine,mg MAD,"DF,MF",Reims,fr Ligue 1,27,4.7,252,41,155,94,6,2,252,1,1,100.0,0,0.0,129,596,304,2,1,1,3,1,158,0
