Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
34,Ola Aina,ng NGA,DF,Torino,it Serie A,24,16.0,27,19,11,10,6,15,23,65.2,8,17,3,14,28,55,30,0
35,Rayan Aït Nouri,dz ALG,"DF,MF",Wolves,eng Premier League,20,20.3,64,36,46,15,3,22,44,50.0,22,24,2,22,22,86,39,1
36,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,23,22.2,29,18,21,6,2,13,21,61.9,8,19,11,8,26,55,74,0
37,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,27,30.4,36,25,5,19,12,7,40,17.5,33,28,3,25,8,44,31,1
38,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,26,25.1,33,23,20,11,2,22,32,68.8,10,26,15,11,35,68,58,0
39,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,28,20.5,43,31,26,15,2,21,37,56.8,16,26,7,19,51,94,61,0
40,Marley Aké,fr FRA,"FW,MF",Juventus,it Serie A,20,0.9,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,0,0
41,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,26,10.3,16,9,7,8,1,6,8,75.0,2,7,5,2,8,24,23,0
42,Ilias Akhomach,es ESP,FW,Barcelona,es La Liga,17,1.4,2,0,0,1,1,0,0,,0,0,0,0,0,2,0,0
43,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,fr Ligue 1,19,0.6,2,0,0,2,0,0,1,0.0,1,2,0,2,0,2,0,0
44,Paul Akouokou,ci CIV,MF,Betis,es La Liga,23,5.7,14,9,5,7,2,8,12,66.7,4,6,0,6,11,25,6,0
45,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,it Serie A,28,3.5,17,10,7,9,1,7,12,58.3,5,4,2,2,2,19,6,0
46,Kevin Akpoguma,ng NGA,"DF,FW",Hoffenheim,de Bundesliga,26,17.0,33,19,16,11,6,16,28,57.1,12,32,2,30,20,53,29,2
47,David Alaba,at AUT,DF,Real Madrid,es La Liga,29,29.4,23,13,15,6,2,9,19,47.4,10,26,15,11,22,45,70,1
48,Sofiane Alakouch,ma MAR,"DF,MF",Metz,fr Ligue 1,23,1.8,7,4,3,4,0,2,5,40.0,3,4,0,4,1,8,4,0
49,Tomás Alarcón,cl CHI,MF,Cádiz,es La Liga,22,15.8,31,20,17,10,4,10,31,32.3,21,19,7,12,30,61,31,0
50,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,28,7.3,6,5,0,2,4,2,5,40.0,3,5,0,5,1,7,6,0
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
51,Jordi Alba,es ESP,DF,Barcelona,es La Liga,32,29.4,47,34,12,26,9,27,47,57.4,20,26,6,20,33,80,41,1
52,Josué Albert,gf GUF,DF,Clermont Foot,fr Ligue 1,29,0.2,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0
53,Luis Alberto,es ESP,MF,Lazio,it Serie A,28,26.1,29,17,8,11,10,8,52,15.4,44,32,4,28,13,42,7,0
54,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,35,27.4,26,15,20,5,1,14,18,77.8,4,24,15,9,21,47,126,1
55,Marc Albrighton,eng ENG,"FW,DF",Leicester City,eng Premier League,31,12.6,31,19,16,9,6,10,47,21.3,37,15,3,12,14,45,20,0
56,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,27,8.7,9,3,2,4,3,1,5,20.0,4,7,0,7,6,15,1,0
57,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,30,17.0,48,29,14,24,10,10,42,23.8,32,22,2,20,26,74,13,2
58,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,30,12.3,41,20,14,24,3,22,45,48.9,23,10,2,8,13,54,14,0
59,Omar Alderete,py PAR,DF,Valencia,es La Liga,24,26.7,53,34,34,17,2,34,53,64.2,19,30,18,12,35,88,153,0
60,Iván Alejo,es ESP,"MF,FW",Cádiz,es La Liga,26,11.8,33,15,21,10,2,15,44,34.1,29,12,0,12,8,41,17,0
61,Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,18,12.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,9,1
62,Carles Aleñá,es ESP,MF,Getafe,es La Liga,23,25.8,27,19,11,13,3,9,48,18.8,39,21,2,19,15,42,16,0
63,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,22,31.7,40,23,19,13,8,27,60,45.0,33,22,4,18,43,83,40,0
64,Mohamed Ali Cho,fr FRA,FW,Angers,fr Ligue 1,17,20.4,10,5,1,4,5,5,17,29.4,12,17,1,16,8,18,0,1
65,Alisson,br BRA,GK,Liverpool,eng Premier League,28,36.0,3,1,3,0,0,3,5,60.0,2,1,0,1,0,3,28,1
66,Allan,br BRA,MF,Everton,eng Premier League,30,24.3,74,44,28,39,7,34,105,32.4,71,40,9,31,23,97,39,1
67,Jim Allevinah,ga GAB,FW,Clermont Foot,fr Ligue 1,26,16.5,18,13,8,8,2,5,18,27.8,13,11,0,11,6,24,4,0
68,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,25,7.3,14,8,10,3,1,5,17,29.4,12,22,5,17,6,20,16,0
69,Dele Alli,eng ENG,"MF,FW",Everton,eng Premier League,25,3.8,7,2,3,4,0,0,4,0.0,4,7,2,5,6,13,10,0
70,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,eng Premier League,27,19.1,47,29,23,17,7,11,44,25.0,33,14,1,13,20,67,13,0
71,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,30,24.1,41,29,20,12,9,17,36,47.2,19,29,5,24,43,84,53,0
72,Giorgio Altare,it ITA,DF,Cagliari,it Serie A,22,16.3,39,28,18,18,3,21,26,80.8,5,17,5,12,30,69,70,0
73,Hugo Álvarez,es ESP,FW,Celta Vigo,es La Liga,18,0.1,1,0,1,0,0,0,0,,0,0,0,0,0,1,1,0
74,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,26,20.7,24,14,15,8,1,10,18,55.6,8,21,16,5,45,69,97,0
75,Dani Alves,br BRA,DF,Barcelona,es La Liga,38,12.2,30,19,13,13,4,14,26,53.8,12,10,3,7,11,41,10,2
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
76,Steven Alzate,co COL,MF,Brighton,eng Premier League,22,4.5,10,4,4,5,1,4,7,57.1,3,2,1,1,10,20,10,0
77,Ibrahim Amadou,fr FRA,"DF,MF",Metz,fr Ligue 1,28,9.0,16,8,10,6,0,8,15,53.3,7,4,2,2,14,30,26,0
78,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,es La Liga,19,0.9,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0
79,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,26,23.6,26,13,19,7,0,19,29,65.5,10,30,22,8,21,47,93,4
80,Amath,sn SEN,"FW,MF",Mallorca,es La Liga,25,9.8,21,11,11,6,4,7,17,41.2,10,12,0,12,7,28,7,0
81,Jordan Amavi,fr FRA,DF,Nice,fr Ligue 1,27,4.6,16,10,8,7,1,10,17,58.8,7,3,1,2,15,31,7,0
82,Jordan Amavi,fr FRA,"DF,FW",Marseille,fr Ligue 1,27,1.4,6,5,3,1,2,5,10,50.0,5,1,0,1,1,7,3,0
83,Wisdom Amey,it ITA,DF,Bologna,it Serie A,15,0.8,3,2,1,1,1,2,3,66.7,1,2,0,2,3,6,1,0
84,Kelvin Amian,fr FRA,DF,Spezia,it Serie A,23,29.4,66,42,43,18,5,30,41,73.2,11,39,21,18,32,98,75,0
85,Nadiem Amiri,de GER,"MF,FW",Genoa,it Serie A,24,7.6,6,4,2,2,2,2,9,22.2,7,7,0,7,0,6,0,0
86,Nadiem Amiri,de GER,"MF,FW",Leverkusen,de Bundesliga,24,4.1,8,4,3,2,3,4,8,50.0,4,4,2,2,5,13,0,0
87,Ethan Ampadu,wls WAL,"MF,DF",Venezia,it Serie A,20,25.4,67,43,37,27,3,24,58,41.4,34,49,19,30,51,118,76,0
88,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,24,10.5,24,13,9,13,2,11,19,57.9,8,25,8,17,5,29,6,1
89,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,25,32.4,30,23,21,9,0,16,27,59.3,11,29,19,10,37,67,125,3
90,Felipe Anderson,br BRA,FW,Lazio,it Serie A,28,32.1,71,45,30,33,8,27,99,27.3,72,65,6,59,20,91,16,0
91,Sebastian Andersson,se SWE,FW,Köln,de Bundesliga,30,14.0,11,7,0,3,8,3,9,33.3,6,8,0,8,3,14,14,0
92,Florin Andone,ro ROU,FW,Cádiz,es La Liga,28,2.0,1,1,1,0,0,0,1,0.0,1,2,0,2,0,1,1,0
93,Andrés Andrade Cedeño,pa PAN,DF,Arminia,de Bundesliga,22,11.6,27,16,18,8,1,17,35,48.6,18,16,7,9,19,46,44,0
94,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,30,30.6,123,69,49,65,9,51,113,45.1,62,49,11,38,50,173,56,0
95,Fredrik André Bjørkan,no NOR,DF,Hertha BSC,de Bundesliga,22,3.9,12,10,7,4,1,7,9,77.8,2,6,2,4,6,18,8,0
96,Robert Andrich,de GER,MF,Leverkusen,de Bundesliga,26,20.2,33,17,18,14,1,14,28,50.0,14,19,7,12,31,64,46,0
97,José Ángel,es ESP,DF,Osasuna,es La Liga,31,12.0,20,13,9,9,2,9,14,64.3,5,6,1,5,10,30,21,0
98,Angeliño,es ESP,DF,RB Leipzig,de Bundesliga,24,25.5,28,21,14,13,1,14,30,46.7,16,24,3,21,29,57,40,0
99,Ebenezer Annan,gh GHA,DF,Bologna,it Serie A,18,0.3,1,1,1,0,0,0,0,,0,0,0,0,1,2,1,0
100,Cristian Ansaldi,ar ARG,DF,Torino,it Serie A,34,7.7,20,9,11,7,2,10,13,76.9,3,9,1,8,6,26,10,0
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
101,Janis Antiste,fr FRA,FW,Spezia,it Serie A,18,8.8,18,11,6,6,6,5,13,38.5,8,7,1,6,4,22,6,0
102,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,25,28.8,40,26,22,15,3,19,32,59.4,13,27,16,11,32,72,116,1
103,Josep Antoni Gayá,es ESP,DF,Mallorca,es La Liga,21,0.6,0,0,0,0,0,0,0,,0,1,0,1,1,1,3,1
104,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,31,33.0,23,17,5,9,9,7,18,38.9,11,19,1,18,3,26,13,0
105,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,de Bundesliga,27,12.6,21,18,7,8,6,6,26,23.1,20,12,0,12,1,22,8,0
106,Houssem Aouar,fr FRA,"MF,FW",Lyon,fr Ligue 1,23,27.8,46,30,9,25,12,27,54,50.0,27,26,1,25,20,66,5,0
107,Adil Aouchiche,fr FRA,"MF,FW",Saint-Étienne,fr Ligue 1,19,12.0,13,6,5,5,3,5,33,15.2,28,18,1,17,17,30,4,0
108,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,29,23.3,55,34,35,18,2,28,48,58.3,20,30,13,17,27,82,74,0
109,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,25,29.6,62,37,19,32,11,20,68,29.4,48,35,5,30,32,94,18,0
110,Mattia Aramu,it ITA,"MF,FW",Venezia,it Serie A,26,23.3,20,15,5,9,6,8,33,24.2,25,20,2,18,8,28,19,0
111,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,32,17.5,45,25,18,21,6,22,52,42.3,30,24,4,20,33,78,21,0
112,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,29,29.1,22,14,17,5,0,9,21,42.9,12,17,10,7,27,49,105,2
113,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,22,25.2,41,23,29,12,0,21,25,84.0,4,37,20,17,23,64,66,1
114,Cameron Archer,eng ENG,"FW,MF",Aston Villa,eng Premier League,20,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
115,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,28,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
116,Jesús Areso,es ESP,DF,Osasuna,es La Liga,22,2.1,3,3,2,1,0,0,2,0.0,2,0,0,0,0,3,2,1
117,Matias Arezo,uy URU,"FW,MF",Granada,es La Liga,18,1.8,5,3,2,1,2,4,9,44.4,5,1,0,1,1,6,1,0
118,Santiago Arias,co COL,DF,Granada,es La Liga,29,4.9,12,5,8,3,1,4,9,44.4,5,8,4,4,5,17,10,0
119,Adam Armstrong,eng ENG,FW,Southampton,eng Premier League,24,15.7,10,4,2,2,6,0,6,0.0,6,13,1,12,3,13,6,0
120,Stuart Armstrong,sct SCO,MF,Southampton,eng Premier League,29,16.4,27,19,15,6,6,9,23,39.1,14,10,1,9,8,35,15,0
121,Marko Arnautović,at AUT,FW,Bologna,it Serie A,32,29.9,17,9,1,11,5,7,30,23.3,23,13,2,11,7,24,17,0
122,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,27,33.3,37,20,19,16,2,20,50,40.0,30,43,15,28,37,74,55,0
123,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,26,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0
124,Tolgay Arslan,de GER,MF,Udinese,it Serie A,30,18.4,35,20,15,16,4,19,50,38.0,31,17,4,13,13,48,23,1
125,Arthur,br BRA,FW,Fiorentina,it Serie A,23,8.3,9,5,2,5,2,4,7,57.1,3,4,1,3,1,10,8,0
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
126,Santiago Arzamendia,py PAR,MF,Cádiz,es La Liga,23,5.2,14,6,6,5,3,6,13,46.2,7,6,0,6,4,18,7,0
127,Takuma Asano,jp JPN,"FW,MF",Bochum,de Bundesliga,26,17.9,11,6,3,6,2,5,19,26.3,14,14,1,13,7,18,7,0
128,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,de Bundesliga,24,26.4,93,54,50,37,6,38,89,42.7,51,31,6,25,41,134,42,0
129,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,32,6.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,6,0
130,Alejandro Asensio,es ESP,FW,Rayo Vallecano,es La Liga,20,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
131,Marco Asensio,es ESP,"FW,MF",Real Madrid,es La Liga,25,19.2,12,8,6,4,2,4,18,22.2,14,8,1,7,12,24,6,1
132,Harrison Ashby,sct SCO,DF,West Ham,eng Premier League,19,0.1,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,0
133,Kristoffer Askildsen,no NOR,MF,Sampdoria,it Serie A,20,8.4,18,6,7,11,0,9,19,47.4,10,14,7,7,15,33,15,0
134,Fisnik Asllani,xk KVX,"MF,FW",Hoffenheim,de Bundesliga,18,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
135,Kristjan Asllani,al ALB,MF,Empoli,it Serie A,19,15.0,18,9,9,8,1,11,29,37.9,18,16,7,9,19,37,15,1
136,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,33,34.3,14,7,1,5,8,4,24,16.7,20,23,2,21,11,25,19,0
137,Lorenz Assignon,tg TOG,DF,Rennes,fr Ligue 1,21,6.8,15,10,11,3,1,5,9,55.6,4,3,1,2,11,26,19,0
138,Simon Asta,de GER,DF,Greuther Fürth,de Bundesliga,20,8.7,13,6,4,5,4,4,8,50.0,4,14,2,12,8,21,16,0
139,Youcef Atal,dz ALG,DF,Nice,fr Ligue 1,25,12.7,29,19,17,10,2,14,25,56.0,11,13,2,11,32,61,21,0
140,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,eng Premier League,32,11.5,11,5,6,4,1,3,10,30.0,7,12,1,11,0,11,4,0
141,Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,es La Liga,32,12.0,2,2,0,1,1,0,5,0.0,5,9,1,8,2,4,4,0
142,Emil Audero,it ITA,GK,Sampdoria,it Serie A,24,28.4,3,1,3,0,0,3,5,60.0,2,0,0,0,2,5,17,2
143,Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,26,26.6,36,20,22,8,6,17,29,58.6,12,19,4,15,29,65,68,1
144,Jean-Kévin Augustin,fr FRA,"FW,MF",Nantes,fr Ligue 1,24,0.9,1,0,0,0,1,0,3,0.0,3,1,0,1,0,1,0,0
145,Ludwig Augustinsson,se SWE,"DF,FW",Sevilla,es La Liga,27,8.8,18,14,11,3,4,8,13,61.5,5,10,3,7,5,23,21,0
146,Serge Aurier,ci CIV,DF,Villarreal,es La Liga,28,11.2,14,9,11,2,1,4,7,57.1,3,14,7,7,11,25,25,0
147,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,es La Liga,27,20.8,17,7,6,7,4,7,21,33.3,14,14,2,12,13,30,15,1
148,Taiwo Awoniyi,ng NGA,FW,Union Berlin,de Bundesliga,23,24.2,11,7,3,6,2,1,9,11.1,8,11,2,9,2,13,29,0
149,Ramzi Aya,it ITA,DF,Salernitana,it Serie A,30,1.5,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,4,0
150,Jordan Ayew,gh GHA,FW,Crystal Palace,eng Premier League,29,22.4,47,30,20,20,7,17,31,54.8,14,33,3,30,15,62,15,0
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
151,Kaan Ayhan,tr TUR,DF,Sassuolo,it Serie A,26,15.0,20,12,14,6,0,7,15,46.7,8,20,14,6,13,33,57,0
152,Luke Ayling,eng ENG,DF,Leeds United,eng Premier League,29,25.2,74,42,46,23,5,51,97,52.6,46,46,25,21,28,102,52,1
153,Karim Azamoum,fr FRA,DF,Troyes,fr Ligue 1,31,4.3,6,5,4,2,0,3,5,60.0,2,4,2,2,1,7,10,0
154,Sardar Azmoun,ir IRN,"FW,MF",Leverkusen,de Bundesliga,26,4.0,3,1,0,2,1,0,5,0.0,5,2,0,2,0,3,8,0
155,César Azpilicueta,es ESP,DF,Chelsea,eng Premier League,31,23.0,51,28,18,27,6,16,35,45.7,19,32,9,23,23,74,65,1
156,Iddrisu Baba,gh GHA,MF,Mallorca,es La Liga,25,21.5,57,30,31,23,3,25,43,58.1,18,19,5,14,24,81,34,1
157,Carlos Bacca,co COL,FW,Granada,es La Liga,34,5.7,4,4,2,0,2,0,3,0.0,3,5,0,5,1,5,5,0
158,Daniel Bachmann,at AUT,GK,Watford,eng Premier League,27,12.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0
159,Loïc Bade,fr FRA,DF,Rennes,fr Ligue 1,21,10.9,6,5,4,2,0,3,5,60.0,2,12,10,2,12,18,48,0
160,Milan Badelj,hr CRO,MF,Genoa,it Serie A,32,31.6,64,37,25,30,9,34,80,42.5,46,39,7,32,85,149,43,0
161,Édgar Badía,es ESP,GK,Elche,es La Liga,29,24.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,16,2
162,Benoît Badiashile,fr FRA,DF,Monaco,fr Ligue 1,20,20.4,36,19,21,15,0,14,23,60.9,9,18,12,6,28,64,68,1
163,Youssouph Badji,sn SEN,"FW,MF",Brest,fr Ligue 1,19,1.5,1,0,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0
164,Miguel Baeza,es ESP,DF,Celta Vigo,es La Liga,21,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
165,Nicola Bagnolini,it ITA,GK,Bologna,it Serie A,17,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
166,Issa Bah,lu LUX,FW,Venezia,it Serie A,19,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
167,Stéphane Bahoken,cm CMR,FW,Angers,fr Ligue 1,29,12.2,13,8,2,7,4,1,9,11.1,8,15,0,15,3,16,3,0
168,Leon Bailey,jm JAM,"FW,MF",Aston Villa,eng Premier League,23,8.5,17,11,6,8,3,6,13,46.2,7,10,1,9,1,18,2,0
169,Eric Bailly,ci CIV,DF,Manchester Utd,eng Premier League,27,2.4,5,4,4,0,1,3,4,75.0,1,4,2,2,3,8,11,0
170,Dénys Bain,fr FRA,DF,Brest,fr Ligue 1,28,2.0,3,3,1,2,0,1,1,100.0,0,3,1,2,3,6,5,0
171,Stefan Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,19,5.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0
172,Nedim Bajrami,al ALB,"MF,FW",Empoli,it Serie A,22,22.8,21,14,5,13,3,4,14,28.6,10,11,0,11,3,24,8,0
173,Cédric Bakambu,cd COD,FW,Marseille,fr Ligue 1,30,4.0,2,0,1,0,1,0,3,0.0,3,2,0,2,0,2,1,0
174,Abdoulaye Bakayoko,fr FRA,DF,Saint-Étienne,fr Ligue 1,18,3.4,15,9,13,2,0,8,12,66.7,4,5,4,1,12,27,15,0
175,Tiemoué Bakayoko,fr FRA,MF,Milan,it Serie A,26,5.6,19,13,9,7,3,5,16,31.3,11,8,1,7,9,28,10,2
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
176,Mitchel Bakker,nl NED,DF,Leverkusen,de Bundesliga,21,20.2,33,22,16,12,5,20,34,58.8,14,13,2,11,23,56,42,3
