Rk,Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,29,29,2507,27.9,3,2,5,2,1,1,0,0,2.1,1.3,3.7,5.1,60,143,89,0.11,0.07,0.18,0.07,0.14,0.08,0.13,0.21,0.05,0.18
2,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,19,36,36,3240,36.0,0,1,1,0,0,0,7,0,0.6,0.6,3.9,4.5,92,78,151,0.00,0.03,0.03,0.00,0.03,0.02,0.11,0.12,0.02,0.12
3,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,28,28,2520,28.0,3,0,3,3,0,0,0,0,1.7,1.7,1.2,2.9,21,96,6,0.11,0.00,0.11,0.11,0.11,0.06,0.04,0.10,0.06,0.10
4,Suleiman Abdullahi,ng NGA,"FW,MF",Union Berlin,de Bundesliga,22,6,1,157,1.7,1,0,1,1,0,0,1,0,1.1,1.1,0.2,1.3,2,3,10,0.57,0.00,0.57,0.57,0.57,0.65,0.09,0.74,0.65,0.74
5,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,25,20,1817,20.2,1,2,3,1,0,0,5,0,1.5,1.5,1.8,3.3,25,104,42,0.05,0.10,0.15,0.05,0.15,0.07,0.09,0.16,0.07,0.16
6,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,15,6,623,6.9,0,0,0,0,0,0,2,0,0.3,0.3,1.2,1.5,12,10,33,0.00,0.00,0.00,0.00,0.00,0.05,0.17,0.22,0.05,0.22
7,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,20,19,1688,18.8,2,0,2,2,0,0,2,1,1.6,1.6,0.1,1.7,18,99,12,0.11,0.00,0.11,0.11,0.11,0.08,0.01,0.09,0.08,0.09
8,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,21,34,25,2215,24.6,15,3,18,15,0,0,2,0,16.4,16.4,2.7,19.0,31,34,134,0.61,0.12,0.73,0.61,0.73,0.67,0.11,0.77,0.67,0.77
9,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,13,8,663,7.4,0,0,0,0,0,0,3,0,0.5,0.5,0.1,0.6,8,27,13,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.08,0.07,0.08
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,31,36,36,3162,35.1,2,2,4,2,0,0,4,0,2.4,2.4,1.7,4.2,57,150,36,0.06,0.06,0.11,0.06,0.11,0.07,0.05,0.12,0.07,0.12
11,Che Adams,sct SCO,FW,Southampton,eng Premier League,23,30,12,1111,12.3,4,2,6,4,0,0,0,0,5.3,5.3,1.7,7.0,20,16,87,0.32,0.16,0.49,0.32,0.49,0.43,0.14,0.57,0.43,0.57
12,Tyler Adams,us USA,"MF,DF",RB Leipzig,de Bundesliga,20,14,10,953,10.6,0,0,0,0,0,0,0,0,0.4,0.4,0.6,1.0,11,34,49,0.00,0.00,0.00,0.00,0.00,0.04,0.06,0.10,0.04,0.10
13,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,26,15,6,746,8.3,5,1,6,5,0,0,1,0,5.9,5.9,0.6,6.5,19,16,67,0.60,0.12,0.72,0.60,0.72,0.71,0.08,0.78,0.71,0.78
14,Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,32,1,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,Bobby Adekanye,nl NED,FW,Lazio,it Serie A,20,11,0,188,2.1,1,0,1,1,0,0,1,0,1.4,1.4,0.2,1.6,6,2,12,0.48,0.00,0.48,0.48,0.48,0.65,0.09,0.74,0.65,0.74
16,Claud Adjapong,it ITA,DF,Hellas Verona,it Serie A,21,5,2,231,2.6,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,4,5,16,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09
17,Amine Adli,fr FRA,"MF,FW",Toulouse,fr Ligue 1,19,4,0,46,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,4,3,5,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.00,0.13
18,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,19,21,11,1020,11.3,3,3,6,3,0,0,3,0,0.8,0.8,2.2,3.0,38,65,47,0.26,0.26,0.53,0.26,0.53,0.07,0.19,0.26,0.07,0.26
19,Adrián,es ESP,GK,Liverpool,eng Premier League,32,11,9,875,9.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20,Aritz Aduriz,es ESP,"FW,MF",Athletic Club,es La Liga,38,14,0,208,2.3,1,0,1,1,0,1,3,0,1.6,0.8,0.0,0.8,2,6,15,0.43,0.00,0.43,0.43,0.43,0.67,0.00,0.67,0.33,0.33
21,Lumor Agbenyenu,gh GHA,DF,Mallorca,es La Liga,22,23,20,1805,20.1,1,0,1,1,0,0,5,1,0.3,0.3,1.6,1.9,60,69,66,0.05,0.00,0.05,0.05,0.05,0.01,0.08,0.09,0.01,0.09
22,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,23,31,23,2099,23.3,1,1,2,1,0,0,5,1,0.8,0.8,0.7,1.5,26,56,49,0.04,0.04,0.09,0.04,0.09,0.03,0.03,0.07,0.03,0.07
23,Lucien Agoume,fr FRA,MF,Inter,it Serie A,17,3,0,68,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,7,2,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.00,0.11
24,Kevin Agudelo,co COL,"MF,FW",Fiorentina,it Serie A,20,3,1,64,0.7,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,1,4,8,0.00,0.00,0.00,0.00,0.00,0.26,0.14,0.40,0.26,0.40
25,Kevin Agudelo,co COL,"MF,FW",Genoa,it Serie A,20,10,7,666,7.4,1,1,2,1,0,0,5,1,1.2,1.2,1.6,2.8,39,41,34,0.14,0.14,0.27,0.14,0.27,0.17,0.21,0.38,0.17,0.38
Rk,Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
26,Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,23,11,11,957,10.6,1,0,1,1,0,0,2,0,0.3,0.3,0.0,0.3,0,27,0,0.09,0.00,0.09,0.09,0.09,0.03,0.00,0.03,0.03,0.03
27,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,31,24,18,1452,16.1,16,3,19,14,2,3,1,0,14.5,12.1,2.3,14.4,35,34,105,0.99,0.19,1.18,0.87,1.05,0.90,0.14,1.04,0.75,0.89
28,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,26,19,11,1072,11.9,0,2,2,0,0,0,2,2,0.2,0.2,1.8,2.0,32,52,80,0.00,0.17,0.17,0.00,0.17,0.02,0.15,0.17,0.02,0.17
29,Emmanuel Agyemang-Badu,gh GHA,MF,Hellas Verona,it Serie A,28,10,2,230,2.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2,7,1,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
30,Jean-Eudes Aholou,ci CIV,MF,Saint-Étienne,fr Ligue 1,25,11,8,630,7.0,1,1,2,1,0,0,3,1,0.7,0.7,0.5,1.2,14,34,15,0.14,0.14,0.29,0.14,0.29,0.10,0.08,0.17,0.10,0.17
31,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,23,32,27,2502,27.8,0,1,1,0,0,0,4,0,1.0,1.0,0.7,1.8,17,89,2,0.00,0.04,0.04,0.00,0.04,0.04,0.03,0.06,0.04,0.06
32,Ola Aina,ng NGA,DF,Torino,it Serie A,22,32,20,2079,23.1,0,2,2,0,0,0,8,0,0.4,0.4,2.5,2.9,86,80,80,0.00,0.09,0.09,0.00,0.09,0.02,0.11,0.13,0.02,0.13
33,Youssef Aït Bennasser,ma MAR,MF,Bordeaux,fr Ligue 1,23,12,6,536,6.0,0,1,1,0,0,0,1,0,0.1,0.1,0.1,0.2,6,47,6,0.00,0.17,0.17,0.00,0.17,0.01,0.02,0.03,0.01,0.03
34,Rayan Aït Nouri,dz ALG,DF,Angers,fr Ligue 1,18,17,16,1282,14.2,0,2,2,0,0,0,3,0,0.2,0.2,0.7,0.8,45,56,69,0.00,0.14,0.14,0.00,0.14,0.01,0.05,0.06,0.01,0.06
35,Albian Ajeti,ch SUI,FW,West Ham,eng Premier League,22,9,0,139,1.5,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,0,0,10,0.00,0.00,0.00,0.00,0.00,0.11,0.05,0.16,0.11,0.16
36,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,25,26,24,2058,22.9,8,4,12,7,1,1,3,0,7.2,6.4,2.8,9.2,21,30,137,0.35,0.17,0.52,0.31,0.48,0.31,0.12,0.43,0.28,0.40
37,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,24,29,25,2309,25.7,0,1,1,0,0,0,2,0,0.4,0.4,0.4,0.9,18,104,6,0.00,0.04,0.04,0.00,0.04,0.02,0.02,0.03,0.02,0.03
38,Marley Aké,fr FRA,"FW,MF",Marseille,fr Ligue 1,18,9,0,99,1.1,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,4,6,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12
39,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,24,29,29,2503,27.8,2,2,4,2,0,0,2,0,3.0,3.0,2.2,5.1,12,81,7,0.07,0.07,0.14,0.07,0.14,0.11,0.08,0.18,0.11,0.18
40,Chadrac Akolo,cd COD,"FW,MF",Amiens,fr Ligue 1,24,15,5,544,6.0,2,1,3,2,0,0,1,0,1.1,1.1,1.3,2.5,11,26,53,0.33,0.17,0.50,0.33,0.50,0.19,0.22,0.41,0.19,0.41
41,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,24,18,12,1142,12.7,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,7,32,5,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02
42,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27,28,27,2498,27.8,1,1,2,1,0,0,0,0,1.0,1.0,2.4,3.3,69,285,42,0.04,0.04,0.07,0.04,0.07,0.03,0.08,0.12,0.03,0.12
43,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,21,17,17,1400,15.6,0,0,0,0,0,0,3,0,0.9,0.9,0.4,1.4,32,78,39,0.00,0.00,0.00,0.00,0.00,0.06,0.03,0.09,0.06,0.09
44,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,26,24,11,1174,13.0,7,1,8,6,1,1,6,0,7.3,6.5,1.6,8.1,7,16,63,0.54,0.08,0.61,0.46,0.54,0.56,0.12,0.68,0.50,0.62
45,Jordi Alba,es ESP,DF,Barcelona,es La Liga,30,27,25,2187,24.3,2,5,7,2,0,0,7,0,1.4,1.4,4.3,5.7,42,150,244,0.08,0.21,0.29,0.08,0.29,0.06,0.18,0.23,0.06,0.23
46,Luis Alberto,es ESP,MF,Lazio,it Serie A,26,36,36,3113,34.6,6,15,21,5,1,1,5,0,6.6,5.8,11.4,17.2,203,371,163,0.17,0.43,0.61,0.14,0.58,0.19,0.33,0.52,0.17,0.50
47,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,33,36,36,3237,36.0,1,0,1,1,0,0,9,0,2.3,2.3,0.3,2.5,11,118,4,0.03,0.00,0.03,0.03,0.03,0.06,0.01,0.07,0.06,0.07
48,Marc Albrighton,eng ENG,"MF,DF",Leicester City,eng Premier League,29,20,9,867,9.6,0,3,3,0,0,0,2,0,0.4,0.4,2.2,2.6,20,45,94,0.00,0.31,0.31,0.00,0.31,0.04,0.22,0.27,0.04,0.27
49,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,25,13,11,924,10.3,4,1,5,4,0,0,1,0,3.7,3.7,1.4,5.2,13,15,50,0.39,0.10,0.49,0.39,0.49,0.36,0.14,0.50,0.36,0.50
50,Paco Alcácer,es ESP,FW,Dortmund,de Bundesliga,25,11,6,530,5.9,5,1,6,5,0,0,0,0,3.9,3.9,0.9,4.8,1,8,37,0.85,0.17,1.02,0.85,1.02,0.67,0.14,0.81,0.67,0.81
Rk,Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
51,Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,28,24,20,1771,19.7,3,0,3,3,0,0,7,0,2.4,2.4,0.9,3.3,27,230,43,0.15,0.00,0.15,0.15,0.15,0.12,0.05,0.17,0.12,0.17
52,Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,28,27,20,1927,21.4,2,2,4,2,0,0,10,0,1.9,1.9,1.0,2.9,26,100,21,0.09,0.09,0.19,0.09,0.19,0.09,0.05,0.13,0.09,0.13
53,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,30,33,33,2957,32.9,2,2,4,2,0,0,7,0,0.7,0.7,1.3,2.1,11,96,10,0.06,0.06,0.12,0.06,0.12,0.02,0.04,0.06,0.02,0.06
54,Haitam Aleesami,no NOR,DF,Amiens,fr Ligue 1,28,22,21,1916,21.3,1,1,2,1,0,0,4,0,0.4,0.4,1.2,1.6,21,120,72,0.05,0.05,0.09,0.05,0.09,0.02,0.06,0.07,0.02,0.07
