Rk,Player,Nation,Pos,Squad,Comp,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
141,Nicolò Armini,it ITA,DF,Lazio,it Serie A,18,1,3,3,0.1,0.0,0,,0,1,3,10,3.00,1,0,+1,+30.00,+29.05,0.8,0.1,+0.7,+21.79,+21.36
142,Stuart Armstrong,sct SCO,MF,Southampton,eng Premier League,27,30,1715,57,50.1,19.1,19,82,7,11,15,2,1.50,32,25,+7,+0.37,+1.21,27.8,28.0,-0.2,-0.01,-0.20
143,José Arnaiz,es ESP,"FW,MF",Osasuna,es La Liga,24,14,791,57,23.1,8.8,8,74,2,6,34,1,1.07,8,12,-4,-0.46,-0.32,7.2,10.4,-3.2,-0.37,-0.48
144,José Arnaiz,es ESP,MF,Leganés,es La Liga,24,12,337,28,9.9,3.7,2,68,1,10,20,7,0.67,1,3,-2,-0.53,+0.02,4.8,4.5,+0.3,+0.08,+0.18
145,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,25,33,2821,85,92.2,31.3,32,88,26,1,8,0,1.39,44,43,+1,+0.03,-0.34,48.3,39.5,+8.9,+0.28,-0.11
146,Jann-Fiete Arp,de GER,FW,Bayern Munich,de Bundesliga,19,0,,,,,0,,0,0,,2,,,,,,,,,,,
147,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,24,33,2970,90,86.8,33.0,33,90,33,0,,5,1.76,61,47,+14,+0.42,+0.22,62.6,34.8,+27.8,+0.84,+0.28
148,Kwadwo Asamoah,gh GHA,"DF,FW",Inter,it Serie A,30,8,639,80,18.7,7.1,7,89,6,1,19,15,2.38,15,5,+10,+1.41,+0.28,11.7,6.8,+4.9,+0.69,-0.08
149,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,de Bundesliga,22,8,634,79,20.7,7.0,7,90,7,1,4,0,1.38,7,16,-9,-1.28,-1.20,7.4,13.4,-6.0,-0.85,-0.65
150,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,30,34,3060,90,89.5,34.0,34,90,34,0,,4,1.62,52,41,+11,+0.32,-0.43,54.1,39.9,+14.2,+0.42,-0.34
Rk,Player,Nation,Pos,Squad,Comp,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
151,Marco Asensio,es ESP,FW,Real Madrid,es La Liga,23,9,336,37,9.8,3.7,3,67,0,6,22,2,2.78,9,3,+6,+1.61,+0.47,7.2,3.4,+3.8,+1.02,+0.12
152,Bernard Ashley-Seal,eng ENG,FW,Wolves,eng Premier League,20,0,,,,,0,,0,0,,6,,,,,,,,,,,
153,Kristoffer Askildsen,no NOR,MF,Sampdoria,it Serie A,18,4,76,19,2.2,0.8,0,,0,4,19,9,1.00,1,1,0,0.00,+0.46,1.5,0.8,+0.7,+0.84,+0.98
154,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,31,37,3262,88,95.4,36.2,37,88,30,0,,0,0.97,35,48,-13,-0.36,-0.93,37.0,43.7,-6.7,-0.19,-0.53
155,Roger Assalé,ci CIV,"FW,MF",Leganés,es La Liga,25,14,531,38,15.5,5.9,2,80,0,12,31,1,1.00,6,6,0,0.00,+0.65,9.7,4.9,+4.8,+0.82,+1.06
156,Youcef Atal,dz ALG,"FW,DF",Nice,fr Ligue 1,23,13,1003,77,39.8,11.1,12,81,8,1,28,0,1.31,15,16,-1,-0.09,-0.33,11.8,18.1,-6.3,-0.56,-0.45
157,Miguel Atienza,es ESP,MF,Eibar,es La Liga,20,3,30,10,0.9,0.3,0,,0,3,10,6,1.00,0,0,0,0.00,+0.45,1.1,0.2,+0.9,+2.58,+2.89
158,Christian Atsu,gh GHA,"MF,FW",Newcastle Utd,eng Premier League,27,19,749,39,21.9,8.3,6,82,3,13,20,9,1.11,4,15,-11,-1.32,-1.02,4.6,15.4,-10.8,-1.29,-0.64
159,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,eng Premier League,30,36,3136,87,91.7,34.8,35,89,31,1,33,0,1.50,51,44,+7,+0.20,-0.12,43.4,49.9,-6.5,-0.19,+0.38
160,Emil Audero,it ITA,GK,Sampdoria,it Serie A,22,36,3240,90,94.7,36.0,36,90,36,0,,2,1.14,46,60,-14,-0.39,+1.11,46.0,50.6,-4.5,-0.13,-0.03
161,Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,24,17,1135,67,33.2,12.6,12,88,10,5,16,21,1.18,22,19,+3,+0.24,+1.03,20.7,19.4,+1.3,+0.11,+0.34
162,Jean-Kévin Augustin,fr FRA,FW,Monaco,fr Ligue 1,22,10,266,27,10.6,3.0,2,70,0,8,16,6,1.60,5,5,0,0.00,0.00,6.0,3.3,+2.6,+0.89,+0.75
163,Ludwig Augustinsson,se SWE,"DF,MF",Werder Bremen,de Bundesliga,25,12,924,77,30.2,10.3,10,86,8,2,31,3,0.58,12,26,-14,-1.36,-0.82,11.9,20.9,-9.0,-0.88,-0.58
164,Giuseppe Aurelio,it ITA,DF,Sassuolo,it Serie A,19,0,,,,,0,,0,0,,1,,,,,,,,,,,
165,Serge Aurier,ci CIV,DF,Tottenham,eng Premier League,26,33,2700,82,78.9,30.0,31,86,23,2,13,2,1.64,51,32,+19,+0.63,+1.26,38.6,39.4,-0.8,-0.03,+0.66
166,Brandon Austin,eng ENG,GK,Tottenham,eng Premier League,20,0,,,,,0,,0,0,,4,,,,,,,,,,,
167,Mathias Autret,fr FRA,"MF,FW",Brest,fr Ligue 1,28,23,1222,53,48.5,13.6,14,74,1,9,21,1,1.09,14,10,+4,+0.29,+0.78,14.1,19.0,-4.9,-0.36,+0.33
168,Ezequiel Ávila,ar ARG,FW,Osasuna,es La Liga,25,20,1591,80,46.5,17.7,18,87,14,2,14,0,1.35,24,22,+2,+0.11,+0.61,28.3,21.7,+6.6,+0.37,+0.69
169,Javier Avilés,es ESP,"MF,FW",Leganés,es La Liga,21,9,184,20,5.4,2.0,1,54,0,8,16,5,1.22,5,3,+2,+0.98,+1.62,2.8,3.2,-0.4,-0.20,-0.13
170,Lorenzo Avogadri,it ITA,GK,Sampdoria,it Serie A,17,0,,,,,0,,0,0,,3,,,,,,,,,,,
171,Chidozie Awaziem,ng NGA,DF,Leganés,es La Liga,22,26,1997,77,58.4,22.2,21,87,19,5,32,8,1.15,17,31,-14,-0.63,-0.19,24.1,27.6,-3.4,-0.15,-0.19
172,Taiwo Awoniyi,ng NGA,"FW,MF",Mainz 05,de Bundesliga,21,12,483,40,15.8,5.4,5,62,2,7,25,8,0.67,7,9,-2,-0.37,+0.29,9.6,8.4,+1.3,+0.23,+0.68
173,Florian Ayé,fr FRA,"FW,MF",Brescia,it Serie A,22,22,1380,63,40.4,15.3,15,80,8,7,25,15,0.59,12,27,-15,-0.98,+0.30,14.8,31.7,-17.0,-1.11,-0.48
174,Jordan Ayew,gh GHA,FW,Crystal Palace,eng Premier League,27,37,3148,85,92.0,35.0,37,85,23,0,,1,1.16,28,45,-17,-0.49,+0.18,32.5,51.1,-18.5,-0.53,+0.34
175,Kaan Ayhan,tr TUR,DF,Düsseldorf,de Bundesliga,24,31,2731,88,89.2,30.3,31,88,29,0,,0,0.94,34,54,-20,-0.66,+2.35,34.0,51.2,-17.2,-0.57,+1.52
Rk,Player,Nation,Pos,Squad,Comp,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
176,Ramon Azeez,ng NGA,MF,Granada,es La Liga,26,25,1361,54,39.8,15.1,14,76,7,11,27,12,1.64,19,14,+5,+0.33,+0.24,15.1,17.1,-1.9,-0.13,-0.31
177,Ayman Azhil,ma MAR,MF,Leverkusen,de Bundesliga,18,0,,,,,0,,0,0,,4,,,,,,,,,,,
178,César Azpilicueta,es ESP,DF,Chelsea,eng Premier League,29,36,3229,90,94.4,35.9,36,90,35,0,,2,1.75,67,53,+14,+0.39,-0.08,63.1,37.3,+25.8,+0.72,-1.55
179,Ismail Azzaoui,be BEL,"FW,MF",Wolfsburg,de Bundesliga,21,0,,,,,0,,0,0,,5,,,,,,,,,,,
180,Florian Baak,de GER,DF,Hertha BSC,de Bundesliga,20,0,,,,,0,,0,0,,1,,,,,,,,,,,
181,Ludovic Baal,gf GUF,DF,Brest,fr Ligue 1,33,11,827,75,32.8,9.2,9,90,9,2,8,13,1.45,14,10,+4,+0.44,+0.81,12.5,13.3,-0.8,-0.09,+0.65
182,Iddrisu Baba,gh GHA,MF,Mallorca,es La Liga,23,36,2903,81,84.9,32.3,35,82,21,1,34,1,0.92,37,55,-18,-0.56,+0.66,34.1,52.6,-18.5,-0.57,+0.09
183,Khouma Babacar,sn SEN,FW,Lecce,it Serie A,26,25,1422,57,41.6,15.8,17,69,4,8,32,2,0.76,16,33,-17,-1.08,-0.36,21.5,35.7,-14.2,-0.90,-0.15
184,Carlos Bacca,co COL,FW,Villarreal,es La Liga,32,19,688,36,20.1,7.6,7,72,1,12,16,15,1.47,10,7,+3,+0.39,+0.03,11.0,7.9,+3.1,+0.41,-0.06
185,Milan Badelj,hr CRO,MF,Fiorentina,it Serie A,30,22,1585,72,46.3,17.6,20,79,10,2,5,15,1.05,19,26,-7,-0.40,-0.89,21.3,23.4,-2.1,-0.12,-0.45
186,Matthias Bader,de GER,DF,Köln,de Bundesliga,22,1,12,12,0.4,0.1,0,,0,1,12,5,0.00,0,0,0,0.00,+0.53,0.6,0.1,+0.5,+3.47,+3.61
187,Benoît Badiashile,fr FRA,DF,Monaco,fr Ligue 1,18,16,1411,88,56.0,15.7,16,88,14,0,,12,1.44,23,23,0,0.00,0.00,26.7,25.0,+1.7,+0.11,-0.25
188,Bastian Badu,fr FRA,FW,Montpellier,fr Ligue 1,19,1,9,9,0.4,0.1,0,,0,1,8,1,1.00,0,0,0,0.00,-0.04,0.1,0.1,0.0,-0.13,-0.15
189,Baena,es ESP,FW,Betis,es La Liga,18,0,,,,,0,,0,0,,1,,,,,,,,,,,
190,Alex Baena,es ESP,MF,Villarreal,es La Liga,18,1,15,15,0.4,0.2,0,,0,1,15,8,0.00,1,0,+1,+6.00,+5.66,0.1,0.0,+0.1,+0.53,+0.07
191,Mohamed Bahlouli,fr FRA,MF,Sampdoria,it Serie A,19,0,,,,,0,,0,0,,1,,,,,,,,,,,
192,Stéphane Bahoken,cm CMR,FW,Angers,fr Ligue 1,27,20,907,45,36.0,10.1,10,67,1,10,24,1,1.55,14,9,+5,+0.50,+1.05,12.4,9.0,+3.4,+0.33,+0.47
193,Daniel Baier,de GER,MF,Augsburg,de Bundesliga,35,23,1941,84,63.4,21.6,22,87,16,1,29,4,1.00,30,42,-12,-0.56,-0.07,28.8,35.4,-6.6,-0.31,+0.25
194,Leon Bailey,jm JAM,"FW,MF",Leverkusen,de Bundesliga,21,22,1090,50,35.6,12.1,12,67,1,10,28,1,1.86,23,17,+6,+0.50,-0.01,22.0,16.5,+5.6,+0.46,+0.35
195,Eric Bailly,ci CIV,DF,Manchester Utd,eng Premier League,25,4,150,38,4.4,1.7,1,90,1,3,20,10,2.50,5,1,+4,+2.40,+1.68,2.0,2.2,-0.2,-0.14,-0.82
196,Dénys Bain,fr FRA,DF,Brest,fr Ligue 1,26,15,1268,85,50.3,14.1,13,88,12,2,59,3,1.27,16,15,+1,+0.07,+0.36,12.5,26.0,-13.5,-0.96,-0.86
197,Leighton Baines,eng ENG,DF,Everton,eng Premier League,34,8,404,51,11.8,4.5,4,76,2,4,25,19,1.38,7,8,-1,-0.22,+0.11,8.5,6.3,+2.2,+0.49,+0.48
198,Stefan Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,17,1,90,90,3.6,1.0,1,90,1,0,,5,0.00,0,1,-1,-1.00,-0.44,1.3,0.8,+0.5,+0.50,+0.79
199,Tiemoué Bakayoko,fr FRA,MF,Monaco,fr Ligue 1,24,20,1719,86,68.2,19.1,20,86,17,0,,0,1.45,36,30,+6,+0.31,+0.99,36.5,29.2,+7.3,+0.38,+0.51
200,Lewis Baker,eng ENG,MF,Düsseldorf,de Bundesliga,24,8,545,68,17.8,6.1,7,76,3,1,15,8,0.50,7,13,-6,-0.99,-0.10,5.8,12.9,-7.1,-1.18,-0.55
Rk,Player,Nation,Pos,Squad,Comp,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
201,Alaa Bakir,jo JOR,"FW,MF",Dortmund,de Bundesliga,18,0,,,,,0,,0,0,,1,,,,,,,,,,,
202,Mitchel Bakker,nl NED,DF,Paris S-G,fr Ligue 1,19,1,90,90,3.7,1.0,1,90,1,0,,2,1.00,4,4,0,0.00,-1.96,3.2,1.3,+1.9,+1.87,-0.02
203,Ridle Baku,de GER,"DF,MF",Mainz 05,de Bundesliga,21,30,2351,78,76.8,26.1,26,86,23,4,31,1,1.03,32,54,-22,-0.84,-0.97,36.5,46.0,-9.5,-0.36,-0.12
204,Fabián Balbuena,py PAR,DF,West Ham,eng Premier League,27,17,1177,69,34.4,13.1,13,90,13,4,2,21,1.18,12,24,-12,-0.92,-0.88,14.9,23.5,-8.6,-0.66,-0.39
205,Keita Baldé,sn SEN,"FW,MF",Monaco,fr Ligue 1,24,21,858,41,34.0,9.5,9,75,2,12,15,4,1.52,17,14,+3,+0.31,+0.48,17.2,15.0,+2.2,+0.23,+0.02
206,George Baldock,gr GRE,DF,Sheffield Utd,eng Premier League,26,38,3420,90,100.0,38.0,38,90,38,0,,0,1.42,39,39,0,0.00,,43.0,51.0,-7.9,-0.21,
207,Gareth Bale,wls WAL,"FW,MF",Real Madrid,es La Liga,30,16,1089,68,31.8,12.1,12,82,5,4,26,10,2.13,21,9,+12,+0.99,-0.28,18.2,13.5,+4.7,+0.39,-0.77
208,Mikel Balenziaga,es ESP,DF,Athletic Club,es La Liga,31,9,563,63,16.5,6.3,6,83,5,3,23,11,1.11,5,9,-4,-0.64,-0.86,5.7,8.7,-2.9,-0.47,-0.33
209,Leonardo Balerdi,ar ARG,"DF,MF",Dortmund,de Bundesliga,20,7,133,19,4.3,1.5,1,64,0,6,12,17,2.57,3,4,-1,-0.68,-2.03,3.0,4.4,-1.4,-0.94,-1.60
210,Marco Ballarini,it ITA,MF,Udinese,it Serie A,18,1,1,1,0.0,0.0,0,,0,1,1,11,3.00,0,0,0,0.00,+0.37,0.0,0.0,0.0,0.00,+0.31
211,Fodé Ballo-Touré,sn SEN,DF,Monaco,fr Ligue 1,22,21,1679,80,66.6,18.7,18,90,18,3,19,4,1.24,29,38,-9,-0.48,-1.45,34.5,31.1,+3.5,+0.19,-0.10
212,Florent Balmont,fr FRA,MF,Dijon,fr Ligue 1,39,11,401,36,15.9,4.5,4,74,2,7,15,13,1.45,2,4,-2,-0.45,-0.11,4.6,4.5,+0.1,+0.02,+0.37
213,Botond Balogh,hu HUN,DF,Parma,it Serie A,17,0,,,,,0,,0,0,,4,,,,,,,,,,,
214,Leon Balogun,ng NGA,DF,Brighton,eng Premier League,31,0,,,,,0,,0,0,,4,,,,,,,,,,,
215,Mario Balotelli,it ITA,FW,Brescia,it Serie A,28,19,1404,74,41.1,15.6,16,83,10,3,27,0,0.53,14,31,-17,-1.09,+0.12,18.2,26.6,-8.4,-0.54,+0.48
216,Tudor Băluță,ro ROU,"DF,MF",Brighton,eng Premier League,20,0,,,,,0,,0,0,,3,,,,,,,,,,,
217,Abdoulaye Bamba,ci CIV,DF,Angers,fr Ligue 1,29,7,554,79,22.0,6.2,6,90,6,1,13,7,2.14,9,3,+6,+0.97,+1.48,6.0,5.5,+0.5,+0.08,+0.06
218,Jonathan Bamba,fr FRA,"FW,MF",Lille,fr Ligue 1,23,26,1937,75,76.9,21.5,22,85,13,4,17,1,1.77,27,20,+7,+0.33,+0.17,30.3,24.1,+6.2,+0.29,-0.12
219,Éver Banega,ar ARG,MF,Sevilla,es La Liga,31,33,2475,75,72.4,27.5,28,83,16,5,30,2,1.67,34,29,+5,+0.18,-1.25,37.1,28.2,+8.9,+0.32,-0.46
220,Mattia Bani,it ITA,DF,Bologna,it Serie A,25,27,2207,82,64.5,24.5,26,84,21,1,26,2,1.26,36,40,-4,-0.16,+0.50,36.8,32.7,+4.0,+0.16,+0.31
221,Beni Baningime,cd COD,MF,Everton,eng Premier League,20,0,,,,,0,,0,0,,10,,,,,,,,,,,
