Rk,Player,Nation,Pos,Squad,Comp,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
713,Marco D'Alessandro,it ITA,"MF,DF",SPAL,it Serie A,28,15,781,52,22.8,8.7,10,63,1,5,30,1,0.33,9,15,-6,-0.69,+0.81,7.0,15.7,-8.7,-1.00,-0.35
714,Danilo D'Ambrosio,it ITA,DF,Inter,it Serie A,30,22,1402,64,41.0,15.6,15,86,11,7,16,8,2.36,37,9,+28,+1.80,+1.04,29.3,14.5,+14.8,+0.95,+0.32
715,Felice D'Amico,it ITA,MF,Sampdoria,it Serie A,18,2,3,2,0.1,0.0,0,,0,2,2,5,1.50,0,0,0,0.00,+0.45,0.8,0.0,+0.8,+23.38,+23.53
716,Lucas Da Cunha,fr FRA,MF,Rennes,fr Ligue 1,18,2,72,36,2.9,0.8,1,65,0,1,7,2,0.50,0,0,0,0.00,-0.51,1.0,0.4,+0.6,+0.70,+0.47
717,Jacopo Da Riva,it ITA,MF,Atalanta,it Serie A,18,1,1,1,0.0,0.0,0,,0,1,1,11,0.00,0,0,0,0.00,-1.32,0.0,0.0,0.0,+4.19,+3.08
718,Bernardo Costa Da Rosa,br BRA,DF,West Ham,eng Premier League,18,0,,,,,0,,0,0,,1,,,,,,,,,,,
719,Damien Da Silva,fr FRA,DF,Rennes,fr Ligue 1,31,25,2244,90,89.0,24.9,25,90,24,0,,1,1.92,36,21,+15,+0.60,+0.93,32.7,25.3,+7.4,+0.30,+0.44
720,Moanes Dabbur,il ISR,FW,Sevilla,es La Liga,27,2,26,13,0.8,0.3,0,,0,2,13,2,0.50,0,0,0,0.00,-0.53,0.7,0.2,+0.5,+1.87,+1.43
721,Moanes Dabbur,il ISR,FW,Hoffenheim,de Bundesliga,27,14,766,55,25.0,8.5,11,61,1,3,30,0,1.71,17,8,+9,+1.06,+1.41,17.6,12.5,+5.2,+0.61,+0.94
722,Bryan Dabo,bf BFA,MF,SPAL,it Serie A,27,16,1122,70,32.8,12.5,13,79,8,3,32,1,0.31,11,37,-26,-2.09,-1.15,11.6,24.5,-12.9,-1.04,-0.45
723,Colin Dagba,fr FRA,DF,Paris S-G,fr Ligue 1,20,10,668,67,27.5,7.4,7,86,6,3,22,5,2.40,17,4,+13,+1.75,-0.19,19.6,5.5,+14.1,+1.92,+0.04
724,Finn Dahmen,de GER,GK,Mainz 05,de Bundesliga,21,0,,,,,0,,0,0,,12,,,,,,,,,,,
725,Mahmoud Dahoud,de GER,MF,Dortmund,de Bundesliga,23,12,558,47,18.2,6.2,6,73,1,6,20,15,2.17,13,8,+5,+0.81,-0.56,6.7,6.4,+0.3,+0.05,-0.66
Rk,Player,Nation,Pos,Squad,Comp,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
726,Leon Dajaku,de GER,"DF,MF",Bayern Munich,de Bundesliga,18,2,12,6,0.4,0.1,0,,0,2,6,4,3.00,1,0,+1,+7.50,+5.52,0.5,0.7,-0.2,-1.56,-3.09
727,Felipe dal Belo,br BRA,DF,SPAL,it Serie A,35,15,997,66,29.2,11.1,11,82,7,4,24,20,0.53,10,28,-18,-1.62,-0.44,13.4,22.5,-9.1,-0.82,-0.12
728,Christian Dalle Mura,it ITA,FW,Fiorentina,it Serie A,17,1,1,1,0.0,0.0,0,,0,1,1,8,3.00,0,0,0,0.00,-0.08,0.0,0.0,0.0,0.00,-0.12
729,Diogo Dalot,pt POR,"DF,MF",Manchester Utd,eng Premier League,20,4,67,17,2.0,0.7,1,59,0,3,3,4,1.00,0,1,-1,-1.34,-2.18,1.2,1.1,+0.1,+0.17,-0.49
730,James Daly,eng ENG,FW,Crystal Palace,eng Premier League,19,0,,,,,0,,0,0,,3,,,,,,,,,,,
731,Elias Damergy,tn TUN,GK,Rennes,fr Ligue 1,16,0,,,,,0,,0,0,,1,,,,,,,,,,,
732,Antonio Daniele,it ITA,GK,Napoli,it Serie A,17,0,,,,,0,,0,0,,3,,,,,,,,,,,
733,Charlie Daniels,eng ENG,DF,Bournemouth,eng Premier League,32,2,126,63,3.7,1.4,2,63,1,0,,1,1.50,2,2,0,0.00,+0.68,1.8,2.8,-1.1,-0.76,-0.31
734,Danilo,br BRA,DF,Juventus,it Serie A,28,22,1440,65,42.1,16.0,16,75,10,6,41,9,2.09,33,27,+6,+0.37,-0.85,24.8,22.5,+2.3,+0.15,-0.94
735,Arnaut Danjuma,nl NED,MF,Bournemouth,eng Premier League,22,14,630,45,18.4,7.0,6,68,2,8,28,5,0.43,4,12,-8,-1.14,-0.59,5.7,11.5,-5.8,-0.83,-0.46
736,Scott Dann,eng ENG,DF,Crystal Palace,eng Premier League,32,16,1266,79,37.0,14.1,14,88,13,2,19,15,1.13,10,14,-4,-0.28,+0.34,14.8,19.8,-5.0,-0.35,+0.32
737,Kevin Danso,at AUT,DF,Southampton,eng Premier League,20,6,277,46,8.1,3.1,3,69,1,3,23,16,0.83,3,8,-5,-1.62,-1.51,3.8,6.5,-2.7,-0.89,-1.06
738,Dante,br BRA,DF,Nice,fr Ligue 1,35,21,1890,90,75.0,21.0,21,90,21,0,,0,1.48,31,26,+5,+0.24,+0.52,27.5,31.5,-4.0,-0.19,+0.41
739,Andrea Danzi,it ITA,MF,Hellas Verona,it Serie A,20,1,1,1,0.0,0.0,0,,0,1,1,16,3.00,0,0,0,0.00,+0.11,0.0,0.1,-0.1,-7.77,-7.69
740,Ebrima Darboe,gm GAM,MF,Roma,it Serie A,18,0,,,,,0,,0,0,,1,,,,,,,,,,,
741,Márton Dárdai,de GER,DF,Hertha BSC,de Bundesliga,17,0,,,,,0,,0,0,,6,,,,,,,,,,,
742,Palkó Dárdai,hu HUN,MF,Hertha BSC,de Bundesliga,20,0,,,,,0,,0,0,,1,,,,,,,,,,,
743,Sergi Darder,es ESP,MF,Espanyol,es La Liga,25,36,2658,74,77.7,29.5,29,86,21,7,24,1,0.67,22,48,-26,-0.88,-0.29,31.4,40.3,-8.9,-0.30,+0.11
744,Vladimír Darida,cz CZE,MF,Hertha BSC,de Bundesliga,28,28,2256,81,73.7,25.1,25,85,17,3,45,2,1.21,37,43,-6,-0.24,+0.32,31.1,38.2,-7.0,-0.28,+0.21
745,Karl Darlow,eng ENG,GK,Newcastle Utd,eng Premier League,28,0,,,,,0,,0,0,,37,,,,,,,,,,,
746,Matteo Darmian,it ITA,DF,Parma,it Serie A,29,33,2685,81,78.5,29.8,30,88,27,3,14,0,1.30,42,45,-3,-0.10,-0.35,37.1,50.9,-13.8,-0.46,-0.21
747,Alphonso Davies,ca CAN,DF,Bayern Munich,de Bundesliga,18,29,2234,77,73.0,24.8,24,88,20,5,26,4,2.48,77,21,+56,+2.26,+0.95,68.8,26.0,+42.8,+1.73,+0.77
748,Ben Davies,wls WAL,DF,Tottenham,eng Premier League,26,18,1431,80,41.8,15.9,16,88,13,2,9,6,1.61,24,19,+5,+0.31,-0.09,19.2,21.2,-2.0,-0.12,+0.07
749,Tom Davies,eng ENG,MF,Everton,eng Premier League,21,30,2027,68,59.3,22.5,23,83,16,7,16,6,1.33,21,34,-13,-0.58,-0.64,25.8,31.5,-5.7,-0.25,-0.79
750,Keinan Davis,eng ENG,FW,Aston Villa,eng Premier League,21,18,548,30,16.0,6.1,4,70,0,14,19,3,0.83,6,7,-1,-0.16,+0.62,8.4,6.3,+2.1,+0.35,+1.15
Rk,Player,Nation,Pos,Squad,Comp,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
751,Paweł Dawidowicz,pl POL,DF,Hellas Verona,it Serie A,24,15,693,46,20.3,7.7,7,72,4,8,24,9,1.60,11,7,+4,+0.52,+0.78,13.3,9.2,+4.2,+0.54,+0.79
752,Craig Dawson,eng ENG,DF,Watford,eng Premier League,29,29,2361,81,69.0,26.2,26,88,25,3,22,5,0.90,25,49,-24,-0.91,-0.57,36.3,40.9,-4.6,-0.18,+0.22
753,Kevin De Bruyne,be BEL,MF,Manchester City,eng Premier League,28,35,2791,80,81.6,31.0,32,84,20,3,32,1,2.23,87,22,+65,+2.10,+1.81,79.2,26.1,+53.1,+1.71,+1.34
754,Sebastien De Maio,fr FRA,DF,Udinese,it Serie A,32,21,1500,71,43.9,16.7,17,87,13,4,7,15,1.43,15,17,-2,-0.12,+0.44,19.1,20.0,-0.9,-0.05,+0.46
755,Rodrigo De Paul,ar ARG,MF,Udinese,it Serie A,25,34,2822,83,82.5,31.4,33,85,26,1,20,0,1.21,32,43,-11,-0.35,+0.10,35.3,44.9,-9.6,-0.31,+0.03
756,Mattia De Sciglio,it ITA,DF,Juventus,it Serie A,26,9,471,52,13.8,5.2,6,73,4,3,11,10,2.67,10,3,+7,+1.34,+0.54,7.4,6.4,+1.0,+0.19,-0.57
757,Lorenzo De Silvestri,it ITA,DF,Torino,it Serie A,31,29,2243,77,65.6,24.9,28,80,19,1,13,5,1.24,28,47,-19,-0.76,-0.53,26.9,39.0,-12.1,-0.49,-0.19
758,Lucas Deaux,fr FRA,MF,Nîmes,fr Ligue 1,30,17,1335,79,53.0,14.8,15,86,10,2,25,0,1.12,16,18,-2,-0.13,+0.85,18.5,17.1,+1.4,+0.09,+1.01
759,Mathieu Debuchy,fr FRA,DF,Saint-Étienne,fr Ligue 1,34,21,1769,84,70.2,19.7,20,88,18,1,6,4,1.10,22,34,-12,-0.61,-0.13,24.2,28.1,-4.0,-0.20,+0.21
760,Troy Deeney,eng ENG,FW,Watford,eng Premier League,31,27,2225,82,65.1,24.7,26,84,16,1,35,2,0.96,27,39,-12,-0.49,+0.72,32.7,34.3,-1.6,-0.06,+0.52
761,Grégoire Defrel,mq MTQ,"FW,MF",Sassuolo,it Serie A,28,17,980,58,28.7,10.9,9,82,4,8,30,4,1.59,24,20,+4,+0.37,+0.29,18.2,17.7,+0.5,+0.05,+0.41
762,Alessandro Deiola,it ITA,MF,Cagliari,it Serie A,23,1,1,1,0.0,0.0,0,,0,1,1,15,0.00,0,1,-1,-90.00,-89.92,0.0,0.5,-0.5,-40.84,-40.40
763,Alessandro Deiola,it ITA,MF,Lecce,it Serie A,23,10,717,72,21.0,8.0,8,85,5,2,18,0,1.40,10,20,-10,-1.26,-0.49,9.4,20.4,-11.0,-1.38,-0.73
764,Romain Del Castillo,fr FRA,"FW,MF",Rennes,fr Ligue 1,23,21,1242,59,49.3,13.8,14,78,6,7,21,6,1.95,24,9,+15,+1.09,+1.16,20.7,12.8,+7.8,+0.57,+0.63
765,Isaias Del Pupo,ar ARG,MF,Cagliari,it Serie A,16,0,,,,,0,,0,0,,3,,,,,,,,,,,
766,Thomas Delaine,fr FRA,DF,Metz,fr Ligue 1,27,16,1254,78,49.8,13.9,14,88,12,2,13,7,1.00,11,22,-11,-0.79,-1.00,14.0,18.7,-4.7,-0.34,+0.11
767,Thomas Delaney,dk DEN,MF,Dortmund,de Bundesliga,27,11,830,75,27.1,9.2,11,75,5,0,,5,1.91,19,6,+13,+1.41,+0.20,16.2,8.5,+7.7,+0.84,+0.34
768,Tom Dele-Bashiru,ng NGA,MF,Watford,eng Premier League,19,0,,,,,0,,0,0,,4,,,,,,,,,,,
769,Paul Delecroix,gw GNB,GK,Metz,fr Ligue 1,30,2,136,68,5.4,1.5,1,91,1,1,45,24,0.00,1,4,-3,-1.99,-1.80,2.1,2.0,+0.1,+0.10,+0.52
770,Cristian Dell'Orco,it ITA,DF,Lecce,it Serie A,25,14,1007,72,29.4,11.2,11,85,8,3,24,15,0.64,12,22,-10,-0.89,-0.04,15.8,21.1,-5.3,-0.47,+0.48
771,Andy Delort,dz ALG,FW,Montpellier,fr Ligue 1,27,26,2280,88,90.5,25.3,26,88,20,0,,0,1.54,35,31,+4,+0.16,+1.28,33.1,30.9,+2.3,+0.09,+0.74
772,Fabian Delph,eng ENG,MF,Everton,eng Premier League,29,16,1190,74,34.8,13.2,13,86,10,3,23,1,1.19,17,24,-7,-0.53,-0.33,20.6,16.5,+4.1,+0.31,+0.37
773,Moussa Dembélé,fr FRA,FW,Lyon,fr Ligue 1,23,27,2188,81,86.8,24.3,24,88,20,3,26,1,1.44,38,23,+15,+0.62,+0.62,34.7,23.6,+11.1,+0.46,+0.60
774,Ousmane Dembélé,fr FRA,FW,Barcelona,es La Liga,22,5,357,71,10.4,4.0,3,89,2,2,45,0,2.40,8,2,+6,+1.51,+0.28,5.4,3.8,+1.6,+0.41,-0.36
775,Merih Demiral,tr TUR,DF,Juventus,it Serie A,21,6,418,70,12.2,4.6,5,76,4,1,40,19,2.50,13,4,+9,+1.94,+1.22,8.9,5.7,+3.2,+0.70,+0.01
Rk,Player,Nation,Pos,Squad,Comp,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
776,Kerem Demirbay,de GER,MF,Leverkusen,de Bundesliga,26,25,1573,63,51.4,17.5,18,80,8,7,19,7,1.80,29,22,+7,+0.40,-0.20,35.1,28.3,+6.8,+0.39,+0.33
777,Diego Demme,de GER,MF,Napoli,it Serie A,27,15,902,60,26.4,10.0,10,78,3,5,25,3,1.73,13,14,-1,-0.10,-0.53,14.5,11.6,+2.9,+0.29,-0.22
778,Diego Demme,de GER,MF,RB Leipzig,de Bundesliga,27,17,1211,71,39.6,13.5,14,81,10,3,28,0,2.18,37,18,+19,+1.41,+0.20,32.8,17.8,+15.0,+1.11,+0.26
779,Jason Denayer,be BEL,DF,Lyon,fr Ligue 1,24,25,2131,85,84.6,23.7,24,89,22,1,0,1,1.52,37,22,+15,+0.63,+0.63,30.8,23.0,+7.8,+0.33,-0.30
780,Leander Dendoncker,be BEL,"MF,DF",Wolves,eng Premier League,24,38,2795,74,81.7,31.1,32,85,27,6,14,0,1.55,41,34,+7,+0.23,-0.35,43.9,29.6,+14.3,+0.46,+0.21
781,Kevin Denkey,tg TOG,FW,Nîmes,fr Ligue 1,18,17,603,35,23.9,6.7,6,82,2,11,10,6,0.82,8,9,-1,-0.15,+0.51,7.3,10.7,-3.4,-0.50,-0.17
782,Stefano Denswil,nl NED,DF,Bologna,it Serie A,26,26,2240,86,65.5,24.9,25,89,23,1,7,7,1.27,33,45,-12,-0.48,-0.41,38.4,35.9,+2.5,+0.10,+0.13
783,Fabio Depaoli,it ITA,"MF,DF",Sampdoria,it Serie A,22,29,1854,64,54.2,20.6,21,80,15,8,23,1,1.21,22,28,-6,-0.29,+0.34,23.4,28.3,-5.0,-0.24,-0.26
784,Kastriot Dermaku,al ALB,DF,Parma,it Serie A,27,16,1026,64,30.0,11.4,10,87,8,6,26,22,1.69,20,15,+5,+0.44,+0.66,17.1,16.6,+0.5,+0.04,+0.65
785,Daniele Dessena,it ITA,MF,Brescia,it Serie A,32,24,1869,78,54.6,20.8,22,81,13,2,45,0,0.63,22,40,-18,-0.87,+0.64,23.4,39.3,-16.0,-0.77,+0.11
786,Mattia Destro,it ITA,FW,Bologna,it Serie A,28,5,185,37,5.4,2.1,2,71,0,3,14,6,1.40,1,1,0,0.00,+0.36,3.9,1.7,+2.3,+1.10,+1.10
787,Mattia Destro,it ITA,"FW,MF",Genoa,it Serie A,28,8,150,19,4.4,1.7,1,58,0,7,13,13,0.75,3,7,-4,-2.40,-1.79,3.9,3.6,+0.3,+0.18,+0.50
788,Gerard Deulofeu,es ESP,FW,Watford,eng Premier League,25,28,2098,75,61.3,23.3,25,79,11,3,43,0,0.96,22,33,-11,-0.47,+0.69,27.7,35.5,-7.8,-0.34,-0.24
789,Deyverson,br BRA,FW,Getafe,es La Liga,28,5,204,41,6.0,2.3,3,52,0,2,24,5,1.80,4,1,+3,+1.32,+1.24,3.4,2.6,+0.8,+0.35,+0.36
790,Samuel Di Carmine,it ITA,"FW,MF",Hellas Verona,it Serie A,30,22,1293,59,37.8,14.4,17,69,3,5,24,9,0.95,17,22,-5,-0.35,-0.39,20.3,18.6,+1.7,+0.12,+0.32
791,Federico Di Francesco,it ITA,FW,SPAL,it Serie A,25,20,1082,54,31.6,12.0,13,74,4,7,17,5,0.55,11,27,-16,-1.33,-0.02,15.3,23.6,-8.3,-0.69,+0.06
792,Giovanni Di Lorenzo,it ITA,DF,Napoli,it Serie A,25,33,2970,90,86.8,33.0,33,90,33,0,,4,1.52,50,44,+6,+0.18,-0.82,52.9,40.8,+12.1,+0.37,-0.61
793,Ángel Di María,ar ARG,"FW,MF",Paris S-G,fr Ligue 1,31,26,2000,77,82.3,22.2,23,83,15,3,27,1,2.50,63,20,+43,+1.94,+0.26,62.5,20.2,+42.4,+1.91,+0.07
794,Boulaye Dia,sn SEN,FW,Reims,fr Ligue 1,22,24,1812,76,71.9,20.1,21,82,12,3,28,0,1.50,20,17,+3,+0.15,-0.11,21.8,18.5,+3.4,+0.17,+0.32
795,Amadou Dia Ndiaye,sn SEN,FW,Metz,fr Ligue 1,19,0,,,,,0,,0,0,,3,,,,,,,,,,,
796,Fousseni Diabaté,ml MLI,"FW,MF",Amiens,fr Ligue 1,23,20,1190,60,47.2,13.2,15,74,1,5,17,2,0.80,14,26,-12,-0.91,-0.43,10.1,19.7,-9.6,-0.73,-0.58
797,Moussa Diaby,fr FRA,"FW,MF",Leverkusen,de Bundesliga,20,28,1771,63,57.9,19.7,18,84,12,10,26,6,1.86,33,29,+4,+0.20,-0.70,32.5,33.4,-0.9,-0.05,-0.66
798,Mouctar Diakhaby,gn GUI,DF,Valencia,es La Liga,22,21,1444,69,42.2,16.0,15,89,14,6,18,10,1.67,20,23,-3,-0.19,0.00,20.0,24.6,-4.6,-0.29,+0.08
799,Bafodé Diakité,fr FRA,DF,Toulouse,fr Ligue 1,18,16,1366,85,54.2,15.2,16,85,14,0,,0,0.75,9,27,-18,-1.19,+0.22,17.0,21.9,-4.9,-0.32,+0.38
800,Abdou Diallo,sn SEN,DF,Paris S-G,fr Ligue 1,23,16,1201,75,49.4,13.3,14,80,10,2,42,5,2.44,27,9,+18,+1.35,-1.07,30.3,9.1,+21.2,+1.59,-0.60
Rk,Player,Nation,Pos,Squad,Comp,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
801,Amad Diallo,ci CIV,FW,Atalanta,it Serie A,17,3,27,9,0.8,0.3,0,,0,3,9,3,2.00,1,1,0,0.00,-1.33,0.3,0.2,+0.1,+0.35,-0.76
802,Habib Diallo,sn SEN,FW,Metz,fr Ligue 1,24,26,2196,84,87.1,24.4,26,84,22,0,,0,1.08,22,29,-7,-0.29,-0.01,22.9,33.2,-10.3,-0.42,-0.23
803,Ibrahima Diallo,fr FRA,MF,Brest,fr Ligue 1,20,19,1561,82,61.9,17.3,18,86,15,1,6,1,1.16,19,26,-7,-0.40,-0.78,17.4,31.9,-14.5,-0.84,-0.81
804,Moussa Diarra,ml MLI,DF,Toulouse,fr Ligue 1,18,1,90,90,3.6,1.0,1,90,1,0,,7,0.00,0,3,-3,-3.00,-1.78,0.3,1.0,-0.7,-0.70,-0.21
805,Lucas Dias,fr FRA,GK,Nîmes,fr Ligue 1,20,4,317,79,12.6,3.5,3,90,3,1,46,24,0.75,4,6,-2,-0.57,-0.04,3.0,6.5,-3.5,-1.00,-0.71
806,Amadou Diawara,gn GUI,MF,Roma,it Serie A,22,22,1518,69,44.4,16.9,19,78,11,3,11,6,1.95,35,20,+15,+0.89,+0.37,33.3,21.1,+12.1,+0.72,+0.16
807,Brahim Díaz,es ESP,FW,Real Madrid,es La Liga,19,6,65,11,1.9,0.7,0,,0,6,11,10,2.17,0,1,-1,-1.38,-2.62,0.4,1.3,-0.9,-1.21,-2.16
808,Javier Díaz,es ESP,GK,Sevilla,es La Liga,22,0,,,,,0,,0,0,,10,,,,,,,,,,,
809,Víctor Díaz,es ESP,DF,Granada,es La Liga,31,36,2884,80,84.3,32.0,33,85,27,3,21,1,1.53,43,43,0,0.00,-1.18,37.9,37.7,+0.2,+0.01,-0.35
810,Bakaye Dibassy,ml MLI,DF,Amiens,fr Ligue 1,29,22,1868,85,74.1,20.8,22,85,20,0,,1,0.91,21,35,-14,-0.67,+0.02,20.6,26.4,-5.8,-0.28,+0.56
811,Lorenzo Dickmann,it ITA,"DF,MF",SPAL,it Serie A,22,0,,,,,0,,0,0,,2,,,,,,,,,,,
812,Eric Dier,eng ENG,"DF,MF",Tottenham,eng Premier League,25,19,1344,71,39.3,14.9,15,85,13,4,18,13,1.95,26,23,+3,+0.20,-0.28,21.7,22.1,-0.4,-0.03,+0.23
813,Guillaume Dietsch,fr FRA,GK,Metz,fr Ligue 1,18,0,,,,,0,,0,0,,3,,,,,,,,,,,
814,Lucas Digne,fr FRA,DF,Everton,eng Premier League,26,35,3030,87,88.6,33.7,35,87,30,0,,1,1.29,37,49,-12,-0.36,-0.36,42.1,42.3,-0.2,-0.01,-0.63
815,Mitchell Dijks,nl NED,DF,Bologna,it Serie A,26,13,1006,77,29.4,11.2,12,82,9,1,26,0,1.46,18,19,-1,-0.09,+0.36,18.1,15.1,+3.0,+0.27,+0.31
816,Javairô Dilrosun,nl NED,"MF,FW",Hertha BSC,de Bundesliga,21,23,1309,57,42.8,14.5,16,73,6,7,21,3,1.39,17,21,-4,-0.28,+0.08,15.4,22.2,-6.8,-0.46,-0.22
817,Federico Dimarco,it ITA,DF,Hellas Verona,it Serie A,21,13,521,40,15.2,5.8,5,72,2,8,20,5,1.23,8,11,-3,-0.52,-0.49,8.7,9.0,-0.3,-0.05,+0.04
818,Federico Dimarco,it ITA,DF,Inter,it Serie A,21,3,27,9,0.8,0.3,0,,0,3,9,18,2.33,0,0,0,0.00,-1.19,0.2,0.4,-0.2,-0.62,-1.38
819,Tristan Dingomé,cm CMR,MF,Reims,fr Ligue 1,28,15,892,59,35.4,9.9,12,70,1,3,16,2,1.67,9,6,+3,+0.30,+0.19,12.4,7.8,+4.6,+0.46,+0.60
820,Lois Diony,fr FRA,FW,Saint-Étienne,fr Ligue 1,26,12,666,56,26.4,7.4,8,70,1,4,26,4,0.67,5,8,-3,-0.41,+0.23,7.3,7.6,-0.3,-0.04,+0.31
821,Issa Diop,fr FRA,DF,West Ham,eng Premier League,22,32,2766,86,80.9,30.7,31,89,30,1,3,4,1.03,39,54,-15,-0.49,-0.76,41.1,53.0,-11.9,-0.39,+0.08
822,Papakouli Diop,sn SEN,MF,Eibar,es La Liga,33,30,2253,75,65.9,25.0,25,86,17,5,21,3,1.07,23,42,-19,-0.76,-0.91,25.5,36.9,-11.4,-0.46,-0.49
823,Yehvann Diouf,fr FRA,GK,Reims,fr Ligue 1,19,0,,,,,0,,0,0,,1,,,,,,,,,,,
824,Assane Dioussé,sn SEN,MF,Saint-Étienne,fr Ligue 1,21,4,120,30,4.8,1.3,1,93,1,3,9,5,2.00,2,2,0,0.00,+0.60,2.1,1.8,+0.3,+0.26,+0.55
825,Axel Disasi,fr FRA,DF,Reims,fr Ligue 1,21,27,2430,90,96.4,27.0,27,90,27,0,,0,1.41,25,21,+4,+0.15,-0.85,29.0,27.1,+1.8,+0.07,-0.24
Rk,Player,Nation,Pos,Squad,Comp,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
826,Tiago Djaló,pt POR,DF,Lille,fr Ligue 1,19,8,661,83,26.2,7.3,8,83,5,0,,13,1.13,9,7,+2,+0.27,-0.02,8.3,8.2,+0.1,+0.01,-0.41
827,Djené,tg TOG,DF,Getafe,es La Liga,27,34,3060,90,89.5,34.0,34,90,34,0,,0,1.38,37,34,+3,+0.09,-0.66,35.5,37.7,-2.1,-0.06,-0.64
828,Moussa Djenepo,ml MLI,"MF,DF",Southampton,eng Premier League,21,18,928,52,27.1,10.3,10,74,4,8,23,3,1.28,15,13,+2,+0.19,+0.59,17.9,12.2,+5.6,+0.55,+0.63
829,Koffi Djidji,ci CIV,DF,Torino,it Serie A,26,17,851,50,24.9,9.5,9,81,5,8,15,18,1.18,10,22,-12,-1.27,-0.92,9.9,20.2,-10.2,-1.08,-0.88
830,Alexander Djiku,gh GHA,"DF,MF",Strasbourg,fr Ligue 1,24,25,2064,83,84.9,22.9,23,88,22,2,19,1,1.52,29,24,+5,+0.22,+1.45,30.5,27.2,+3.3,+0.14,+0.46
831,Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,26,34,2783,82,81.4,30.9,32,84,24,2,45,3,2.00,77,38,+39,+1.26,-0.29,66.1,31.6,+34.5,+1.12,+0.03
832,Naïs Djouahra,fr FRA,FW,Real Sociedad,es La Liga,19,2,29,15,0.8,0.3,0,,0,2,15,8,0.00,1,1,0,0.00,-0.21,0.6,0.2,+0.4,+1.23,+1.09
833,Marko Dmitrović,rs SRB,GK,Eibar,es La Liga,27,35,3150,90,92.1,35.0,35,90,35,0,,3,1.03,33,51,-18,-0.51,-0.85,36.0,47.0,-11.0,-0.31,-0.30
834,Mihai Dobre,ro ROU,MF,Bournemouth,eng Premier League,20,0,,,,,0,,0,0,,2,,,,,,,,,,,
835,Matt Doherty,ie IRL,"MF,DF",Wolves,eng Premier League,27,36,2839,79,83.0,31.5,32,85,26,4,31,1,1.64,45,31,+14,+0.44,+0.91,46.9,29.5,+17.4,+0.55,+0.76
836,Kasper Dolberg,dk DEN,FW,Nice,fr Ligue 1,21,23,1888,82,74.9,21.0,22,85,14,1,16,0,1.39,32,27,+5,+0.24,+0.52,26.1,32.7,-6.6,-0.31,-0.08
837,Keagan Dolly,za RSA,MF,Montpellier,fr Ligue 1,26,6,148,25,5.9,1.6,1,95,1,5,11,4,1.17,0,2,-2,-1.22,-1.33,2.6,1.3,+1.3,+0.80,+0.83
838,Jaume Doménech,es ESP,GK,Valencia,es La Liga,28,15,1324,88,38.7,14.7,14,90,14,1,64,23,1.27,19,23,-4,-0.27,-0.14,17.0,22.1,-5.1,-0.35,-0.02
839,Iago Domínguez,es ESP,GK,Celta Vigo,es La Liga,17,0,,,,,0,,0,0,,1,,,,,,,,,,,
840,Nicolás Domínguez,ar ARG,MF,Bologna,it Serie A,21,16,699,44,20.4,7.8,7,74,1,9,20,4,0.94,8,11,-3,-0.39,-0.06,8.0,10.6,-2.7,-0.34,-0.50
841,Giulio Donati,it ITA,DF,Lecce,it Serie A,29,20,1760,88,51.5,19.6,20,88,18,0,,1,1.00,28,45,-17,-0.87,0.00,29.6,42.2,-12.6,-0.65,+0.34
842,Ji Dong-won,kr KOR,"FW,MF",Mainz 05,de Bundesliga,28,4,102,26,3.3,1.1,1,55,0,3,16,9,1.25,0,2,-2,-1.76,-1.19,0.6,1.8,-1.2,-1.09,-0.78
843,Anastasios Donis,gr GRE,FW,Reims,fr Ligue 1,22,15,609,41,24.2,6.8,6,66,0,9,23,4,1.33,5,5,0,0.00,-0.24,8.5,6.2,+2.3,+0.33,+0.34
844,Alfredo Donnarumma,it ITA,FW,Brescia,it Serie A,28,31,1684,54,49.2,18.7,20,75,9,11,17,4,0.71,19,43,-24,-1.28,-0.25,21.8,34.7,-12.9,-0.69,+0.26
845,Antonio Donnarumma,it ITA,GK,Milan,it Serie A,29,0,,,0.0,0.0,0,,0,0,,36,0.00,1,2,-1,,,,,,,
