Rk,Player,Nation,Pos,Squad,Comp,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
1,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21,32.0,8,0,0,27,52,1,50,28,44,0,2,1,154,13,50,20.6
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33,33.1,5,1,0,39,25,0,4,68,27,0,1,0,195,62,38,62.0
3,Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,21,27.4,12,3,2,43,37,0,14,42,23,0,0,0,186,17,20,45.9
4,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,28,32.8,9,0,0,41,69,1,37,55,60,0,0,0,264,11,7,61.1
5,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,21,0.5,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,
6,Dickson Abiama,ng NGA,FW,Greuther Fürth,de Bundesliga,22,8.1,3,0,0,17,11,15,3,4,7,0,0,0,28,19,30,38.8
7,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,18,1.1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,7,0.0
8,Tammy Abraham,eng ENG,FW,Roma,it Serie A,23,34.3,9,0,0,38,49,17,16,5,13,1,1,0,68,78,80,49.4
9,Luis Abram,pe PER,DF,Granada,es La Liga,25,6.2,2,0,0,5,4,0,0,5,3,0,0,1,14,7,14,33.3
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,33,28.2,2,1,0,18,16,4,3,34,12,1,0,0,162,69,43,61.6
11,Ragnar Ache,de GER,"MF,FW",Eint Frankfurt,de Bundesliga,23,2.9,0,0,0,5,8,6,6,0,0,0,0,0,7,18,10,64.3
12,Mohamed Achi,fr FRA,MF,Nantes,fr Ligue 1,19,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
13,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,29,25.1,10,0,0,38,48,0,178,14,29,0,1,0,173,22,32,40.7
14,Che Adams,sct SCO,FW,Southampton,eng Premier League,25,22.7,0,0,0,29,40,7,8,8,6,0,0,0,70,61,91,40.1
15,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,22,15.0,5,0,0,19,15,0,2,16,7,0,0,0,85,20,10,66.7
16,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,28,3.7,0,0,0,5,8,4,5,1,6,0,0,0,24,3,14,17.6
17,Martin Adeline,fr FRA,"MF,FW",Reims,fr Ligue 1,17,3.9,1,0,0,16,2,0,11,11,11,0,0,0,35,3,5,37.5
18,Amine Adli,fr FRA,"FW,MF",Leverkusen,de Bundesliga,21,14.0,3,0,0,27,28,8,21,11,14,0,0,0,62,12,29,29.3
19,Yacine Adli,fr FRA,"MF,FW",Bordeaux,fr Ligue 1,21,25.1,5,0,0,21,27,4,114,37,27,0,0,0,150,12,19,38.7
20,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,24,4.9,1,0,0,13,4,0,7,6,5,0,0,0,27,5,4,55.6
21,Felix Afena-Gyan,gh GHA,"FW,MF",Roma,it Serie A,18,7.4,5,1,1,15,24,4,8,3,3,0,0,0,31,11,15,42.3
22,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,25,18.0,4,0,0,24,22,1,45,25,22,0,1,0,79,31,27,53.4
23,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,20,4.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,
24,Lucien Agoume,fr FRA,MF,Brest,fr Ligue 1,19,20.8,6,0,0,31,14,0,5,52,31,0,1,0,148,26,29,47.3
25,Kevin Agudelo,co COL,"MF,FW",Spezia,it Serie A,22,13.7,2,1,0,36,24,0,22,8,26,0,0,0,67,15,14,51.7
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
26,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,25,30.4,3,1,0,20,16,1,1,24,18,1,2,0,154,95,51,65.1
27,Sergio Agüero,ar ARG,FW,Barcelona,es La Liga,33,1.7,0,0,0,1,2,1,3,0,1,0,0,0,3,3,2,60.0
28,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,28,23.8,4,0,0,32,29,1,64,44,53,0,0,1,157,33,40,45.2
29,Álvaro Aguirre,es ESP,FW,Rayo Vallecano,es La Liga,21,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
30,Naouirou Ahamada,fr FRA,"MF,DF",Stuttgart,de Bundesliga,19,0.7,0,0,0,2,1,0,0,0,0,0,0,0,4,1,3,25.0
31,Anel Ahmedhodzic,ba BIH,DF,Bordeaux,fr Ligue 1,22,15.0,6,0,0,21,10,0,6,22,26,0,0,0,108,18,13,58.1
32,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,27,11.2,2,0,0,21,20,0,6,19,9,0,0,0,77,14,5,73.7
33,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,25,29.3,1,0,0,10,18,1,3,38,26,0,0,1,164,62,47,56.9
34,Ola Aina,ng NGA,DF,Torino,it Serie A,24,16.0,4,0,0,18,28,1,34,28,19,0,0,0,101,17,25,40.5
35,Rayan Aït Nouri,dz ALG,"DF,MF",Wolves,eng Premier League,20,20.3,4,0,0,14,20,3,96,22,36,1,0,0,128,17,13,56.7
36,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,23,22.2,5,0,0,12,16,0,17,26,18,0,0,0,109,49,31,61.3
37,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,27,30.4,5,1,0,40,36,14,17,8,25,2,0,1,86,127,102,55.5
38,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,26,25.1,3,0,0,19,24,1,3,35,23,0,0,1,164,51,35,59.3
39,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,28,20.5,4,0,0,23,25,2,45,51,31,0,1,0,112,37,32,53.6
40,Marley Aké,fr FRA,"FW,MF",Juventus,it Serie A,20,0.9,1,0,0,6,2,0,1,1,0,0,0,0,3,1,0,100.0
41,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,26,10.3,0,0,0,9,2,0,1,8,9,0,0,0,43,37,12,75.5
42,Ilias Akhomach,es ESP,FW,Barcelona,es La Liga,17,1.4,0,0,0,3,4,0,6,0,0,0,0,0,11,1,2,33.3
43,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,fr Ligue 1,19,0.6,1,0,0,4,1,1,1,0,0,0,0,0,2,1,2,33.3
44,Paul Akouokou,ci CIV,MF,Betis,es La Liga,23,5.7,2,1,0,13,2,0,1,11,9,0,0,0,42,6,2,75.0
45,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,it Serie A,28,3.5,1,0,0,13,8,0,0,2,10,0,1,0,13,4,4,50.0
46,Kevin Akpoguma,ng NGA,"DF,FW",Hoffenheim,de Bundesliga,26,17.0,5,0,0,25,23,4,31,20,19,0,1,0,100,17,20,45.9
47,David Alaba,at AUT,DF,Real Madrid,es La Liga,29,29.4,2,0,0,16,6,2,40,22,13,0,0,0,141,14,22,38.9
48,Sofiane Alakouch,ma MAR,"DF,MF",Metz,fr Ligue 1,23,1.8,1,0,0,5,7,0,2,1,4,0,0,0,6,0,1,0.0
49,Tomás Alarcón,cl CHI,MF,Cádiz,es La Liga,22,15.8,5,0,0,19,9,1,64,30,20,0,2,0,107,15,19,44.1
50,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,28,7.3,2,0,0,8,8,7,1,1,5,1,0,0,13,19,23,45.2
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
51,Jordi Alba,es ESP,DF,Barcelona,es La Liga,32,29.4,11,0,0,26,19,11,121,33,34,0,0,0,214,13,23,36.1
52,Josué Albert,gf GUF,DF,Clermont Foot,fr Ligue 1,29,0.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,
53,Luis Alberto,es ESP,MF,Lazio,it Serie A,28,26.1,5,0,0,13,26,1,143,13,17,0,0,0,136,6,12,33.3
54,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,35,27.4,8,0,0,18,12,2,3,21,15,0,0,0,137,41,27,60.3
55,Marc Albrighton,eng ENG,"FW,DF",Leicester City,eng Premier League,31,12.6,3,0,0,6,13,2,78,14,19,0,0,0,65,4,13,23.5
56,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,27,8.7,1,0,0,5,7,8,1,6,3,0,0,0,28,10,25,28.6
57,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,30,17.0,2,0,0,19,13,0,4,26,29,0,0,0,126,31,12,72.1
58,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,30,12.3,7,0,0,30,35,1,23,13,20,0,1,0,86,22,23,48.9
