Rk,Player,Nation,Pos,Squad,Comp,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
1,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,21,0.1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,29,19.7,2,0,0,11,3,3,40,30,22,0,0,0,136,11,13,45.8
3,Issah Abbas,gh GHA,"DF,FW",Mainz 05,de Bundesliga,21,0.2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,
4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,32,32.1,4,1,0,37,22,0,0,61,37,0,1,0,200,92,53,63.4
5,Sabit Abdulai,gh GHA,MF,Getafe,es La Liga,21,0.7,1,0,0,2,1,0,1,0,0,0,0,0,1,1,3,25.0
6,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,27,14.7,5,0,0,31,22,1,40,20,19,0,0,0,108,13,18,41.9
7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,27,32.9,5,0,0,44,37,0,26,46,84,1,0,0,231,9,17,34.6
8,Charles Abi,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,20,10.1,1,0,0,18,7,7,3,4,2,0,0,0,26,37,59,38.5
9,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,17,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,Pape Abou Cissé,sn SEN,DF,Saint-Étienne,fr Ligue 1,24,14.0,1,0,0,10,9,1,1,27,13,0,0,0,97,55,15,78.6
11,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34,13.6,5,1,1,9,6,1,13,17,12,0,0,0,76,31,18,63.3
12,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,22,11.6,0,0,0,22,12,4,6,5,5,1,0,0,28,38,28,57.6
