Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
1,Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,22-227,26.4,1,41,9,22.0,1.56,0.34,0.02,0.11,18.4,2,0,0,3.9,3.9,0.09,-2.9,-2.9
2,Paxten Aaronson,us USA,"MF,DF",Eint Frankfurt,de Bundesliga,19-284,1.9,0,4,1,25.0,2.08,0.52,0.00,0.00,18.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2
3,James Abankwah,ie IRL,DF,Udinese,it Serie A,19-141,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
4,George Abbott,eng ENG,MF,Tottenham,eng Premier League,17-293,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,35-251,37.0,1,32,3,9.4,0.86,0.08,0.03,0.33,15.0,0,0,0,2.4,2.4,0.07,-1.4,-1.4
6,Himad Abdelli,fr FRA,"MF,FW",Angers,fr Ligue 1,23-201,23.7,2,24,7,29.2,1.01,0.29,0.08,0.29,22.4,2,0,0,1.4,1.4,0.06,+0.6,+0.6
7,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,23-072,32.2,1,13,4,30.8,0.40,0.12,0.08,0.25,19.1,0,0,0,0.9,0.9,0.07,+0.1,+0.1
8,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,30-125,26.0,0,13,2,15.4,0.50,0.08,0.00,0.00,24.0,0,0,0,0.5,0.5,0.04,-0.5,-0.5
9,Oliver Abildgaard,dk DEN,MF,Hellas Verona,it Serie A,26-361,6.6,0,3,2,66.7,0.46,0.31,0.00,0.00,14.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1
10,Matthis Abline,fr FRA,"FW,MF",Auxerre,fr Ligue 1,20-070,9.0,2,24,8,33.3,2.68,0.89,0.04,0.13,20.6,0,1,2,3.6,2.0,0.08,-1.6,-1.0
11,Matthis Abline,fr FRA,"FW,MF",Rennes,fr Ligue 1,20-070,1.2,1,6,2,33.3,5.05,1.68,0.17,0.50,12.2,0,0,0,0.8,0.8,0.13,+0.2,+0.2
12,Abner,br BRA,DF,Betis,es La Liga,23-010,6.7,0,5,1,20.0,0.74,0.15,0.00,0.00,13.6,0,0,0,1.7,1.7,0.34,-1.7,-1.7
13,Zakaria Aboukhlal,ma MAR,"FW,MF",Toulouse,fr Ligue 1,23-108,27.5,10,83,30,36.1,3.02,1.09,0.12,0.33,15.9,0,0,0,11.5,11.5,0.14,-1.5,-1.5
14,Tammy Abraham,eng ENG,FW,Roma,it Serie A,25-247,24.3,8,62,28,45.2,2.55,1.15,0.13,0.29,12.0,0,0,0,10.8,10.8,0.17,-2.8,-2.8
15,Christian Acella,it ITA,MF,Cremonese,it Serie A,20-334,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
16,Francesco Acerbi,it ITA,DF,Inter,it Serie A,35-116,26.9,0,18,2,11.1,0.67,0.07,0.00,0.00,15.9,0,0,0,1.0,1.0,0.06,-1.0,-1.0
17,Álvaro Aceves,es ESP,GK,Valladolid,es La Liga,19-315,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
18,Mohamed Achi,fr FRA,FW,Nantes,fr Ligue 1,21-141,0.4,0,1,0,0.0,2.50,0.00,0.00,,26.1,0,0,0,0.1,0.1,0.12,-0.1,-0.1
19,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,31-221,21.2,3,21,5,23.8,0.99,0.24,0.14,0.60,25.6,1,0,0,1.2,1.2,0.06,+1.8,+1.8
20,Che Adams,sct SCO,FW,Southampton,eng Premier League,26-328,22.1,5,47,14,29.8,2.12,0.63,0.11,0.36,13.8,0,0,0,6.6,6.6,0.14,-1.6,-1.6
21,Tyler Adams,us USA,MF,Leeds United,eng Premier League,24-112,24.0,0,4,0,0.0,0.17,0.00,0.00,,27.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
22,Sargis Adamyan,am ARM,"FW,MF",Köln,de Bundesliga,30-014,7.2,1,21,11,52.4,2.93,1.54,0.05,0.09,14.0,0,0,0,3.4,3.4,0.16,-2.4,-2.4
23,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,25-255,23.2,1,16,4,25.0,0.69,0.17,0.06,0.25,21.2,1,0,0,0.7,0.7,0.04,+0.3,+0.3
24,Martin Adeline,fr FRA,"MF,FW",Reims,fr Ligue 1,19-186,1.2,0,1,0,0.0,0.84,0.00,0.00,,25.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1
25,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,21-139,15.4,6,37,14,37.8,2.40,0.91,0.16,0.43,17.4,0,0,1,5.0,4.3,0.12,+1.0,+1.7
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
26,Amine Adli,fr FRA,"FW,MF",Leverkusen,de Bundesliga,23-027,15.9,5,37,17,45.9,2.32,1.07,0.14,0.29,14.0,1,0,0,5.0,5.0,0.14,0.0,0.0
27,Yacine Adli,fr FRA,"MF,FW",Milan,it Serie A,22-312,1.6,0,2,2,100.0,1.25,1.25,0.00,0.00,18.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1
28,Michel Aebischer,ch SUI,"FW,MF",Bologna,it Serie A,26-151,17.1,1,15,2,13.3,0.88,0.12,0.07,0.50,17.1,1,0,0,1.5,1.5,0.10,-0.5,-0.5
29,Felix Afena-Gyan,gh GHA,"FW,MF",Cremonese,it Serie A,20-138,9.1,0,21,2,9.5,2.32,0.22,0.00,0.00,18.7,0,0,0,1.9,1.9,0.09,-1.9,-1.9
30,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,25-354,26.5,0,22,3,13.6,0.83,0.11,0.00,0.00,15.8,0,0,0,1.7,1.7,0.08,-1.7,-1.7
