Rk,Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
1,Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,22-227,36,28,2372,26.4,1,3,4,1,0,0,2,0,3.9,3.9,4.2,8.1,43,86,151,0.04,0.11,0.15,0.04,0.15,0.15,0.16,0.31,0.15,0.31
2,Paxten Aaronson,us USA,"MF,DF",Eint Frankfurt,de Bundesliga,19-284,7,0,173,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,8,6,15,0.00,0.00,0.00,0.00,0.00,0.09,0.03,0.11,0.09,0.11
3,James Abankwah,ie IRL,DF,Udinese,it Serie A,19-141,2,1,63,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,George Abbott,eng ENG,MF,Tottenham,eng Premier League,17-293,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,35-251,37,37,3330,37.0,1,2,3,1,0,0,6,0,2.4,2.4,1.0,3.4,40,215,10,0.03,0.05,0.08,0.03,0.08,0.06,0.03,0.09,0.06,0.09
6,Himad Abdelli,fr FRA,"MF,FW",Angers,fr Ligue 1,23-201,30,24,2137,23.7,2,2,4,2,0,0,3,0,1.4,1.4,2.9,4.3,58,151,111,0.08,0.08,0.17,0.08,0.17,0.06,0.12,0.18,0.06,0.18
7,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,23-072,33,33,2894,32.2,1,1,2,1,0,0,6,1,0.9,0.9,1.6,2.5,33,165,44,0.03,0.03,0.06,0.03,0.06,0.03,0.05,0.08,0.03,0.08
8,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,30-125,29,28,2342,26.0,0,1,1,0,0,0,7,1,0.5,0.5,1.3,1.8,13,143,14,0.00,0.04,0.04,0.00,0.04,0.02,0.05,0.07,0.02,0.07
9,Oliver Abildgaard,dk DEN,MF,Hellas Verona,it Serie A,26-361,13,6,590,6.6,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.6,2,15,8,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.09,0.02,0.09
10,Matthis Abline,fr FRA,"FW,MF",Auxerre,fr Ligue 1,20-070,19,8,806,9.0,2,1,3,1,1,2,1,0,3.6,2.0,0.7,2.7,14,8,49,0.22,0.11,0.33,0.11,0.22,0.40,0.08,0.47,0.22,0.30
11,Matthis Abline,fr FRA,"FW,MF",Rennes,fr Ligue 1,20-070,11,0,107,1.2,1,0,1,1,0,0,0,0,0.8,0.8,0.3,1.0,4,2,11,0.84,0.00,0.84,0.84,0.84,0.65,0.22,0.87,0.65,0.87
12,Abner,br BRA,DF,Betis,es La Liga,23-010,13,7,607,6.7,0,0,0,0,0,0,2,0,1.7,1.7,0.1,1.8,8,16,25,0.00,0.00,0.00,0.00,0.00,0.25,0.02,0.27,0.25,0.27
13,Zakaria Aboukhlal,ma MAR,"FW,MF",Toulouse,fr Ligue 1,23-108,37,28,2473,27.5,10,5,15,10,0,0,4,0,11.5,11.5,3.3,14.7,100,72,276,0.36,0.18,0.55,0.36,0.55,0.42,0.12,0.54,0.42,0.54
