Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
40,Kevin Akpoguma,ng NGA,DF,Hannover 96,de Bundesliga,23,3.5,10,6,5,5,0,6,7,85.7,1,7,2,5,10,20,7,2
41,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,26,28.1,34,21,13,13,8,17,26,65.4,9,24,3,21,31,65,40,0
42,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,20,21.1,81,44,44,31,6,36,63,57.1,27,15,4,11,46,127,57,0
43,Lucas Alario,ar ARG,"FW,MF",Leverkusen,de Bundesliga,25,14.1,15,8,5,6,4,4,14,28.6,10,9,0,9,1,16,16,0
44,Jordi Alba,es ESP,DF,Barcelona,es La Liga,29,33.2,42,22,20,15,7,20,48,41.7,28,24,6,18,60,102,76,1
45,Luis Alberto,es ESP,"MF,FW",Lazio,it Serie A,25,22.1,53,22,15,29,9,21,55,38.2,34,23,3,20,10,63,10,0
46,Raúl Albiol,es ESP,DF,Napoli,it Serie A,32,19.0,16,8,12,4,0,8,15,53.3,7,19,16,3,20,36,90,1
47,Miiko Albornoz,cl CHI,"DF,MF",Hannover 96,de Bundesliga,27,18.4,46,26,31,10,5,21,45,46.7,24,23,3,20,16,62,37,1
48,Marc Albrighton,eng ENG,"FW,MF",Leicester City,eng Premier League,28,18.1,35,22,18,14,3,13,31,41.9,18,26,3,23,23,58,30,0
49,Paco Alcácer,es ESP,FW,Dortmund,de Bundesliga,24,13.5,3,1,2,0,1,0,6,0.0,6,5,0,5,6,9,7,0
50,Pedro Alcalá,es ESP,DF,Girona,es La Liga,29,20.8,32,23,23,9,0,15,23,65.2,8,21,18,3,36,68,120,0
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
51,Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,27,26.8,87,65,31,44,12,25,48,52.1,23,23,4,19,44,131,17,1
