Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
1,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,19,2.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,27,35.5,3,45,11,24.4,1.27,0.31,0.07,0.27,20.7,0,0,0,2.6,2.6,0.06,+0.4,+0.4
3,Ignazio Abate,it ITA,DF,Milan,it Serie A,31,14.5,0,1,1,100.0,0.07,0.07,0.00,0.00,12.5,0,0,0,0.1,0.1,0.08,-0.1,-0.1
4,Issah Abbas,gh GHA,FW,Mainz 05,de Bundesliga,19,0.1,0,1,0,0.0,10.00,0.00,0.00,,24.4,0,0,0,0.0,0.0,0.03,0.0,0.0
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,30,38.0,0,19,4,21.1,0.50,0.11,0.00,0.00,15.4,0,0,0,1.6,1.6,0.09,-1.6,-1.6
6,Mehdi Abeid,dz ALG,MF,Dijon,fr Ligue 1,25,22.5,3,36,10,27.8,1.60,0.44,0.06,0.20,24.9,0,1,1,2.9,2.1,0.06,+0.1,-0.1
7,Charles Abi,fr FRA,"DF,FW",Saint-Étienne,fr Ligue 1,18,0.4,0,1,0,0.0,2.81,0.00,0.00,,15.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1
8,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,32,15.8,0,5,1,20.0,0.32,0.06,0.00,0.00,11.4,0,0,0,0.8,0.8,0.15,-0.8,-0.8
9,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,28,8.8,0,7,2,28.6,0.80,0.23,0.00,0.00,26.9,0,0,0,0.2,0.2,0.03,-0.2,-0.2
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,30,36.8,3,18,7,38.9,0.49,0.19,0.17,0.43,9.8,0,0,0,3.4,3.4,0.20,-0.4,-0.4
11,Afriyie Acquah,gh GHA,MF,Empoli,it Serie A,26,16.8,2,22,7,31.8,1.31,0.42,0.09,0.29,20.8,0,0,0,1.4,1.4,0.07,+0.6,+0.6
12,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,19,8.0,0,2,1,50.0,0.25,0.12,0.00,0.00,26.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1
13,Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,31,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
14,Aday,es ESP,"DF,MF",Girona,es La Liga,30,7.2,0,9,3,33.3,1.26,0.42,0.00,0.00,27.1,2,0,0,0.3,0.3,0.03,-0.3,-0.3
15,Khaled Adénon,bj BEN,DF,Amiens,fr Ligue 1,33,22.2,0,8,0,0.0,0.36,0.00,0.00,,10.8,0,0,0,0.7,0.7,0.09,-0.7,-0.7
16,Claud Adjapong,it ITA,"MF,FW",Sassuolo,it Serie A,20,3.0,1,2,1,50.0,0.67,0.33,0.50,1.00,18.0,0,0,0,0.7,0.7,0.36,+0.3,+0.3
17,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,18,2.4,0,1,0,0.0,0.42,0.00,0.00,,46.4,0,0,0,0.0,0.0,0.02,0.0,0.0
18,Ali Adnan Kadhim,iq IRQ,DF,Atalanta,it Serie A,24,1.8,0,3,0,0.0,1.63,0.00,0.00,,17.0,0,0,0,0.2,0.2,0.08,-0.2,-0.2
19,Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,37,10.5,2,17,9,52.9,1.62,0.86,0.00,0.00,15.0,0,2,2,3.3,1.8,0.10,-1.3,-1.8
20,Luis Advíncula,pe PER,DF,Rayo Vallecano,es La Liga,28,26.5,1,17,5,29.4,0.64,0.19,0.06,0.20,21.8,0,0,0,1.1,1.1,0.06,-0.1,-0.1
21,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,22,22.6,0,1,0,0.0,0.04,0.00,0.00,,23.8,0,0,0,0.0,0.0,0.03,0.0,0.0
22,Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,22,11.7,3,10,4,40.0,0.86,0.34,0.30,0.75,14.0,0,0,0,1.5,1.5,0.15,+1.5,+1.5
23,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,30,27.3,21,116,41,35.3,4.25,1.50,0.16,0.46,15.0,3,2,2,18.1,16.5,0.14,+2.9,+2.5
24,Ruben Aguilar,fr FRA,DF,Montpellier,fr Ligue 1,25,28.1,1,13,4,30.8,0.46,0.14,0.08,0.25,20.1,0,0,0,0.9,0.9,0.07,+0.1,+0.1
25,Juan Aguilera,es ESP,MF,Huesca,es La Liga,32,3.8,0,3,1,33.3,0.78,0.26,0.00,0.00,19.0,0,0,0,0.5,0.5,0.17,-0.5,-0.5
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
26,Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,it Serie A,27,1.8,0,2,0,0.0,1.12,0.00,0.00,,13.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1
27,Jean-Eudes Aholou,ci CIV,MF,Monaco,fr Ligue 1,24,11.9,0,13,3,23.1,1.09,0.25,0.00,0.00,18.8,0,0,0,0.8,0.8,0.06,-0.8,-0.8
28,Antonis Aidonis,de GER,DF,Stuttgart,de Bundesliga,17,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
29,Ola Aina,ng NGA,DF,Torino,it Serie A,21,24.0,1,24,5,20.8,1.00,0.21,0.04,0.20,19.5,0,0,0,1.4,1.4,0.06,-0.4,-0.4
