Rk,Player,Nation,Pos,Squad,Comp,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
1,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,21,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,29,19.7,30,1.52,27,2,1,0,0,0,3,0.15,2,1,0,0,0,0
3,Issah Abbas,gh GHA,"DF,FW",Mainz 05,de Bundesliga,21,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,32,32.1,17,0.53,15,0,0,2,0,0,0,0.00,0,0,0,0,0,0
5,Sabit Abdulai,gh GHA,MF,Getafe,es La Liga,21,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
6,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,27,14.7,31,2.11,18,5,3,1,2,2,1,0.07,1,0,0,0,0,0
7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,27,32.9,59,1.79,45,0,3,6,4,1,9,0.27,6,0,1,1,1,0
8,Charles Abi,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,20,10.1,14,1.38,11,0,2,0,1,0,3,0.30,2,0,1,0,0,0
9,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,17,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
10,Pape Abou Cissé,sn SEN,DF,Saint-Étienne,fr Ligue 1,24,14.0,9,0.64,5,1,0,2,1,0,0,0.00,0,0,0,0,0,0
11,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34,13.6,5,0.37,3,1,0,1,0,0,0,0.00,0,0,0,0,0,0
12,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,22,11.6,17,1.47,9,0,2,4,2,0,2,0.17,1,0,0,0,1,0
13,Amir Abrashi,al ALB,"MF,DF",Freiburg,de Bundesliga,30,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
14,Gennaro Acampora,it ITA,"MF,FW",Spezia,it Serie A,26,4.9,8,1.63,6,0,1,0,1,0,0,0.00,0,0,0,0,0,0
15,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,32,31.3,31,0.99,26,1,0,2,0,2,5,0.16,5,0,0,0,0,0
16,Ragnar Ache,de GER,"FW,DF",Eint Frankfurt,de Bundesliga,22,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
17,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,28,25.9,68,2.63,47,12,6,2,0,1,8,0.31,5,2,0,1,0,0
18,Che Adams,sct SCO,FW,Southampton,eng Premier League,24,29.6,68,2.29,50,0,2,7,9,0,7,0.24,6,0,0,0,1,0
19,Tyler Adams,us USA,"MF,DF",RB Leipzig,de Bundesliga,21,20.6,37,1.80,31,0,0,0,3,3,3,0.15,2,0,0,0,0,1
20,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,27,5.3,22,4.12,15,1,2,2,2,0,6,1.12,4,0,0,2,0,0
21,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,22,32.8,18,0.55,18,0,0,0,0,0,1,0.03,1,0,0,0,0,0
22,Bobby Adekanye,nl NED,"FW,MF",Cádiz,es La Liga,21,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
23,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,20,26.9,104,3.87,78,10,8,2,3,3,10,0.37,7,1,0,1,1,0
24,Andrea Adorante,it ITA,FW,Parma,it Serie A,20,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
25,Adrián,es ESP,GK,Liverpool,eng Premier League,33,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
26,Martin Agirregabiria,es ESP,"DF,MF",Alavés,es La Liga,24,17.3,28,1.62,16,9,0,0,3,0,3,0.17,2,1,0,0,0,0
27,Lucien Agoume,fr FRA,MF,Spezia,it Serie A,18,8.9,7,0.79,7,0,0,0,0,0,2,0.23,2,0,0,0,0,0
