Rk,Player,Nation,Pos,Squad,Comp,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
1,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21,32.0,46,1.44,34,3,2,3,3,1,3,0.09,3,0,0,0,0,0
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33,33.1,22,0.66,17,0,2,1,0,2,1,0.03,1,0,0,0,0,0
3,Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,21,27.4,50,1.83,41,0,0,4,4,1,3,0.11,3,0,0,0,0,0
4,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,28,32.8,83,2.53,67,2,3,1,7,3,9,0.27,8,0,0,0,1,0
5,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,21,0.5,1,2.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
6,Dickson Abiama,ng NGA,FW,Greuther Fürth,de Bundesliga,22,8.1,15,1.85,10,0,0,2,2,1,2,0.25,1,0,0,1,0,0
7,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,18,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
8,Tammy Abraham,eng ENG,FW,Roma,it Serie A,23,34.3,94,2.74,62,1,6,17,7,1,14,0.41,6,0,2,3,3,0
9,Luis Abram,pe PER,DF,Granada,es La Liga,25,6.2,3,0.48,1,0,0,2,0,0,1,0.16,0,0,0,1,0,0
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,33,28.2,17,0.61,13,1,0,1,2,0,2,0.07,1,0,0,0,1,0
11,Ragnar Ache,de GER,"MF,FW",Eint Frankfurt,de Bundesliga,23,2.9,8,2.78,4,0,1,2,1,0,1,0.35,0,0,0,1,0,0
12,Mohamed Achi,fr FRA,MF,Nantes,fr Ligue 1,19,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
13,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,29,25.1,75,2.99,48,19,2,3,3,0,3,0.12,1,2,0,0,0,0
14,Che Adams,sct SCO,FW,Southampton,eng Premier League,25,22.7,51,2.25,32,0,2,4,11,2,5,0.22,3,0,1,0,0,1
15,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,22,15.0,26,1.73,23,1,1,1,0,0,4,0.27,4,0,0,0,0,0
16,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,28,3.7,11,2.98,8,0,2,0,0,1,1,0.27,1,0,0,0,0,0
17,Martin Adeline,fr FRA,"MF,FW",Reims,fr Ligue 1,17,3.9,10,2.56,8,0,1,0,0,1,0,0.00,0,0,0,0,0,0
18,Amine Adli,fr FRA,"FW,MF",Leverkusen,de Bundesliga,21,14.0,49,3.51,39,1,3,4,2,0,6,0.43,5,0,0,1,0,0
19,Yacine Adli,fr FRA,"MF,FW",Bordeaux,fr Ligue 1,21,25.1,121,4.82,81,22,6,3,5,4,18,0.72,13,3,1,0,1,0
20,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,24,4.9,10,2.05,9,1,0,0,0,0,0,0.00,0,0,0,0,0,0
21,Felix Afena-Gyan,gh GHA,"FW,MF",Roma,it Serie A,18,7.4,23,3.10,14,0,2,2,5,0,2,0.27,1,0,1,0,0,0
22,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,25,18.0,32,1.78,25,3,2,0,2,0,3,0.17,2,0,1,0,0,0
23,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,20,4.0,1,0.25,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
24,Lucien Agoume,fr FRA,MF,Brest,fr Ligue 1,19,20.8,35,1.69,28,1,1,4,1,0,2,0.10,2,0,0,0,0,0
25,Kevin Agudelo,co COL,"MF,FW",Spezia,it Serie A,22,13.7,39,2.84,21,0,6,4,4,4,3,0.22,1,0,0,0,0,2
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
