Rk,Player,Nation,Pos,Squad,Comp,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
14,Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,32,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
15,Bobby Adekanye,nl NED,FW,Lazio,it Serie A,20,2.1,7,3.35,4,0,0,1,2,0,0,0.00,0,0,0,0,0,0
16,Claud Adjapong,it ITA,DF,Hellas Verona,it Serie A,21,2.6,1,0.39,0,0,1,0,0,0,0,0.00,0,0,0,0,0,0
17,Amine Adli,fr FRA,"MF,FW",Toulouse,fr Ligue 1,19,0.5,3,5.87,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0
18,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,19,11.3,45,3.97,29,5,5,2,2,2,7,0.62,3,1,2,1,0,0
19,Adrián,es ESP,GK,Liverpool,eng Premier League,32,9.7,2,0.21,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
20,Aritz Aduriz,es ESP,"FW,MF",Athletic Club,es La Liga,38,2.3,2,0.87,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0
21,Lumor Agbenyenu,gh GHA,DF,Mallorca,es La Liga,22,20.1,34,1.70,24,4,3,1,2,0,0,0.00,0,0,0,0,0,0
22,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,23,23.3,25,1.07,18,2,3,0,2,0,3,0.13,3,0,0,0,0,0
23,Lucien Agoume,fr FRA,MF,Inter,it Serie A,17,0.8,2,2.65,2,0,0,0,0,0,1,1.32,1,0,0,0,0,0
24,Kevin Agudelo,co COL,"MF,FW",Fiorentina,it Serie A,20,0.7,7,9.84,4,0,3,0,0,0,1,1.41,1,0,0,0,0,0
25,Kevin Agudelo,co COL,"MF,FW",Genoa,it Serie A,20,7.4,32,4.33,24,0,5,0,1,2,2,0.27,1,0,0,0,0,1
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
26,Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,23,10.6,4,0.38,3,1,0,0,0,0,1,0.09,1,0,0,0,0,0
27,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,31,16.1,57,3.53,31,0,9,12,5,0,7,0.43,3,0,1,2,1,0
28,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,26,11.9,36,3.02,31,2,0,0,2,1,4,0.34,4,0,0,0,0,0
29,Emmanuel Agyemang-Badu,gh GHA,MF,Hellas Verona,it Serie A,28,2.6,4,1.57,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
30,Jean-Eudes Aholou,ci CIV,MF,Saint-Étienne,fr Ligue 1,25,7.0,13,1.86,7,0,0,0,2,4,1,0.14,0,0,0,0,0,1
31,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,23,27.8,12,0.43,7,2,1,2,0,0,2,0.07,2,0,0,0,0,0
32,Ola Aina,ng NGA,DF,Torino,it Serie A,22,23.1,55,2.38,31,12,4,1,7,0,6,0.26,3,1,0,0,2,0
33,Youssef Aït Bennasser,ma MAR,MF,Bordeaux,fr Ligue 1,23,6.0,10,1.68,10,0,0,0,0,0,2,0.34,2,0,0,0,0,0
34,Rayan Aït Nouri,dz ALG,DF,Angers,fr Ligue 1,18,14.2,26,1.83,20,1,1,1,1,2,2,0.14,2,0,0,0,0,0
35,Albian Ajeti,ch SUI,FW,West Ham,eng Premier League,22,1.5,2,1.29,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
36,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,25,22.9,42,1.84,32,0,2,5,3,0,12,0.52,7,0,1,2,2,0
37,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,24,25.7,13,0.51,12,1,0,0,0,0,5,0.19,5,0,0,0,0,0
38,Marley Aké,fr FRA,"FW,MF",Marseille,fr Ligue 1,18,1.1,3,2.73,2,0,1,0,0,0,1,0.91,1,0,0,0,0,0
39,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,24,27.8,14,0.50,8,0,1,4,1,0,1,0.04,0,0,0,1,0,0
40,Chadrac Akolo,cd COD,"FW,MF",Amiens,fr Ligue 1,24,6.0,13,2.15,9,0,0,2,1,1,2,0.33,1,0,0,1,0,0
41,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,24,12.7,4,0.32,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
42,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27,27.8,46,1.66,40,2,1,3,0,0,3,0.11,2,1,0,0,0,0
43,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,21,15.6,33,2.12,24,4,2,1,1,1,2,0.13,2,0,0,0,0,0
44,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,26,13.0,27,2.07,21,0,0,6,0,0,2,0.15,1,0,0,1,0,0
45,Jordi Alba,es ESP,DF,Barcelona,es La Liga,30,24.3,51,2.10,50,1,0,0,0,0,6,0.25,6,0,0,0,0,0
46,Luis Alberto,es ESP,MF,Lazio,it Serie A,26,34.6,225,6.50,149,40,17,14,1,4,29,0.84,23,2,0,1,1,2
47,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,33,36.0,19,0.53,17,0,0,1,1,0,1,0.03,1,0,0,0,0,0
48,Marc Albrighton,eng ENG,"MF,DF",Leicester City,eng Premier League,29,9.6,27,2.80,23,2,1,1,0,0,5,0.52,5,0,0,0,0,0
49,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,25,10.3,17,1.66,15,0,0,1,1,0,2,0.19,1,0,0,0,1,0
50,Paco Alcácer,es ESP,FW,Dortmund,de Bundesliga,25,5.9,12,2.04,8,1,1,0,2,0,2,0.34,1,1,0,0,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
51,Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,28,19.7,60,3.05,49,3,3,4,0,1,10,0.51,8,0,2,0,0,0
52,Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,28,21.4,51,2.38,31,7,4,3,6,0,4,0.19,4,0,0,0,0,0
53,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,30,32.9,27,0.82,25,0,0,1,0,1,4,0.12,4,0,0,0,0,0
54,Haitam Aleesami,no NOR,DF,Amiens,fr Ligue 1,28,21.3,29,1.36,25,3,0,0,0,1,3,0.14,3,0,0,0,0,0
55,Álex Alegría,es ESP,FW,Mallorca,es La Liga,26,1.2,1,0.83,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0
56,Carles Aleñá,es ESP,MF,Barcelona,es La Liga,21,1.9,1,0.52,1,0,0,0,0,0,1,0.52,1,0,0,0,0,0
57,Carles Aleñá,es ESP,"MF,FW",Betis,es La Liga,21,8.2,17,2.08,17,0,0,0,0,0,0,0.00,0,0,0,0,0,0
58,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,24,10.0,4,0.40,2,2,0,0,0,0,0,0.00,0,0,0,0,0,0
59,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,20,35.3,155,4.39,93,51,3,6,1,1,24,0.68,15,7,0,2,0,0
60,Enrico Alfonso,it ITA,GK,Brescia,it Serie A,31,3.1,1,0.32,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
61,Rachid Alioui,ma MAR,FW,Angers,fr Ligue 1,27,17.4,45,2.59,33,0,3,4,5,0,2,0.12,2,0,0,0,0,0
62,Alisson,br BRA,GK,Liverpool,eng Premier League,26,28.3,5,0.18,5,0,0,0,0,0,2,0.07,2,0,0,0,0,0
63,Allan,br BRA,MF,Napoli,it Serie A,28,14.2,46,3.23,41,0,4,0,0,1,4,0.28,3,0,1,0,0,0
64,Dele Alli,eng ENG,"MF,FW",Tottenham,eng Premier League,23,20.5,58,2.82,42,1,7,3,3,2,11,0.54,5,0,4,2,0,0
65,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,eng Premier League,25,33.6,83,2.47,56,0,10,6,7,4,3,0.09,2,0,0,0,1,0
66,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,28,15.9,49,3.08,37,5,1,3,3,0,6,0.38,4,0,0,0,2,0
67,Mickaël Alphonse,gp GLP,DF,Dijon,fr Ligue 1,30,15.3,19,1.24,14,4,0,0,1,0,2,0.13,2,0,0,0,0,0
68,Sergio Álvarez,es ESP,"MF,DF",Eibar,es La Liga,27,12.7,9,0.71,6,0,1,1,0,1,0,0.00,0,0,0,0,0,0
69,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,32,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
70,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,24,31.2,21,0.67,17,1,1,0,2,0,1,0.03,1,0,0,0,0,0
71,Bruno Alves,pt POR,DF,Parma,it Serie A,37,29.7,26,0.88,19,1,0,4,0,2,0,0.00,0,0,0,0,0,0
72,Steven Alzate,co COL,"MF,DF",Brighton,eng Premier League,20,13.2,38,2.88,29,0,6,2,1,0,2,0.15,1,0,0,0,1,0
73,Ibrahim Amadou,fr FRA,"DF,MF",Norwich City,eng Premier League,26,8.4,2,0.24,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
74,Ibrahim Amadou,fr FRA,MF,Leganés,es La Liga,26,8.6,3,0.35,1,0,0,1,0,1,0,0.00,0,0,0,0,0,0
75,Romain Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,29,18.8,35,1.86,24,0,4,2,3,2,2,0.11,2,0,0,0,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
76,Amath,sn SEN,MF,Getafe,es La Liga,23,0.7,1,1.36,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
77,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,25,24.0,36,1.50,27,5,0,1,1,2,2,0.08,1,1,0,0,0,0
78,Thierry Ambrose,gp GLP,FW,Metz,fr Ligue 1,22,6.1,29,4.77,20,0,4,3,1,1,0,0.00,0,0,0,0,0,0
79,Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,21,18.1,14,0.77,11,1,0,1,0,1,2,0.11,2,0,0,0,0,0
80,Nadiem Amiri,de GER,"MF,FW",Leverkusen,de Bundesliga,22,20.6,95,4.60,59,24,5,4,3,0,8,0.39,7,0,0,0,1,0
81,Ethan Ampadu,wls WAL,DF,RB Leipzig,de Bundesliga,18,0.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
82,Opoku Ampomah,gh GHA,"FW,MF",Düsseldorf,de Bundesliga,23,5.6,21,3.77,13,0,5,2,1,0,0,0.00,0,0,0,0,0,0
83,Sofyan Amrabat,ma MAR,MF,Hellas Verona,it Serie A,22,32.4,81,2.50,72,1,4,0,3,1,7,0.22,6,0,0,0,1,0
84,Joachim Andersen,dk DEN,DF,Lyon,fr Ligue 1,23,17.0,16,0.94,16,0,0,0,0,0,0,0.00,0,0,0,0,0,0
85,Djavan Anderson,nl NED,"FW,DF",Lazio,it Serie A,24,1.9,2,1.08,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
86,Felipe Anderson,br BRA,"MF,FW",West Ham,eng Premier League,26,16.6,67,4.03,50,2,5,5,4,1,11,0.66,9,0,2,0,0,0
87,Sebastian Andersson,se SWE,FW,Union Berlin,de Bundesliga,28,29.8,58,1.95,44,0,4,5,5,0,8,0.27,1,0,2,4,1,0
88,Florin Andone,ro ROU,FW,Brighton,eng Premier League,26,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
89,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,28,22.8,39,1.71,32,0,2,2,1,2,4,0.18,4,0,0,0,0,0
90,Lorenzo Andrenacci,it ITA,GK,Brescia,it Serie A,24,5.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
91,Robert Andrich,de GER,MF,Union Berlin,de Bundesliga,24,28.6,83,2.90,55,4,5,11,6,2,6,0.21,4,0,0,0,1,1
92,Victorien Angban,ci CIV,MF,Metz,fr Ligue 1,22,11.4,13,1.14,12,0,0,0,1,0,0,0.00,0,0,0,0,0,0
93,Miguel Ángel Guerrero,es ESP,FW,Leganés,es La Liga,29,8.8,20,2.28,16,0,1,0,3,0,2,0.23,1,0,0,0,1,0
94,José Ángel,es ESP,DF,Eibar,es La Liga,29,26.2,64,2.44,39,14,2,5,2,2,6,0.23,4,1,0,1,0,0
95,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,35,13.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
96,Angeliño,es ESP,DF,Manchester City,eng Premier League,22,4.7,15,3.19,15,0,0,0,0,0,0,0.00,0,0,0,0,0,0
97,Angeliño,es ESP,"DF,FW",RB Leipzig,de Bundesliga,22,12.2,41,3.37,27,9,3,1,1,0,5,0.41,4,0,1,0,0,0
98,Faustino Anjorin,eng ENG,FW,Chelsea,eng Premier League,17,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
99,Peter Ankersen,dk DEN,DF,Genoa,it Serie A,28,11.8,19,1.61,14,1,2,1,1,0,1,0.08,1,0,0,0,0,0
100,Cristian Ansaldi,ar ARG,"DF,MF",Torino,it Serie A,32,19.6,59,3.00,46,3,4,3,2,1,8,0.41,6,0,2,0,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
101,Janis Antiste,fr FRA,MF,Toulouse,fr Ligue 1,16,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
102,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,29,19.6,71,3.61,35,1,15,11,7,2,9,0.46,4,0,1,3,1,0
103,Antoñito,es ESP,"DF,MF",Valladolid,es La Liga,31,11.4,19,1.66,17,1,0,0,0,1,0,0.00,0,0,0,0,0,0
104,Mirko Antonucci,it ITA,"FW,MF",Roma,it Serie A,20,0.9,3,3.29,1,0,0,0,0,2,0,0.00,0,0,0,0,0,0
105,Vitorino Antunes,pt POR,MF,Getafe,es La Liga,32,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
106,Christopher Antwi-Adjei,gh GHA,"MF,FW",Paderborn 07,de Bundesliga,25,27.4,95,3.46,62,12,7,3,10,1,6,0.22,4,1,1,0,0,0
107,Anuar,ma MAR,"MF,FW",Valladolid,es La Liga,24,2.1,2,0.95,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0
108,Houssem Aouar,fr FRA,"MF,FW",Lyon,fr Ligue 1,21,21.7,85,3.91,53,2,11,7,8,4,11,0.51,9,0,1,1,0,0
109,Adil Aouchiche,fr FRA,MF,Paris S-G,fr Ligue 1,17,0.7,2,2.81,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0
110,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,27,17.8,17,0.95,14,3,0,0,0,0,0,0.00,0,0,0,0,0,0
111,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,23,34.1,49,1.44,28,7,2,6,5,1,4,0.12,3,1,0,0,0,0
112,Guilherme Arana,br BRA,DF,Atalanta,it Serie A,22,0.9,2,2.25,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
113,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,30,23.5,46,1.95,41,1,0,1,2,1,5,0.21,5,0,0,0,0,0
114,Luiz Araújo,br BRA,"FW,MF",Lille,fr Ligue 1,23,9.2,32,3.47,16,1,8,2,4,1,2,0.22,1,0,0,1,0,0
115,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,27,32.1,15,0.47,10,0,1,3,0,1,4,0.12,2,0,0,2,0,0
116,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,20,2.6,1,0.38,1,0,0,0,0,0,1,0.38,1,0,0,0,0,0
117,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,32,22.3,23,1.03,18,2,1,2,0,0,1,0.04,0,0,1,0,0,0
118,Alphonse Areola,fr FRA,GK,Real Madrid,es La Liga,26,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
119,Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,26,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
120,Santiago Arias,co COL,DF,Atlético Madrid,es La Liga,27,12.0,23,1.92,19,2,0,1,1,0,2,0.17,2,0,0,0,0,0
121,Nicolò Armini,it ITA,DF,Lazio,it Serie A,18,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
122,Stuart Armstrong,sct SCO,MF,Southampton,eng Premier League,27,19.1,60,3.15,43,0,6,5,5,1,8,0.42,4,0,1,2,0,1
123,José Arnaiz,es ESP,"FW,MF",Osasuna,es La Liga,24,8.8,18,2.05,11,1,0,1,5,0,3,0.34,2,0,0,0,1,0
124,José Arnaiz,es ESP,MF,Leganés,es La Liga,24,3.7,14,3.74,9,2,2,0,1,0,0,0.00,0,0,0,0,0,0
125,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,25,31.3,137,4.37,55,56,4,10,11,1,14,0.45,5,6,0,2,1,0
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
126,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,24,33.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
127,Kwadwo Asamoah,gh GHA,"DF,FW",Inter,it Serie A,30,7.1,20,2.82,17,0,2,0,0,1,4,0.56,3,0,1,0,0,0
128,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,de Bundesliga,22,7.0,6,0.85,5,1,0,0,0,0,1,0.14,1,0,0,0,0,0
129,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,30,34.0,4,0.12,2,2,0,0,0,0,1,0.03,1,0,0,0,0,0
130,Marco Asensio,es ESP,FW,Real Madrid,es La Liga,23,3.7,11,2.95,8,0,2,1,0,0,1,0.27,1,0,0,0,0,0
131,Kristoffer Askildsen,no NOR,MF,Sampdoria,it Serie A,18,0.8,6,7.11,3,0,2,0,0,1,0,0.00,0,0,0,0,0,0
132,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,31,36.2,109,3.01,78,1,10,7,11,2,12,0.33,6,0,4,0,2,0
133,Roger Assalé,ci CIV,"FW,MF",Leganés,es La Liga,25,5.9,19,3.22,12,0,2,0,5,0,3,0.51,1,0,0,0,2,0
134,Youcef Atal,dz ALG,"FW,DF",Nice,fr Ligue 1,23,11.1,35,3.14,17,0,13,2,2,1,3,0.27,1,0,1,0,1,0
135,Miguel Atienza,es ESP,MF,Eibar,es La Liga,20,0.3,1,3.00,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0
136,Christian Atsu,gh GHA,"MF,FW",Newcastle Utd,eng Premier League,27,8.3,25,3.00,19,3,2,0,1,0,4,0.48,3,1,0,0,0,0
137,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,eng Premier League,30,34.8,69,1.98,48,0,6,7,6,2,12,0.34,8,0,0,2,1,1
138,Emil Audero,it ITA,GK,Sampdoria,it Serie A,22,36.0,2,0.06,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
139,Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,24,12.6,44,3.49,39,3,2,0,0,0,5,0.40,5,0,0,0,0,0
140,Jean-Kévin Augustin,fr FRA,FW,Monaco,fr Ligue 1,22,3.0,6,2.03,2,0,0,0,4,0,2,0.68,0,0,0,0,2,0
141,Ludwig Augustinsson,se SWE,"DF,MF",Werder Bremen,de Bundesliga,25,10.3,28,2.73,20,6,1,0,1,0,1,0.10,1,0,0,0,0,0
142,Serge Aurier,ci CIV,DF,Tottenham,eng Premier League,26,30.0,50,1.67,44,2,2,0,1,1,6,0.20,6,0,0,0,0,0
143,Mathias Autret,fr FRA,"MF,FW",Brest,fr Ligue 1,28,13.6,60,4.42,40,14,1,2,1,2,5,0.37,4,0,0,1,0,0
144,Ezequiel Ávila,ar ARG,FW,Osasuna,es La Liga,25,17.7,47,2.66,29,0,5,5,7,1,6,0.34,3,0,1,0,2,0
145,Javier Avilés,es ESP,"MF,FW",Leganés,es La Liga,21,2.0,7,3.41,5,0,1,0,1,0,2,0.97,1,0,1,0,0,0
146,Chidozie Awaziem,ng NGA,DF,Leganés,es La Liga,22,22.2,13,0.59,10,1,0,1,1,0,0,0.00,0,0,0,0,0,0
147,Taiwo Awoniyi,ng NGA,"FW,MF",Mainz 05,de Bundesliga,21,5.4,13,2.43,9,0,4,0,0,0,0,0.00,0,0,0,0,0,0
148,Florian Ayé,fr FRA,"FW,MF",Brescia,it Serie A,22,15.3,36,2.35,22,1,2,7,4,0,2,0.13,1,0,0,0,1,0
149,Jordan Ayew,gh GHA,FW,Crystal Palace,eng Premier League,27,35.0,81,2.32,48,0,13,4,13,3,8,0.23,3,0,2,2,1,0
150,Kaan Ayhan,tr TUR,DF,Düsseldorf,de Bundesliga,24,30.3,47,1.55,41,0,0,3,1,2,3,0.10,3,0,0,0,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
151,Ramon Azeez,ng NGA,MF,Granada,es La Liga,26,15.1,22,1.46,13,1,0,3,3,2,1,0.07,1,0,0,0,0,0
152,César Azpilicueta,es ESP,DF,Chelsea,eng Premier League,29,35.9,87,2.42,78,2,2,3,1,1,7,0.20,5,1,0,1,0,0
153,Ludovic Baal,gf GUF,DF,Brest,fr Ligue 1,33,9.2,24,2.61,21,1,1,0,1,0,1,0.11,1,0,0,0,0,0
154,Iddrisu Baba,gh GHA,MF,Mallorca,es La Liga,23,32.3,28,0.87,25,0,0,0,2,1,1,0.03,1,0,0,0,0,0
155,Khouma Babacar,sn SEN,FW,Lecce,it Serie A,26,15.8,44,2.78,27,0,4,5,7,1,5,0.32,0,0,1,1,3,0
156,Carlos Bacca,co COL,FW,Villarreal,es La Liga,32,7.6,15,1.97,9,0,3,1,1,1,2,0.26,1,0,0,0,1,0
157,Milan Badelj,hr CRO,MF,Fiorentina,it Serie A,30,17.6,47,2.67,39,2,2,0,2,2,1,0.06,1,0,0,0,0,0
158,Matthias Bader,de GER,DF,Köln,de Bundesliga,22,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
159,Benoît Badiashile,fr FRA,DF,Monaco,fr Ligue 1,18,15.7,9,0.57,7,1,0,1,0,0,0,0.00,0,0,0,0,0,0
160,Bastian Badu,fr FRA,FW,Montpellier,fr Ligue 1,19,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
161,Alex Baena,es ESP,MF,Villarreal,es La Liga,18,0.2,1,6.43,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
162,Stéphane Bahoken,cm CMR,FW,Angers,fr Ligue 1,27,10.1,19,1.88,15,0,0,2,1,1,2,0.20,2,0,0,0,0,0
163,Daniel Baier,de GER,MF,Augsburg,de Bundesliga,35,21.6,35,1.62,31,0,0,1,2,1,2,0.09,2,0,0,0,0,0
164,Leon Bailey,jm JAM,"FW,MF",Leverkusen,de Bundesliga,21,12.1,42,3.47,23,9,3,4,2,1,9,0.74,5,2,0,1,1,0
165,Eric Bailly,ci CIV,DF,Manchester Utd,eng Premier League,25,1.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
166,Dénys Bain,fr FRA,DF,Brest,fr Ligue 1,26,14.1,6,0.43,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0
167,Leighton Baines,eng ENG,DF,Everton,eng Premier League,34,4.5,15,3.34,9,5,0,0,1,0,0,0.00,0,0,0,0,0,0
168,Stefan Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,17,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
169,Tiemoué Bakayoko,fr FRA,MF,Monaco,fr Ligue 1,24,19.1,39,2.04,25,0,6,2,4,2,4,0.21,3,0,1,0,0,0
170,Lewis Baker,eng ENG,MF,Düsseldorf,de Bundesliga,24,6.1,20,3.30,7,3,4,3,3,0,2,0.33,1,0,0,1,0,0
171,Mitchel Bakker,nl NED,DF,Paris S-G,fr Ligue 1,19,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
172,Ridle Baku,de GER,"DF,MF",Mainz 05,de Bundesliga,21,26.1,82,3.14,65,5,4,2,6,0,12,0.46,11,1,0,0,0,0
173,Fabián Balbuena,py PAR,DF,West Ham,eng Premier League,27,13.1,8,0.61,5,0,1,2,0,0,0,0.00,0,0,0,0,0,0
174,Keita Baldé,sn SEN,"FW,MF",Monaco,fr Ligue 1,24,9.5,30,3.15,21,0,2,4,3,0,5,0.52,3,0,0,1,1,0
