Rk,Player,Nation,Pos,Squad,Comp,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,27.9,64,2.30,34,23,4,2,1,0,5,0.18,3,1,1,0,0,0
2,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,19,36.0,64,1.78,47,2,6,3,4,2,3,0.08,2,0,0,0,1,0
3,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,28.0,23,0.82,16,0,1,4,2,0,1,0.04,1,0,0,0,0,0
4,Suleiman Abdullahi,ng NGA,"FW,MF",Union Berlin,de Bundesliga,22,1.7,4,2.29,2,0,1,1,0,0,0,0.00,0,0,0,0,0,0
5,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,20.2,53,2.63,30,16,1,3,1,2,4,0.20,2,1,0,1,0,0
6,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,6.9,18,2.60,11,0,1,1,4,1,2,0.29,1,0,0,0,1,0
7,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,18.8,13,0.69,12,0,0,1,0,0,1,0.05,1,0,0,0,0,0
8,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,21,24.6,57,2.32,37,0,5,10,2,3,9,0.37,4,0,2,2,1,0
9,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,7.4,10,1.35,9,0,1,0,0,0,0,0.00,0,0,0,0,0,0
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,31,35.1,37,1.05,34,0,0,2,1,0,5,0.14,5,0,0,0,0,0
11,Che Adams,sct SCO,FW,Southampton,eng Premier League,23,12.3,29,2.35,18,0,4,3,3,1,6,0.49,3,0,1,0,2,0
12,Tyler Adams,us USA,"MF,DF",RB Leipzig,de Bundesliga,20,10.6,19,1.79,14,1,0,2,2,0,2,0.19,1,0,0,0,1,0
13,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,26,8.3,21,2.53,18,0,0,1,2,0,5,0.60,4,0,0,0,1,0
